compiled_index,source_sim_id,registry_poisson_ratio,source_file,source_frames,compiled_frames,first_source_frame,last_source_frame
0,0,0.4238,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_959.pt,1500,200,0,1393
1,1,0.2552,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_1294.pt,1500,200,0,1393
2,2,0.5039,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_1018.pt,1500,200,0,1393
3,3,0.6125,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_445.pt,1500,200,0,1393
4,4,0.3549,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_712.pt,1500,200,0,1393
5,5,0.4606,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_599.pt,1500,200,0,1393
6,6,0.4133,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_434.pt,1500,200,0,1393
7,7,0.7626,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_895.pt,1500,200,0,1393
8,8,0.4267,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_911.pt,1500,200,0,1393
9,9,0.3899,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_974.pt,1500,200,0,1393
10,10,0.3735,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_706.pt,1500,200,0,1393
11,11,0.2789,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_1299.pt,1500,200,0,1393
12,12,0.4681,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_23.pt,1500,200,0,1393
13,13,0.3394,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_924.pt,1500,200,0,1393
14,14,0.4701,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_633.pt,1500,200,0,1393
15,15,0.544,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_1277.pt,1500,200,0,1393
16,16,0.3044,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_174.pt,1500,200,0,1393
17,17,0.4268,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_900.pt,1500,200,0,1393
18,18,0.5051,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_468.pt,1500,200,0,1393
19,19,0.187,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_91.pt,1500,200,0,1393
20,20,0.4025,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_830.pt,1500,200,0,1393
21,21,0.4612,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_648.pt,1500,200,0,1393
22,22,0.4444,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_1286.pt,1500,200,0,1393
23,23,0.3511,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_1085.pt,1500,200,0,1393
24,24,0.3683,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_67.pt,1500,200,0,1393
25,25,0.4359,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_812.pt,1500,200,0,1393
26,26,0.3705,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_840.pt,1500,200,0,1393
27,27,0.739,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_764.pt,1500,200,0,1393
28,28,0.2013,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_244.pt,1500,200,0,1393
29,29,0.3366,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_822.pt,1500,200,0,1393
30,30,0.3508,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_899.pt,1500,200,0,1393
31,31,0.3407,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_849.pt,1500,200,0,1393
32,32,0.4307,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_113.pt,1500,200,0,1393
33,33,0.3731,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_1346.pt,1500,200,0,1393
34,34,0.4282,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_620.pt,1500,200,0,1393
35,35,0.5747,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_275.pt,1500,200,0,1393
36,36,0.4201,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_1313.pt,1500,200,0,1393
37,37,0.8718,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_100.pt,1500,200,0,1393
38,38,0.6156,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_1030.pt,1500,200,0,1393
39,39,0.2743,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_230.pt,1500,200,0,1393
40,40,0.3145,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_742.pt,1500,200,0,1393
41,41,0.3716,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_397.pt,1500,200,0,1393
42,42,0.4231,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_1323.pt,1500,200,0,1393
43,43,0.4694,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_1296.pt,1500,200,0,1393
44,44,0.2654,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_381.pt,1500,200,0,1393
45,45,0.4201,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_447.pt,1500,200,0,1393
46,46,0.4496,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_237.pt,1500,200,0,1393
47,47,0.55,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_282.pt,1500,200,0,1393
48,48,0.4126,/home/alexz/crap/data_LJ_noisy_eps0.01_sigma1.0_cutoff1.122/chunk_365.pt,1500,200,0,1393
