source,rollout_steps,used,total,p_ratio_r2,p_ratio_mae,target_variance,kind,dimension,seed
reid,5,20,20,-1.2222337424315897,0.1949012242542127,0.0215407678341569,ae,2,3456456
reid,10,20,20,-0.1451147914894368,0.1622563593384746,0.0283466184553629,ae,2,3456456
reid,25,20,20,0.7244121373344063,0.0851293828280543,0.0340742914742546,ae,2,3456456
reid,50,20,20,0.9334671016095312,0.0400231067916593,0.03674579830514,ae,2,3456456
reid,75,20,20,0.9561374656967464,0.0335939640300684,0.0381454871288846,ae,2,3456456
reid,100,20,20,0.9514261548717788,0.034925388620684,0.0392619338029476,ae,2,3456456
depablo_low_temp,5,20,20,0.285180386604649,0.1796138010060839,0.0635535199374179,ae,2,3456456
depablo_low_temp,10,20,20,0.4613488292450191,0.183699793315141,0.0890919672458267,ae,2,3456456
depablo_low_temp,25,20,20,0.7913015631417757,0.1237369184687016,0.1113451632350467,ae,2,3456456
depablo_low_temp,50,20,20,0.9498107006674096,0.0632996883495407,0.121923909291221,ae,2,3456456
depablo_low_temp,75,20,20,0.971204793837023,0.0519486993953159,0.1271388104990921,ae,2,3456456
depablo_low_temp,100,20,20,0.9634414352033192,0.0609269352140793,0.1309363081666797,ae,2,3456456
depablo_mixed_temp,5,20,20,0.154991453148234,0.3206456015620446,0.2267994575756468,ae,2,3456456
depablo_mixed_temp,10,20,20,0.4376811045141041,0.2505030218650488,0.1792210970466572,ae,2,3456456
depablo_mixed_temp,25,20,20,0.7699176784956421,0.1558866614229162,0.1814265265332104,ae,2,3456456
depablo_mixed_temp,50,20,20,0.8289775916085638,0.104720598032952,0.1290510646927359,ae,2,3456456
depablo_mixed_temp,75,20,20,0.962585573781988,0.0538362558620293,0.1721180025747532,ae,2,3456456
depablo_mixed_temp,100,20,20,0.9401400736072968,0.0683900393539104,0.1264354805514444,ae,2,3456456
lj_noisy,5,20,20,-9.731596879787851,0.1015903774041082,0.0012192600578043,ae,2,3456456
lj_noisy,10,20,20,-4.630928189403393,0.097876437650692,0.0021538442446725,ae,2,3456456
lj_noisy,25,20,20,-1.2800265285915071,0.0833397218069457,0.0041168599721615,ae,2,3456456
lj_noisy,50,20,20,0.370387083556045,0.0457491623821968,0.0047651600463273,ae,2,3456456
lj_noisy,75,20,20,0.5369487260419492,0.0436734823698621,0.0050961142073924,ae,2,3456456
lj_noisy,100,20,20,0.1602179409764205,0.0589561697336886,0.0053100823581802,ae,2,3456456
reid,5,20,20,-1.1268789886971695,0.1864404765809338,0.0215407678341569,rollout,2,3456456
reid,10,20,20,-0.2226213120327058,0.1604373474219109,0.0283466184553629,rollout,2,3456456
reid,25,20,20,0.5682626195279336,0.1007254299700333,0.0340742914742546,rollout,2,3456456
reid,50,20,20,0.8149739375937056,0.0666884555775206,0.03674579830514,rollout,2,3456456
reid,75,20,20,0.8642720787866707,0.0597888541294453,0.0381454871288846,rollout,2,3456456
reid,100,20,20,0.8647937153269607,0.0628314757645859,0.0392619338029476,rollout,2,3456456
depablo_low_temp,5,20,20,0.5353233203827796,0.1474023479137368,0.0635535199374179,rollout,2,3456456
depablo_low_temp,10,20,20,0.6365673577252378,0.1516440644363909,0.0890919672458267,rollout,2,3456456
depablo_low_temp,25,20,20,0.8327516988106151,0.1108987565915394,0.1113451632350467,rollout,2,3456456
depablo_low_temp,50,20,20,0.933207383188595,0.0768553055091403,0.121923909291221,rollout,2,3456456
depablo_low_temp,75,20,20,0.949718199061262,0.0655347544290732,0.1271388104990921,rollout,2,3456456
depablo_low_temp,100,20,20,0.9423827882086612,0.0700221844527299,0.1309363081666797,rollout,2,3456456
depablo_mixed_temp,5,20,20,0.0441726870002469,0.370230487662655,0.2267994575756468,rollout,2,3456456
