source,rollout_steps,used_excluded,total_excluded,p_ratio_r2_excluded,p_ratio_mae_excluded,target_variance_excluded,seed,condition_excluded,kind,used_included,total_included,p_ratio_r2_included,p_ratio_mae_included,target_variance_included,condition_included,r2_excluded_minus_included
reid,5,20,20,-3.7922979762379274,0.2916851946410531,0.0215407678341569,3456456,exclude_mixed,ae,20,20,-1.2222337424315897,0.1949012242542127,0.0215407678341569,include_mixed,-2.5700642338063378
reid,10,20,20,-1.5939585179319762,0.2426924941817571,0.0283466184553629,3456456,exclude_mixed,ae,20,20,-0.1451147914894368,0.1622563593384746,0.0283466184553629,include_mixed,-1.4488437264425393
reid,25,20,20,0.4445625654062979,0.12577377498169,0.0340742914742546,3456456,exclude_mixed,ae,20,20,0.7244121373344063,0.0851293828280543,0.0340742914742546,include_mixed,-0.27984957192810844
reid,50,20,20,0.9126302628909746,0.0479197073959062,0.03674579830514,3456456,exclude_mixed,ae,20,20,0.9334671016095312,0.0400231067916593,0.03674579830514,include_mixed,-0.020836838718556572
reid,75,20,20,0.9300677702397244,0.0443082604000345,0.0381454871288846,3456456,exclude_mixed,ae,20,20,0.9561374656967464,0.0335939640300684,0.0381454871288846,include_mixed,-0.02606969545702198
reid,100,20,20,0.9010736025091678,0.0537177029187953,0.0392619338029476,3456456,exclude_mixed,ae,20,20,0.9514261548717788,0.034925388620684,0.0392619338029476,include_mixed,-0.05035255236261105
depablo_low_temp,5,20,20,0.3739936976126871,0.1736905711878177,0.0635535199374179,3456456,exclude_mixed,ae,20,20,0.285180386604649,0.1796138010060839,0.0635535199374179,include_mixed,0.08881331100803808
depablo_low_temp,10,20,20,0.7217234738037444,0.1401357435237321,0.0890919672458267,3456456,exclude_mixed,ae,20,20,0.4613488292450191,0.183699793315141,0.0890919672458267,include_mixed,0.2603746445587253
depablo_low_temp,25,20,20,0.9260334366992647,0.0759167380930821,0.1113451632350467,3456456,exclude_mixed,ae,20,20,0.7913015631417757,0.1237369184687016,0.1113451632350467,include_mixed,0.13473187355748906
depablo_low_temp,50,20,20,0.9731302757852048,0.0451574564016688,0.121923909291221,3456456,exclude_mixed,ae,20,20,0.9498107006674096,0.0632996883495407,0.121923909291221,include_mixed,0.023319575117795255
depablo_low_temp,75,20,20,0.9784444284552628,0.0433620283518859,0.1271388104990921,3456456,exclude_mixed,ae,20,20,0.971204793837023,0.0519486993953159,0.1271388104990921,include_mixed,0.007239634618239843
depablo_low_temp,100,20,20,0.9767843166858248,0.0448928079687595,0.1309363081666797,3456456,exclude_mixed,ae,20,20,0.9634414352033192,0.0609269352140793,0.1309363081666797,include_mixed,0.01334288148250562
lj_noisy,5,20,20,-5.731844724067547,0.0730693890890666,0.0012192600578043,3456456,exclude_mixed,ae,20,20,-9.731596879787851,0.1015903774041082,0.0012192600578043,include_mixed,3.999752155720304
lj_noisy,10,20,20,-2.237484679697737,0.0705943450165155,0.0021538442446725,3456456,exclude_mixed,ae,20,20,-4.630928189403393,0.097876437650692,0.0021538442446725,include_mixed,2.3934435097056563
lj_noisy,25,20,20,-0.3755101839306489,0.0645935829218302,0.0041168599721615,3456456,exclude_mixed,ae,20,20,-1.2800265285915071,0.0833397218069457,0.0041168599721615,include_mixed,0.9045163446608582
lj_noisy,50,20,20,-0.014746341091963,0.0590931351753279,0.0047651600463273,3456456,exclude_mixed,ae,20,20,0.370387083556045,0.0457491623821968,0.0047651600463273,include_mixed,-0.385133424648008
lj_noisy,75,20,20,-0.1583358606863245,0.0661375924743208,0.0050961142073924,3456456,exclude_mixed,ae,20,20,0.5369487260419492,0.0436734823698621,0.0050961142073924,include_mixed,-0.6952845867282738
lj_noisy,100,20,20,-0.4008604782931828,0.0718007158607858,0.0053100823581802,3456456,exclude_mixed,ae,20,20,0.1602179409764205,0.0589561697336886,0.0053100823581802,include_mixed,-0.5610784192696032
depablo_mixed_temp,5,20,20,0.3521137426996146,0.3088064931995977,0.2267994575756468,3456456,exclude_mixed,ae,20,20,0.154991453148234,0.3206456015620446,0.2267994575756468,include_mixed,0.1971222895513806
depablo_mixed_temp,10,20,20,0.3539429229963236,0.2672784610389721,0.1792210970466572,3456456,exclude_mixed,ae,20,20,0.4376811045141041,0.2505030218650488,0.1792210970466572,include_mixed,-0.08373818151778051
depablo_mixed_temp,25,20,20,0.3641299987363531,0.2498590015516548,0.1814265265332104,3456456,exclude_mixed,ae,20,20,0.7699176784956421,0.1558866614229162,0.1814265265332104,include_mixed,-0.405787679759289
depablo_mixed_temp,50,20,20,0.7004995199915776,0.1546658338977553,0.1290510646927359,3456456,exclude_mixed,ae,20,20,0.8289775916085638,0.104720598032952,0.1290510646927359,include_mixed,-0.1284780716169862
depablo_mixed_temp,75,20,20,0.5912297163122929,0.1622838680393621,0.1721180025747532,3456456,exclude_mixed,ae,20,20,0.962585573781988,0.0538362558620293,0.1721180025747532,include_mixed,-0.371355857469695
depablo_mixed_temp,100,20,20,0.7790725949056199,0.1170651383287752,0.1264354805514444,3456456,exclude_mixed,ae,20,20,0.9401400736072968,0.0683900393539104,0.1264354805514444,include_mixed,-0.16106747870167692
reid,5,20,20,-3.8632230877842426,0.2946195704650915,0.0215407678341569,3456456,exclude_mixed,rollout,20,20,-1.1268789886971695,0.1864404765809338,0.0215407678341569,include_mixed,-2.736344099087073
reid,10,20,20,-1.9049809464264695,0.2548070377196763,0.0283466184553629,3456456,exclude_mixed,rollout,20,20,-0.2226213120327058,0.1604373474219109,0.0283466184553629,include_mixed,-1.6823596343937637
reid,25,20,20,-0.0243783942685702,0.1609962057876423,0.0340742914742546,3456456,exclude_mixed,rollout,20,20,0.5682626195279336,0.1007254299700333,0.0340742914742546,include_mixed,-0.5926410137965038
reid,50,20,20,0.7433287520418204,0.0792109655682764,0.03674579830514,3456456,exclude_mixed,rollout,20,20,0.8149739375937056,0.0666884555775206,0.03674579830514,include_mixed,-0.07164518555188526
reid,75,20,20,0.8513154921847322,0.058469557406884,0.0381454871288846,3456456,exclude_mixed,rollout,20,20,0.8642720787866707,0.0597888541294453,0.0381454871288846,include_mixed,-0.012956586601938436
reid,100,20,20,0.87907953913021,0.0520290169475947,0.0392619338029476,3456456,exclude_mixed,rollout,20,20,0.8647937153269607,0.0628314757645859,0.0392619338029476,include_mixed,0.014285823803249276
depablo_low_temp,5,20,20,0.4601638086135485,0.1583919396862952,0.0635535199374179,3456456,exclude_mixed,rollout,20,20,0.5353233203827796,0.1474023479137368,0.0635535199374179,include_mixed,-0.07515951176923114
depablo_low_temp,10,20,20,0.7440818491897607,0.1316204464050173,0.0890919672458267,3456456,exclude_mixed,rollout,20,20,0.6365673577252378,0.1516440644363909,0.0890919672458267,include_mixed,0.10751449146452297
depablo_low_temp,25,20,20,0.8962149938801617,0.0863784090314474,0.1113451632350467,3456456,exclude_mixed,rollout,20,20,0.8327516988106151,0.1108987565915394,0.1113451632350467,include_mixed,0.06346329506954662
depablo_low_temp,50,20,20,0.9405619718221352,0.0706563112112803,0.121923909291221,3456456,exclude_mixed,rollout,20,20,0.933207383188595,0.0768553055091403,0.121923909291221,include_mixed,0.0073545886335402155
depablo_low_temp,75,20,20,0.9508808019580024,0.0629802699473364,0.1271388104990921,3456456,exclude_mixed,rollout,20,20,0.949718199061262,0.0655347544290732,0.1271388104990921,include_mixed,0.0011626028967404167
depablo_low_temp,100,20,20,0.9522445096388916,0.0596917578809555,0.1309363081666797,3456456,exclude_mixed,rollout,20,20,0.9423827882086612,0.0700221844527299,0.1309363081666797,include_mixed,0.009861721430230452
lj_noisy,5,20,20,-8.647363383783391,0.0742874577252924,0.0012192600578043,3456456,exclude_mixed,rollout,20,20,-14.63783479642026,0.1151878994653087,0.0012192600578043,include_mixed,5.990471412636868
lj_noisy,10,20,20,-6.9298336837469865,0.0972913568719096,0.0021538442446725,3456456,exclude_mixed,rollout,20,20,-9.950841816401429,0.1368155880941811,0.0021538442446725,include_mixed,3.0210081326544422
lj_noisy,25,20,20,-7.623567068728509,0.1574657396125661,0.0041168599721615,3456456,exclude_mixed,rollout,20,20,-7.747484097002404,0.1747555964564436,0.0041168599721615,include_mixed,0.12391702827389572
lj_noisy,50,20,20,-9.77077679027678,0.2018830327726056,0.0047651600463273,3456456,exclude_mixed,rollout,20,20,-7.96253855515466,0.1890837688614394,0.0047651600463273,include_mixed,-1.8082382351221202
lj_noisy,75,20,20,-8.76126679573938,0.1980144770133384,0.0050961142073924,3456456,exclude_mixed,rollout,20,20,-7.67051788078127,0.1869440819588655,0.0050961142073924,include_mixed,-1.0907489149581089
lj_noisy,100,20,20,-7.601807596081072,0.187089712315242,0.0053100823581802,3456456,exclude_mixed,rollout,20,20,-8.298981687341747,0.1959044596879599,0.0053100823581802,include_mixed,0.6971740912606759
depablo_mixed_temp,5,20,20,0.0459975148414653,0.3570909903110179,0.2267994575756468,3456456,exclude_mixed,rollout,20,20,0.0441726870002469,0.370230487662655,0.2267994575756468,include_mixed,0.0018248278412184016
depablo_mixed_temp,10,20,20,0.2862829951267062,0.2765431061773939,0.1792210970466572,3456456,exclude_mixed,rollout,20,20,0.3777019860071529,0.2502832467428338,0.1792210970466572,include_mixed,-0.0914189908804467
depablo_mixed_temp,25,20,20,0.4165922625210984,0.2329802161242981,0.1814265265332104,3456456,exclude_mixed,rollout,20,20,0.4153085463899182,0.223346726556622,0.1814265265332104,include_mixed,0.0012837161311801681
depablo_mixed_temp,50,20,20,0.5799756828293022,0.1647333737494984,0.1290510646927359,3456456,exclude_mixed,rollout,20,20,0.55753343887904,0.171970255988203,0.1290510646927359,include_mixed,0.022442243950262175
depablo_mixed_temp,75,20,20,0.7063211675496757,0.135733112706911,0.1721180025747532,3456456,exclude_mixed,rollout,20,20,0.7116710144490451,0.1411570163350505,0.1721180025747532,include_mixed,-0.005349846899369459
depablo_mixed_temp,100,20,20,0.9089164218043414,0.0873476544401932,0.1264354805514444,3456456,exclude_mixed,rollout,20,20,0.8946244089064336,0.0932359887116255,0.1264354805514444,include_mixed,0.014292012897907824
reid,5,20,20,0.397340777596009,0.0962924782856847,0.0215407678341569,123,exclude_mixed,ae,20,20,-1.270192371212668,0.182590034381256,0.0215407678341569,include_mixed,1.6675331488086769
reid,10,20,20,0.5173390140459351,0.0979510956825123,0.0283466184553629,123,exclude_mixed,ae,20,20,-0.2752532784371935,0.1607397019666871,0.0283466184553629,include_mixed,0.7925922924831286
reid,25,20,20,0.7101423382183291,0.0796637014573071,0.0340742914742546,123,exclude_mixed,ae,20,20,0.5999503560801009,0.0999297485998884,0.0340742914742546,include_mixed,0.11019198213822812
