condition,kind,source,rollout_steps,seeds,r2_mean,r2_std,mae_mean,valid_min,total_min
exclude_mixed,ae,depablo_low_temp,5,5,0.562364442784274,0.26315280911991334,0.1423097551040184,20,20
exclude_mixed,ae,depablo_low_temp,10,5,0.7342116913347746,0.13790277929998165,0.12905754726698968,20,20
exclude_mixed,ae,depablo_low_temp,25,5,0.9202968404674123,0.028897810582859416,0.07355034904497594,20,20
exclude_mixed,ae,depablo_low_temp,50,5,0.9591515988286952,0.0131084071740911,0.05382967949968254,20,20
exclude_mixed,ae,depablo_low_temp,75,5,0.9658249965855255,0.010429742575124704,0.05143337339564502,20,20
exclude_mixed,ae,depablo_low_temp,100,5,0.9580516531542997,0.01525503332795498,0.05739692150114635,20,20
exclude_mixed,ae,depablo_mixed_temp,5,5,0.20943978198556118,0.11833910558745969,0.3451049951031565,20,20
exclude_mixed,ae,depablo_mixed_temp,10,5,0.34080120467596037,0.07597978460926996,0.26111142781748964,20,20
exclude_mixed,ae,depablo_mixed_temp,25,5,0.39692304993462546,0.0918394855924251,0.23931404451796046,20,20
exclude_mixed,ae,depablo_mixed_temp,50,5,0.7163067783827548,0.0751393055425431,0.14600530811783588,20,20
exclude_mixed,ae,depablo_mixed_temp,75,5,0.6653163651227006,0.07400941908148674,0.14964381649329814,20,20
exclude_mixed,ae,depablo_mixed_temp,100,5,0.7533427188969208,0.1015972560394159,0.11993709624372165,20,20
exclude_mixed,ae,lj_noisy,5,5,-9.684460377254947,4.703801683101333,0.0948825033024681,20,20
exclude_mixed,ae,lj_noisy,10,5,-3.6138707745346785,1.8144644868521267,0.08233149229012304,20,20
exclude_mixed,ae,lj_noisy,25,5,-0.36307286903890984,0.3805564278233931,0.06050406782284198,20,20
exclude_mixed,ae,lj_noisy,50,5,0.1866301447379694,0.22988364073461345,0.0513933904408033,20,20
exclude_mixed,ae,lj_noisy,75,5,0.15704620419912407,0.3155341810596864,0.05372750272414062,20,20
exclude_mixed,ae,lj_noisy,100,5,-0.010778182658206754,0.3421525007162435,0.05996150171288202,20,20
exclude_mixed,ae,reid,5,5,-1.7526031159937794,1.491503500761556,0.20217893274084275,20,20
exclude_mixed,ae,reid,10,5,-1.1894072305671646,1.4065328341988963,0.18713202419440472,20,20
exclude_mixed,ae,reid,25,5,0.5584633947264785,0.1396968783110736,0.10186952137056413,20,20
exclude_mixed,ae,reid,50,5,0.9054053383545957,0.012369863879209983,0.04480404808164218,20,20
exclude_mixed,ae,reid,75,5,0.9380218773997543,0.033815777042461526,0.03901563361919424,20,20
exclude_mixed,ae,reid,100,5,0.9027880691968365,0.05116568974006103,0.051840636986187814,20,20
exclude_mixed,rollout,depablo_low_temp,5,5,0.5381979683371667,0.3035125707531741,0.14434399326992597,20,20
exclude_mixed,rollout,depablo_low_temp,10,5,0.6566344342879828,0.23578849329107732,0.1466541798706049,20,20
exclude_mixed,rollout,depablo_low_temp,25,5,0.7812693101615175,0.1711828868183704,0.1258218813142959,20,20
exclude_mixed,rollout,depablo_low_temp,50,5,0.852760367563749,0.10249093745914978,0.1090846556498766,20,20
exclude_mixed,rollout,depablo_low_temp,75,5,0.8946633267161372,0.056337123344588395,0.09570478328772158,20,20
exclude_mixed,rollout,depablo_low_temp,100,5,0.9134215197690067,0.038689099928645145,0.08708171529458633,20,20
exclude_mixed,rollout,depablo_mixed_temp,5,5,0.0711402291897874,0.06683428744478825,0.35737251763177247,20,20
exclude_mixed,rollout,depablo_mixed_temp,10,5,0.2958429976743182,0.0593974344099817,0.2686840729847057,20,20
exclude_mixed,rollout,depablo_mixed_temp,25,5,0.3567673549478064,0.0636760900602882,0.24954922134526497,20,20
exclude_mixed,rollout,depablo_mixed_temp,50,5,0.5471156477853115,0.037022133991151666,0.18425369624367488,20,20
exclude_mixed,rollout,depablo_mixed_temp,75,5,0.6685621035945282,0.07060580665381214,0.15603805771831641,20,20
exclude_mixed,rollout,depablo_mixed_temp,100,5,0.8676821404380682,0.03335222864450993,0.1045093607423874,20,20
exclude_mixed,rollout,lj_noisy,5,5,-18.656968024078697,9.893164787925636,0.13085157693743438,20,20
exclude_mixed,rollout,lj_noisy,10,5,-13.760504053505102,6.198277418611364,0.15578765915898324,20,20
exclude_mixed,rollout,lj_noisy,25,5,-11.382091853188486,3.794178950751278,0.20329049289287687,20,20
exclude_mixed,rollout,lj_noisy,50,5,-12.494786678551323,3.6444855641013314,0.23238648213281782,20,20
exclude_mixed,rollout,lj_noisy,75,5,-12.31014694782923,4.025535424093481,0.23739456757362604,20,20
exclude_mixed,rollout,lj_noisy,100,5,-12.194891382761053,5.033609048258038,0.23832568795513218,20,20
exclude_mixed,rollout,reid,5,5,-1.8312261349516763,1.442678835653503,0.20658216773574373,20,20
exclude_mixed,rollout,reid,10,5,-1.122087347376003,0.8489318607648816,0.20147369074904603,20,20
exclude_mixed,rollout,reid,25,5,0.015396904261108447,0.2280439556793004,0.15115210612538243,20,20
exclude_mixed,rollout,reid,50,5,0.5902467765222421,0.15845147288598202,0.09892581911975376,20,20
exclude_mixed,rollout,reid,75,5,0.7599484520618329,0.10270049290566302,0.07634994568275666,20,20
exclude_mixed,rollout,reid,100,5,0.802018895634361,0.09297965289016676,0.0690729392789817,20,20
include_mixed,ae,depablo_low_temp,5,5,0.4688208058452778,0.25969737143506527,0.14502297859195343,20,20
include_mixed,ae,depablo_low_temp,10,5,0.638675437667293,0.15917764252398997,0.14170134428839623,20,20
include_mixed,ae,depablo_low_temp,25,5,0.8308797796178317,0.03196669193643673,0.10767566866590114,20,20
include_mixed,ae,depablo_low_temp,50,5,0.941846487063124,0.014467182459847489,0.06709101357585946,20,20
include_mixed,ae,depablo_low_temp,75,5,0.9639014723583564,0.009619417246009454,0.05446113707319322,20,20
include_mixed,ae,depablo_low_temp,100,5,0.9664932246150203,0.010620370034421022,0.052431611943437983,20,20
include_mixed,ae,depablo_mixed_temp,5,5,0.08010865704063048,0.1250675781786094,0.3618630496734741,20,20
include_mixed,ae,depablo_mixed_temp,10,5,0.3731213885660708,0.08183418281022986,0.2657250356500601,20,20
include_mixed,ae,depablo_mixed_temp,25,5,0.5649923903940143,0.32974161911120126,0.1919745493283221,20,20
include_mixed,ae,depablo_mixed_temp,50,5,0.7292171174710316,0.12593945790459957,0.1260064734583576,20,20
include_mixed,ae,depablo_mixed_temp,75,5,0.9197425789250293,0.06909840764016893,0.07757887583288389,20,20
include_mixed,ae,depablo_mixed_temp,100,5,0.8929578375311065,0.03229019904734437,0.08448115193986372,20,20
include_mixed,ae,lj_noisy,5,5,-29.650238158608868,16.832496946453247,0.17039967637582681,20,20
include_mixed,ae,lj_noisy,10,5,-12.335456525686855,6.874282808341987,0.1486378330054724,20,20
include_mixed,ae,lj_noisy,25,5,-3.2906916921559635,3.415983120448554,0.11002728312614289,20,20
include_mixed,ae,lj_noisy,50,5,-1.1011331555578727,2.5344015579058943,0.07488619305287955,20,20
include_mixed,ae,lj_noisy,75,5,-0.20086867952375798,1.2016922863146107,0.058881919183261064,20,20
include_mixed,ae,lj_noisy,100,5,-0.14383307130954667,0.6513294502256753,0.06238730140816832,20,20
include_mixed,ae,reid,5,5,-0.689414758320828,0.5925970265598398,0.16193872557340128,20,20
include_mixed,ae,reid,10,5,0.05045972844804042,0.46922840907512975,0.13852647064978713,20,20
include_mixed,ae,reid,25,5,0.6361575819394896,0.32392372373198053,0.0866718842059309,20,20
include_mixed,ae,reid,50,5,0.8885811265988615,0.0889332571089473,0.05006820727136154,20,20
include_mixed,ae,reid,75,5,0.9282645915007558,0.051562185494136006,0.0410956784258644,20,20
include_mixed,ae,reid,100,5,0.9259786098826523,0.04467074976908126,0.040358679227664694,20,20
include_mixed,rollout,depablo_low_temp,5,5,0.5739008550730181,0.2081636156714196,0.1300155990429115,20,20
include_mixed,rollout,depablo_low_temp,10,5,0.6939544203522894,0.11366043744111054,0.1318761191738252,20,20
include_mixed,rollout,depablo_low_temp,25,5,0.8326065460477959,0.04313561508444879,0.10948713146232521,20,20
include_mixed,rollout,depablo_low_temp,50,5,0.9249345777556816,0.031249825095031224,0.0776947546597456,20,20
include_mixed,rollout,depablo_low_temp,75,5,0.9460599803444281,0.01815516077699276,0.06656439074924174,20,20
include_mixed,rollout,depablo_low_temp,100,5,0.9471192560447873,0.011303393923326027,0.06549642941139802,20,20
include_mixed,rollout,depablo_mixed_temp,5,5,0.07940782551789205,0.150268602085735,0.36528081441771026,20,20
include_mixed,rollout,depablo_mixed_temp,10,5,0.3110269752480016,0.06839118695773659,0.2637983346220564,20,20
include_mixed,rollout,depablo_mixed_temp,25,5,0.40445126211141086,0.03136216041101834,0.2282251152683655,20,20
include_mixed,rollout,depablo_mixed_temp,50,5,0.5739229559991921,0.015405702346312002,0.1700773887215396,20,20
include_mixed,rollout,depablo_mixed_temp,75,5,0.7317093041776986,0.06213045175614003,0.12930643844152973,20,20
include_mixed,rollout,depablo_mixed_temp,100,5,0.9041634848003035,0.011560380002990641,0.08840769325179866,20,20
include_mixed,rollout,lj_noisy,5,5,-42.071990217635026,25.595405359517542,0.20120694122141805,20,20
include_mixed,rollout,lj_noisy,10,5,-24.43678025625052,13.225569915623641,0.21193646270929375,20,20
include_mixed,rollout,lj_noisy,25,5,-14.14289621630245,5.4737675451169,0.23118546011261326,20,20
include_mixed,rollout,lj_noisy,50,5,-13.246651790384693,4.18784677467037,0.24182000623297087,20,20
include_mixed,rollout,lj_noisy,75,5,-11.991465486510437,3.8792044445873994,0.23605561213264012,20,20
