split,trajectory,source,frame,condition,position_mse,normalized_position_mse,start
train,0,reid,5,encoder,5.7843628553655435e-08,0.011547406204044819,
train,0,reid,5,same_source_same_time_permuted,3.008642934787531e-08,0.006990024354308844,
train,0,reid,5,training_source_time_mean,2.2832109536352618e-08,0.006885334383696318,
train,0,reid,5,wrong_time,1.021390562527813e-05,1.8389923572540283,
train,0,reid,5,optimized_code,1.9569345255376902e-08,0.0053424593061208725,encoder
train,0,reid,5,optimized_code,7.926089438115014e-07,0.7906936407089233,normal_0
train,0,reid,5,optimized_code,7.681420015615004e-07,0.740338146686554,normal_1
train,1,reid,5,encoder,3.7527865259789905e-08,0.008063346147537231,
train,1,reid,5,same_source_same_time_permuted,6.274176200804504e-08,0.017548395320773125,
train,1,reid,5,training_source_time_mean,3.766219336398535e-08,0.00989445485174656,
train,1,reid,5,wrong_time,8.268502824648749e-06,1.842309832572937,
train,1,reid,5,optimized_code,3.109452251237599e-08,0.006544128991663456,encoder
train,1,reid,5,optimized_code,9.820805644267239e-07,0.9594864845275879,normal_0
train,1,reid,5,optimized_code,1.102889541471086e-06,1.0011440515518188,normal_1
train,2,reid,5,encoder,9.682389112697365e-09,0.005984802730381489,
train,2,reid,5,same_source_same_time_permuted,1.8060782736029068e-07,0.03685268014669418,
train,2,reid,5,training_source_time_mean,4.433894318367493e-08,0.014921726658940315,
train,2,reid,5,wrong_time,8.954516488302033e-06,2.0521178245544434,
train,2,reid,5,optimized_code,5.7485869398021805e-09,0.0032156577799469233,encoder
train,2,reid,5,optimized_code,1.2522698398242937e-06,1.245720624923706,normal_0
train,2,reid,5,optimized_code,1.0459033319420996e-06,1.0370477437973022,normal_1
train,0,reid,10,encoder,8.179735289104428e-08,0.024945929646492004,
train,0,reid,10,same_source_same_time_permuted,7.878512775505442e-08,0.02274555340409279,
train,0,reid,10,training_source_time_mean,6.557870335655025e-08,0.027813611552119255,
train,0,reid,10,wrong_time,1.8724198525887914e-05,3.543553590774536,
train,0,reid,10,optimized_code,4.9128622947591793e-08,0.018035057932138443,encoder
train,0,reid,10,optimized_code,8.218444236263167e-07,0.7711533308029175,normal_0
train,0,reid,10,optimized_code,2.6122037866116443e-07,0.2305026799440384,normal_1
train,1,reid,10,encoder,6.490451198715164e-08,0.016576465219259262,
train,1,reid,10,same_source_same_time_permuted,1.632793384942488e-07,0.08220506459474564,
train,1,reid,10,training_source_time_mean,6.864346602242222e-08,0.0292529184371233,
train,1,reid,10,wrong_time,1.6678290194249712e-05,3.8899950981140137,
train,1,reid,10,optimized_code,4.650163987207634e-08,0.012344862334430218,encoder
train,1,reid,10,optimized_code,3.977101528107596e-07,0.3752388656139374,normal_0
train,1,reid,10,optimized_code,8.52726742550658e-08,0.055039018392562866,normal_1
train,2,reid,10,encoder,1.3763385098286562e-08,0.010432412847876549,
train,2,reid,10,same_source_same_time_permuted,2.0452816329452617e-07,0.09064321964979172,
train,2,reid,10,training_source_time_mean,6.106658645421703e-08,0.04803942143917084,
train,2,reid,10,wrong_time,1.857056122389622e-05,4.248044013977051,
train,2,reid,10,optimized_code,9.337338013892804e-09,0.00488929683342576,encoder
train,2,reid,10,optimized_code,1.5177706700342242e-06,1.4682304859161377,normal_0
train,2,reid,10,optimized_code,1.5671621440560557e-06,1.5269615650177002,normal_1
train,0,reid,25,encoder,4.797876158590952e-07,0.1842627376317978,
train,0,reid,25,same_source_same_time_permuted,5.268530003377236e-07,0.1863565444946289,
train,0,reid,25,training_source_time_mean,5.11182463469595e-07,0.24340170621871948,
train,0,reid,25,wrong_time,2.0156638129265048e-05,4.622996807098389,
train,0,reid,25,optimized_code,4.2645928033380187e-07,0.17094239592552185,encoder
train,0,reid,25,optimized_code,5.23691994658293e-07,0.2549545168876648,normal_0
train,0,reid,25,optimized_code,4.279649772342964e-07,0.17186133563518524,normal_1
train,1,reid,25,encoder,3.235957990455063e-07,0.0952228307723999,
train,1,reid,25,same_source_same_time_permuted,1.0202636531175813e-06,0.7401707172393799,
train,1,reid,25,training_source_time_mean,3.9564699250149715e-07,0.19781316816806793,
train,1,reid,25,wrong_time,1.804327439458575e-05,4.553645610809326,
