split,source,frame,condition,start,total,position_mse,normalized_position_mse
train,depablo_low_temp,5,encoder,,3,3.1844510317569075e-07,0.06648595755298932
train,depablo_low_temp,5,optimized_code,encoder,3,1.4084684825850976e-08,0.00445009123844405
train,depablo_low_temp,5,optimized_code,normal_0,3,8.549092740395281e-07,0.7904702226320902
train,depablo_low_temp,5,optimized_code,normal_1,3,6.258168194032502e-07,0.5874735315640768
train,depablo_low_temp,5,same_source_same_time_permuted,,3,3.467172859927814e-07,0.07906055947144826
train,depablo_low_temp,5,training_source_time_mean,,3,3.092077491828604e-07,0.05656525368491808
train,depablo_low_temp,5,wrong_time,,3,9.088598441546006e-06,1.9955144325892131
train,depablo_low_temp,10,encoder,,3,2.144793758892168e-07,0.05134709303577741
train,depablo_low_temp,10,optimized_code,encoder,3,2.0096623032372918e-08,0.009885040732721487
train,depablo_low_temp,10,optimized_code,normal_0,3,4.7415933105791436e-07,0.4602884252866109
train,depablo_low_temp,10,optimized_code,normal_1,3,7.312223336460496e-07,0.660781462987264
train,depablo_low_temp,10,same_source_same_time_permuted,,3,2.7165415398637077e-07,0.08750277136762936
train,depablo_low_temp,10,training_source_time_mean,,3,2.1786537966287747e-07,0.049768888081113495
train,depablo_low_temp,10,wrong_time,,3,1.7850183515596047e-05,3.9853107929229736
train,depablo_low_temp,25,encoder,,3,1.8774350962758035e-07,0.08710948377847672
train,depablo_low_temp,25,optimized_code,encoder,3,1.3166173336761253e-07,0.073098490635554
train,depablo_low_temp,25,optimized_code,normal_0,3,4.2370894940783427e-07,0.36106743415196735
train,depablo_low_temp,25,optimized_code,normal_1,3,5.193400506679305e-07,0.4412286542356014
train,depablo_low_temp,25,same_source_same_time_permuted,,3,4.780343137629947e-07,0.31208717823028564
train,depablo_low_temp,25,training_source_time_mean,,3,2.8346928123331355e-07,0.15344717353582382
train,depablo_low_temp,25,wrong_time,,3,1.751735180732794e-05,4.309800863265991
train,depablo_low_temp,50,encoder,,3,6.713043679458982e-07,0.348710576693217
train,depablo_low_temp,50,optimized_code,encoder,3,6.144441613287199e-07,0.33291761577129364
train,depablo_low_temp,50,optimized_code,normal_0,3,1.0217061306623994e-06,0.6769349972407023
train,depablo_low_temp,50,optimized_code,normal_1,3,1.4984399285822292e-06,0.8946567078431448
train,depablo_low_temp,50,same_source_same_time_permuted,,3,1.7591905627038311e-06,1.2321341633796692
train,depablo_low_temp,50,training_source_time_mean,,3,1.1184722363092685e-06,0.6779240965843201
train,depablo_low_temp,50,wrong_time,,3,6.306856297063253e-06,1.7123256127039592
train,depablo_low_temp,75,encoder,,3,1.5876107302877547e-06,0.8340461452802023
train,depablo_low_temp,75,optimized_code,encoder,3,1.4215915674261244e-06,0.7790745496749878
train,depablo_low_temp,75,optimized_code,normal_0,3,4.116985261741017e-06,1.8517597913742065
train,depablo_low_temp,75,optimized_code,normal_1,3,4.761751370097045e-06,2.0848652919133506
train,depablo_low_temp,75,same_source_same_time_permuted,,3,3.6339296987838074e-06,2.638855218887329
train,depablo_low_temp,75,training_source_time_mean,,3,2.531699503075894e-06,1.5940532088279724
train,depablo_low_temp,75,wrong_time,,3,1.6017104523295227e-05,4.32204802831014
train,depablo_low_temp,100,encoder,,3,3.6363200403381293e-06,1.7354596257209778
train,depablo_low_temp,100,optimized_code,encoder,3,3.220543324763033e-06,1.598227818806966
train,depablo_low_temp,100,optimized_code,normal_0,3,1.1872793644821892e-05,4.837308406829834
train,depablo_low_temp,100,optimized_code,normal_1,3,9.707126991997939e-06,3.820471207300822
train,depablo_low_temp,100,same_source_same_time_permuted,,3,6.211351471089681e-06,4.243653655052185
train,depablo_low_temp,100,training_source_time_mean,,3,4.960177799754699e-06,3.012662887573242
train,depablo_low_temp,100,wrong_time,,3,2.4885381208150648e-05,6.90803066889445
train,lj_noisy,5,encoder,,3,8.96473923243472e-08,0.017051961583395798
train,lj_noisy,5,optimized_code,encoder,3,1.6694681193030192e-08,0.0041723894731452065
train,lj_noisy,5,optimized_code,normal_0,3,1.1719878708997082e-06,1.0938178102175395
train,lj_noisy,5,optimized_code,normal_1,3,1.5741298208619507e-06,1.4580849806467693
train,lj_noisy,5,same_source_same_time_permuted,,3,1.2434481059623673e-07,0.02174787347515424
train,lj_noisy,5,training_source_time_mean,,3,9.34964627200922e-08,0.01733562381317218
train,lj_noisy,5,wrong_time,,3,7.708424770195657e-06,1.9585445721944172
train,lj_noisy,10,encoder,,3,6.002993894564194e-08,0.017515837214887142
train,lj_noisy,10,optimized_code,encoder,3,2.944720911557397e-08,0.012464121915400028
train,lj_noisy,10,optimized_code,normal_0,3,1.4207446004850983e-06,1.4101558923721313
train,lj_noisy,10,optimized_code,normal_1,3,1.382175999727527e-06,1.3714707692464192
