variant,seed,original_index,frame,encoded,best,gain
ljonly_r16_d4,123,42,25,8.221180678447126e-07,2.2593677329041384e-07,0.7251772195169778
ljonly_r16_d4,123,42,100,6.796930847485783e-06,5.04628906128346e-06,0.2575635717773844
ljonly_r16_d4,123,42,199,2.2278118194662966e-05,1.871443419076968e-05,0.15996342118101414
ljonly_r16_d4,123,178,25,5.745729936279531e-07,2.732990935783164e-07,0.5243439970043515
ljonly_r16_d4,123,178,100,9.039418728207238e-06,7.031344921415439e-06,0.222146342278145
ljonly_r16_d4,123,178,199,2.8027074222336523e-05,2.2483101929537952e-05,0.19780774292809467
ljonly_r16_d4,123,199,25,6.762386988157232e-07,3.1789411991667293e-07,0.529908417732686
ljonly_r16_d4,123,199,100,1.0850515536731109e-05,1.0420721082482487e-05,0.0396105100069839
ljonly_r16_d4,123,199,199,4.294596874387935e-05,4.159125091973692e-05,0.03154470288519218
ljonly_r16_d4,456,42,25,2.713258311359823e-07,2.223856085947773e-07,0.18037435778341826
ljonly_r16_d4,456,42,100,5.4347942750609946e-06,4.952260042045964e-06,0.08878610828550915
ljonly_r16_d4,456,42,199,2.0355257220217027e-05,1.878869443316944e-05,0.0769610902038449
ljonly_r16_d4,456,178,25,2.678941939393553e-07,2.53443346309723e-07,0.0539423696241198
ljonly_r16_d4,456,178,100,7.382798685284797e-06,6.848059911135351e-06,0.07243036102491507
ljonly_r16_d4,456,178,199,2.287160350533668e-05,2.24013037950499e-05,0.020562603324994044
ljonly_r16_d4,456,199,25,3.2037576147558866e-07,2.9351639341257396e-07,0.08383707912017335
ljonly_r16_d4,456,199,100,1.0486264727660455e-05,1.0432722774567083e-05,0.005105912780567157
ljonly_r16_d4,456,199,199,4.472815999179147e-05,4.313056342652999e-05,0.03571791385012646
ljonly_r16_d4,786,42,25,7.73314297930483e-07,2.2174586433720833e-07,0.7132525999704946
ljonly_r16_d4,786,42,100,6.7085697992297355e-06,4.950001311954111e-06,0.26213761500663524
ljonly_r16_d4,786,42,199,2.318219958397094e-05,1.949672332557384e-05,0.15897871317376555
ljonly_r16_d4,786,178,25,7.737398846074939e-07,2.73357244395811e-07,0.646706535576254
ljonly_r16_d4,786,178,100,9.868957931757905e-06,7.147935775719816e-06,0.27571524520151725
ljonly_r16_d4,786,178,199,2.7043241061619483e-05,2.184996810683515e-05,0.1920358932921975
ljonly_r16_d4,786,199,25,5.929862254561158e-07,3.2022728646552423e-07,0.4599751685307524
ljonly_r16_d4,786,199,100,1.092645925382385e-05,1.0446429769217502e-05,0.043932757488511776
ljonly_r16_d4,786,199,199,4.460656418814324e-05,4.259933848516084e-05,0.044998437775127575
r16_d4,123,42,25,3.387231402030011e-07,2.431200698538305e-07,0.2822454654024359
r16_d4,123,42,100,5.117800810694462e-06,4.926402652927209e-06,0.03739851644231562
r16_d4,123,42,199,2.0914809283567593e-05,1.8773665942717344e-05,0.10237450945978788
r16_d4,123,178,25,3.434606981045363e-07,2.676771089227259e-07,0.2206470481194467
r16_d4,123,178,100,7.4270601544412784e-06,7.071977506711846e-06,0.0478093135568719
r16_d4,123,178,199,2.4717755877645686e-05,2.3049537048791535e-05,0.06749070737294804
r16_d4,123,199,25,3.0337901080201846e-07,2.7565792493078334e-07,0.09137443555488933
r16_d4,123,199,100,1.0352580829930957e-05,9.651655091147404e-06,0.06770541088238258
r16_d4,123,199,199,4.062562220497057e-05,3.603584264055826e-05,0.11297745893601963
r16_d4,456,42,25,2.551270483763801e-07,2.2680943345676496e-07,0.11099416976689647
r16_d4,456,42,100,6.353227945510298e-06,4.95400217914721e-06,0.22023855878678078
r16_d4,456,42,199,2.3252860046341084e-05,1.9289089323137887e-05,0.17046379306905557
r16_d4,456,178,25,2.9552739988503163e-07,2.559123402079422e-07,0.13404868615397691
r16_d4,456,178,100,7.930759238661267e-06,7.304529844986973e-06,0.07896209868804471
r16_d4,456,178,199,2.5684053980512545e-05,2.344362837902736e-05,0.08723021697373323
r16_d4,456,199,25,3.6187512364449503e-07,2.692165708140237e-07,0.2560511811292637
r16_d4,456,199,100,1.0303354429197498e-05,9.681312803877518e-06,0.06037272905581581
r16_d4,456,199,199,3.8347159716067836e-05,3.730554453795776e-05,0.027162772570966442
r16_d4,786,42,25,2.3362018453099154e-07,2.1729765364852938e-07,0.06986781093093797
r16_d4,786,42,100,6.050426691217581e-06,4.926687324768864e-06,0.18572894504777104
r16_d4,786,42,199,2.1387053493526764e-05,1.8081083908327855e-05,0.15457807622726194
r16_d4,786,178,25,3.770274759062886e-07,2.5546484039296047e-07,0.32242381068148707
r16_d4,786,178,100,7.993765393621288e-06,7.184681635408197e-06,0.1012143487296624
r16_d4,786,178,199,2.6607769541442394e-05,2.3825989046599716e-05,0.10454767696743505
r16_d4,786,199,25,3.8113842038001167e-07,2.9215578933872166e-07,0.23346539284223944
r16_d4,786,199,100,1.0767949788714759e-05,9.222329936164897e-06,0.14353891714555855
r16_d4,786,199,199,4.029090632684529e-05,3.6198802263243124e-05,0.10156396161472425
