variant,seed,split,source,frame,control,transfer_only,valid,total,coordinate_mse,zero_displacement_mse,explained_displacement_score,shuffled_same_source_coordinate_mse
ljonly_r16_d4,123,train,lj_noisy,0,same_source_cyclic_next_latent,False,5,5,9.421872505299689e-07,0.0,,1.0582212212284504e-06
ljonly_r16_d4,123,train,lj_noisy,5,same_source_cyclic_next_latent,False,5,5,7.232966027004295e-07,9.486441570061288e-08,-6.491859564507377,8.570753720960056e-07
ljonly_r16_d4,123,train,lj_noisy,10,same_source_cyclic_next_latent,False,5,5,5.889044416562683e-07,3.9631250956517763e-07,-0.4482128211360485,7.499539975697189e-07
ljonly_r16_d4,123,train,lj_noisy,25,same_source_cyclic_next_latent,False,5,5,6.856672314370371e-07,2.6223908207612114e-06,0.7412707668670784,9.699698011900181e-07
ljonly_r16_d4,123,train,lj_noisy,50,same_source_cyclic_next_latent,False,5,5,2.013171251746826e-06,1.09006710772519e-05,0.8127123874876017,2.5906853807100562e-06
ljonly_r16_d4,123,train,lj_noisy,75,same_source_cyclic_next_latent,False,5,5,4.617208105628379e-06,2.5082033971557394e-05,0.8120403492923272,5.653273456118768e-06
ljonly_r16_d4,123,train,lj_noisy,100,same_source_cyclic_next_latent,False,5,5,8.671281193528557e-06,4.512062150752172e-05,0.8035482713141034,1.0216250848316122e-05
ljonly_r16_d4,123,train,lj_noisy,125,same_source_cyclic_next_latent,False,5,5,1.3910821326135193e-05,7.115652042557485e-05,0.8003753116223635,1.5834269834158477e-05
ljonly_r16_d4,123,train,lj_noisy,149,same_source_cyclic_next_latent,False,5,5,2.005382575589465e-05,0.000101857472327506,0.8002024684229857,2.2171237287693656e-05
ljonly_r16_d4,123,train,lj_noisy,175,same_source_cyclic_next_latent,False,5,5,2.8464614661061206e-05,0.00014140228158788,0.7976023982684679,3.084208037762437e-05
ljonly_r16_d4,123,train,lj_noisy,199,same_source_cyclic_next_latent,False,5,5,3.814770607277751e-05,0.00018346654542252,0.79263324524529,4.095216645509936e-05
ljonly_r16_d4,123,validation,lj_noisy,0,same_source_cyclic_next_latent,False,20,20,9.79359970187943e-07,0.0,,1.1241752446267129e-06
ljonly_r16_d4,123,validation,lj_noisy,5,same_source_cyclic_next_latent,False,20,20,7.479368747453919e-07,9.562797735895856e-08,-6.816812216763095,9.099762088737861e-07
ljonly_r16_d4,123,validation,lj_noisy,10,same_source_cyclic_next_latent,False,20,20,5.946001806478307e-07,4.023101709549337e-07,-0.4728147594534258,7.784022670875856e-07
ljonly_r16_d4,123,validation,lj_noisy,25,same_source_cyclic_next_latent,False,20,20,6.240658493084084e-07,2.700515562992223e-06,0.7697466269763321,9.138832282928888e-07
ljonly_r16_d4,123,validation,lj_noisy,50,same_source_cyclic_next_latent,False,20,20,1.8597305711409717e-06,1.1352922138030408e-05,0.8374598352897114,2.467461541755256e-06
ljonly_r16_d4,123,validation,lj_noisy,75,same_source_cyclic_next_latent,False,20,20,4.342687850567017e-06,2.626361301736324e-05,0.8363411369083632,5.428597410173097e-06
ljonly_r16_d4,123,validation,lj_noisy,100,same_source_cyclic_next_latent,False,20,20,8.130420746965683e-06,4.754355759359896e-05,0.830481677475355,9.79562291831826e-06
ljonly_r16_d4,123,validation,lj_noisy,125,same_source_cyclic_next_latent,False,20,20,1.3407109327090438e-05,7.536162738688264e-05,0.8240646799547765,1.5940922321533434e-05
ljonly_r16_d4,123,validation,lj_noisy,149,same_source_cyclic_next_latent,False,20,20,2.0158592224106543e-05,0.00010829863385876113,0.8166873394473285,2.3922672153275925e-05
ljonly_r16_d4,123,validation,lj_noisy,175,same_source_cyclic_next_latent,False,20,20,2.97290815069573e-05,0.00015109891755851,0.8070219619327441,3.5010769352084026e-05
ljonly_r16_d4,123,validation,lj_noisy,199,same_source_cyclic_next_latent,False,20,20,4.063091773787164e-05,0.00019709730695462,0.7980337789116254,4.749901754621533e-05
ljonly_r16_d4,456,train,lj_noisy,0,same_source_cyclic_next_latent,False,5,5,7.108950171641482e-07,0.0,,8.041081400733674e-07
ljonly_r16_d4,456,train,lj_noisy,5,same_source_cyclic_next_latent,False,5,5,4.3498683908183013e-07,9.486441570061288e-08,-3.4923651811070138,5.396367555476899e-07
ljonly_r16_d4,456,train,lj_noisy,10,same_source_cyclic_next_latent,False,5,5,2.6822897325473605e-07,3.9631250956517763e-07,0.3492393514308099,3.9452963136454854e-07
ljonly_r16_d4,456,train,lj_noisy,25,same_source_cyclic_next_latent,False,5,5,3.302377479030838e-07,2.6223908207612114e-06,0.8754003216289933,5.630815735457873e-07
ljonly_r16_d4,456,train,lj_noisy,50,same_source_cyclic_next_latent,False,5,5,1.5637566775694721e-06,1.09006710772519e-05,0.8550049945719419,2.0642788740588003e-06
