code_snapshot,code_version,cpus,frozen_manifest,frozen_manifest_sha256,job_id,kind,memory_gb,placement,queue,seed,smoke,status,submitted_at,variant,walltime,run_status,path,elapsed_seconds,max_rss_kb,epochs_completed,total_train_frame_samples,approx_optimizer_steps_per_epoch
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672434.zeus-master,run,16,free:shared,mendels_q,3456456,False,submitted,2026-09-07T19:03:58.109723+00:00,r16_d2,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d2_s3456456_code_v2,8188.780906677246,6322912,22,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672435.zeus-master,run,16,free:shared,mendels_q,123,False,submitted,2026-09-07T19:04:02.311552+00:00,r16_d2,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d2_s123_code_v2,8307.748925924301,6311348,22,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672436.zeus-master,run,16,free:shared,mendels_q,456,False,submitted,2026-09-07T19:04:05.386267+00:00,r16_d2,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d2_s456_code_v2,10183.093970298767,6296696,25,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672437.zeus-master,run,16,free:shared,mendels_q,786,False,submitted,2026-09-07T19:04:08.866758+00:00,r16_d2,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d2_s786_code_v2,9223.064980745316,6308672,22,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672438.zeus-master,run,16,free:shared,mendels_q,2026,False,submitted,2026-09-07T19:04:12.449712+00:00,r16_d2,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d2_s2026_code_v2,6689.738355875015,6319160,17,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672439.zeus-master,run,16,free:shared,mendels_q,3456456,False,submitted,2026-09-07T19:04:16.589150+00:00,r16_d4,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d4_s3456456_code_v2,8401.710337400436,6339540,24,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672440.zeus-master,run,16,free:shared,mendels_q,123,False,submitted,2026-09-07T19:04:20.522668+00:00,r16_d4,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d4_s123_code_v2,8660.293149232864,6296020,19,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672441.zeus-master,run,16,free:shared,mendels_q,456,False,submitted,2026-09-07T19:04:24.470020+00:00,r16_d4,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d4_s456_code_v2,6397.782724142075,6321576,19,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672442.zeus-master,run,16,free:shared,mendels_q,786,False,submitted,2026-09-07T19:04:28.363422+00:00,r16_d4,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d4_s786_code_v2,7213.762614965439,6312348,22,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672443.zeus-master,run,16,free:shared,mendels_q,2026,False,submitted,2026-09-07T19:04:31.946148+00:00,r16_d4,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d4_s2026_code_v2,5994.765767335892,6318484,18,24000,750
