variant,seed,job_id,run_status,normalizers_path,approx_optimizer_steps_per_epoch,batch_graphs,epochs_completed,history_columns,total_train_frame_samples,train_by_source
r16_d2,3456456,4672434.zeus-master,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d2_s3456456_code_v2/normalizers.json,750,32,22,"['epoch', 'train_objective', 'val_objective', 'train_mse_norm', 'train_source_lj_noisy_reconstruction', 'train_source_depablo_low_temp_reconstruction', 'train_source_reid_reconstruction', 'train_macro_source_reconstruction', 'train_max_source_reconstruction', 'val_mse_norm', 'val_source_reid_reconstruction', 'val_source_depablo_low_temp_reconstruction', 'val_source_lj_noisy_reconstruction', 'val_macro_source_reconstruction', 'val_max_source_reconstruction', 'dataset', 'latent_dim', 'target_mode', 'hidden_size']",24000,"{'depablo_low_temp': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 6000, 'trajectories': 30}, 'lj_noisy': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 12000, 'trajectories': 60}, 'reid': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 6000, 'trajectories': 30}}"
r16_d2,123,4672435.zeus-master,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d2_s123_code_v2/normalizers.json,750,32,22,"['epoch', 'train_objective', 'val_objective', 'train_mse_norm', 'train_source_lj_noisy_reconstruction', 'train_source_depablo_low_temp_reconstruction', 'train_source_reid_reconstruction', 'train_macro_source_reconstruction', 'train_max_source_reconstruction', 'val_mse_norm', 'val_source_reid_reconstruction', 'val_source_depablo_low_temp_reconstruction', 'val_source_lj_noisy_reconstruction', 'val_macro_source_reconstruction', 'val_max_source_reconstruction', 'dataset', 'latent_dim', 'target_mode', 'hidden_size']",24000,"{'depablo_low_temp': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 6000, 'trajectories': 30}, 'lj_noisy': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 12000, 'trajectories': 60}, 'reid': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 6000, 'trajectories': 30}}"
r16_d2,456,4672436.zeus-master,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d2_s456_code_v2/normalizers.json,750,32,25,"['epoch', 'train_objective', 'val_objective', 'train_mse_norm', 'train_source_lj_noisy_reconstruction', 'train_source_depablo_low_temp_reconstruction', 'train_source_reid_reconstruction', 'train_macro_source_reconstruction', 'train_max_source_reconstruction', 'val_mse_norm', 'val_source_reid_reconstruction', 'val_source_depablo_low_temp_reconstruction', 'val_source_lj_noisy_reconstruction', 'val_macro_source_reconstruction', 'val_max_source_reconstruction', 'dataset', 'latent_dim', 'target_mode', 'hidden_size']",24000,"{'depablo_low_temp': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 6000, 'trajectories': 30}, 'lj_noisy': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 12000, 'trajectories': 60}, 'reid': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 6000, 'trajectories': 30}}"
r16_d2,786,4672437.zeus-master,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d2_s786_code_v2/normalizers.json,750,32,22,"['epoch', 'train_objective', 'val_objective', 'train_mse_norm', 'train_source_depablo_low_temp_reconstruction', 'train_source_lj_noisy_reconstruction', 'train_source_reid_reconstruction', 'train_macro_source_reconstruction', 'train_max_source_reconstruction', 'val_mse_norm', 'val_source_reid_reconstruction', 'val_source_depablo_low_temp_reconstruction', 'val_source_lj_noisy_reconstruction', 'val_macro_source_reconstruction', 'val_max_source_reconstruction', 'dataset', 'latent_dim', 'target_mode', 'hidden_size']",24000,"{'depablo_low_temp': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 6000, 'trajectories': 30}, 'lj_noisy': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 12000, 'trajectories': 60}, 'reid': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 6000, 'trajectories': 30}}"
r16_d2,2026,4672438.zeus-master,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d2_s2026_code_v2/normalizers.json,750,32,17,"['epoch', 'train_objective', 'val_objective', 'train_mse_norm', 'train_source_depablo_low_temp_reconstruction', 'train_source_lj_noisy_reconstruction', 'train_source_reid_reconstruction', 'train_macro_source_reconstruction', 'train_max_source_reconstruction', 'val_mse_norm', 'val_source_reid_reconstruction', 'val_source_depablo_low_temp_reconstruction', 'val_source_lj_noisy_reconstruction', 'val_macro_source_reconstruction', 'val_max_source_reconstruction', 'dataset', 'latent_dim', 'target_mode', 'hidden_size']",24000,"{'depablo_low_temp': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 6000, 'trajectories': 30}, 'lj_noisy': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 12000, 'trajectories': 60}, 'reid': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 6000, 'trajectories': 30}}"
r16_d4,3456456,4672439.zeus-master,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d4_s3456456_code_v2/normalizers.json,750,32,24,"['epoch', 'train_objective', 'val_objective', 'train_mse_norm', 'train_source_lj_noisy_reconstruction', 'train_source_reid_reconstruction', 'train_source_depablo_low_temp_reconstruction', 'train_macro_source_reconstruction', 'train_max_source_reconstruction', 'val_mse_norm', 'val_source_reid_reconstruction', 'val_source_depablo_low_temp_reconstruction', 'val_source_lj_noisy_reconstruction', 'val_macro_source_reconstruction', 'val_max_source_reconstruction', 'dataset', 'latent_dim', 'target_mode', 'hidden_size']",24000,"{'depablo_low_temp': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 6000, 'trajectories': 30}, 'lj_noisy': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 12000, 'trajectories': 60}, 'reid': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 6000, 'trajectories': 30}}"
r16_d4,123,4672440.zeus-master,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d4_s123_code_v2/normalizers.json,750,32,19,"['epoch', 'train_objective', 'val_objective', 'train_mse_norm', 'train_source_depablo_low_temp_reconstruction', 'train_source_lj_noisy_reconstruction', 'train_source_reid_reconstruction', 'train_macro_source_reconstruction', 'train_max_source_reconstruction', 'val_mse_norm', 'val_source_reid_reconstruction', 'val_source_depablo_low_temp_reconstruction', 'val_source_lj_noisy_reconstruction', 'val_macro_source_reconstruction', 'val_max_source_reconstruction', 'dataset', 'latent_dim', 'target_mode', 'hidden_size']",24000,"{'depablo_low_temp': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 6000, 'trajectories': 30}, 'lj_noisy': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 12000, 'trajectories': 60}, 'reid': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 6000, 'trajectories': 30}}"
r16_d4,456,4672441.zeus-master,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d4_s456_code_v2/normalizers.json,750,32,19,"['epoch', 'train_objective', 'val_objective', 'train_mse_norm', 'train_source_lj_noisy_reconstruction', 'train_source_reid_reconstruction', 'train_source_depablo_low_temp_reconstruction', 'train_macro_source_reconstruction', 'train_max_source_reconstruction', 'val_mse_norm', 'val_source_reid_reconstruction', 'val_source_depablo_low_temp_reconstruction', 'val_source_lj_noisy_reconstruction', 'val_macro_source_reconstruction', 'val_max_source_reconstruction', 'dataset', 'latent_dim', 'target_mode', 'hidden_size']",24000,"{'depablo_low_temp': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 6000, 'trajectories': 30}, 'lj_noisy': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 12000, 'trajectories': 60}, 'reid': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 6000, 'trajectories': 30}}"
r16_d4,786,4672442.zeus-master,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d4_s786_code_v2/normalizers.json,750,32,22,"['epoch', 'train_objective', 'val_objective', 'train_mse_norm', 'train_source_depablo_low_temp_reconstruction', 'train_source_lj_noisy_reconstruction', 'train_source_reid_reconstruction', 'train_macro_source_reconstruction', 'train_max_source_reconstruction', 'val_mse_norm', 'val_source_reid_reconstruction', 'val_source_depablo_low_temp_reconstruction', 'val_source_lj_noisy_reconstruction', 'val_macro_source_reconstruction', 'val_max_source_reconstruction', 'dataset', 'latent_dim', 'target_mode', 'hidden_size']",24000,"{'depablo_low_temp': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 6000, 'trajectories': 30}, 'lj_noisy': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 12000, 'trajectories': 60}, 'reid': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 6000, 'trajectories': 30}}"
r16_d4,2026,4672443.zeus-master,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d4_s2026_code_v2/normalizers.json,750,32,18,"['epoch', 'train_objective', 'val_objective', 'train_mse_norm', 'train_source_depablo_low_temp_reconstruction', 'train_source_lj_noisy_reconstruction', 'train_source_reid_reconstruction', 'train_macro_source_reconstruction', 'train_max_source_reconstruction', 'val_mse_norm', 'val_source_reid_reconstruction', 'val_source_depablo_low_temp_reconstruction', 'val_source_lj_noisy_reconstruction', 'val_macro_source_reconstruction', 'val_max_source_reconstruction', 'dataset', 'latent_dim', 'target_mode', 'hidden_size']",24000,"{'depablo_low_temp': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 6000, 'trajectories': 30}, 'lj_noisy': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 12000, 'trajectories': 60}, 'reid': {'available_frames_min': 200, 'configured_frames_per_trajectory': 200, 'frame_samples_used': 6000, 'trajectories': 30}}"
