split,source,original_index,frame,coordinate_mse,zero_displacement_mse,explained_displacement_score,shuffled_same_source_coordinate_mse,shuffled_original_index,valid,total,control,transfer_only,variant,seed,affine_x0_to_xt_mse,last_increment_extrapolation_mse,last_increment_extrapolation_valid,nodes,pca_in_sample_rank2_mse,pca_in_sample_rank4_mse,pca_in_sample_rank8_mse,persistence_mse,persistence_valid,zero_motion_mse,_merge,matched_motion_audit
train,reid,60,0,4.1712974052643403e-07,0.0,,6.709122857273543e-08,45,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.072962089538052e-31,,0,108,9.36058187197493e-09,6.678067423208076e-10,4.3623681321799544e-14,,0,0.0,both,True
train,reid,60,5,2.6437751898811257e-07,9.641969000995233e-08,-1.741945332543839,1.300048158014988e-08,45,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,7.294562261660138e-09,1.05860723711674e-11,1,108,1.3841827757341062e-09,1.0904887329774631e-10,5.990249622314625e-13,4.1193137326503675e-09,1,9.641968935044394e-08,both,True
train,reid,60,10,2.1007990369525947e-07,3.993454527062568e-07,0.4739394119261797,6.249983641737344e-08,45,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4.76390060471321e-08,2.598945614854279e-12,1,108,3.1970231040043513e-10,2.781024923548326e-11,3.526050666682384e-13,4.2751354901628865e-09,1,3.993454736876624e-07,both,True
train,reid,60,25,4.790314847014088e-07,2.613964852571371e-06,0.8167414208992967,7.555274805781664e-07,45,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4.386347058664685e-07,1.889550127603387e-12,1,108,5.813896561046959e-10,1.7801870516554298e-11,4.0182280323621747e-13,4.425950871123648e-09,1,2.6139648721740156e-06,both,True
train,reid,60,50,2.2017845822119853e-06,1.078044169844361e-05,0.7957611901440124,3.045934136025608e-06,45,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,2.163545579581615e-06,1.824954733105211e-12,1,108,4.963032252724482e-10,1.345753372504761e-12,4.309443755268344e-13,4.558951508052634e-09,1,1.0780441611380553e-05,both,True
train,reid,60,75,5.614114797936054e-06,2.4720842702663504e-05,0.7728995380351185,6.367360128933797e-06,45,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,5.4385347200654785e-06,1.86652254243221e-12,1,108,6.863813402881245e-11,5.987987524570116e-12,5.021998886433548e-13,4.658170086187797e-09,1,2.4720844453003553e-05,both,True
train,reid,60,100,1.0422525519970804e-05,4.460650961846113e-05,0.7663451902173204,1.1391676707717124e-05,45,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.042360369940494e-05,1.966508643197091e-12,1,108,1.9099469527482841e-10,3.687315625762977e-12,3.585807375611707e-13,4.7406721889685496e-09,1,4.460651040282046e-05,both,True
train,reid,60,125,1.655461710470263e-05,7.057588663883507e-05,0.7654352230894498,1.85427470569266e-05,45,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.722347554794474e-05,2.123601386015749e-12,1,108,4.583464913446829e-10,1.158049629671982e-12,4.143506869856732e-13,4.862046353425866e-09,1,7.057588609540902e-05,both,True
train,reid,60,149,2.423916885163635e-05,0.0001013229702948,0.7607732108415484,2.7657604732667096e-05,45,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,2.551722821735739e-05,3.024148893197761e-12,1,108,2.7715110915529283e-10,4.556137510037832e-12,4.0982842343460283e-13,4.909065598187649e-09,1,0.00010132297035600001,both,True
train,reid,60,175,3.516364813549444e-05,0.0001411672856193,0.7509079530627025,4.026722308481112e-05,45,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,3.6517861886340905e-05,1.4747234166040709e-12,1,108,4.217311197675151e-11,1.574201128479331e-12,4.59162232171376e-13,4.96189813138896e-09,1,0.000141167281778,both,True
train,reid,60,199,4.770268787979148e-05,0.000184061442269,0.740832804025993,5.439477172330953e-05,45,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4.8574893833187864e-05,2.0063387995857027e-12,1,108,1.908263701291507e-09,1.9144240243780812e-11,4.799306701348277e-13,5.005542182096871e-09,1,0.000184061451012,both,True
train,reid,45,0,1.3883645522128066e-07,0.0,,2.935802854153735e-07,43,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,7.870793181462765e-32,,0,168,1.4133510914115851e-08,4.896606028046222e-10,4.63422990154803e-14,,0,0.0,both,True
train,reid,45,5,4.375647932874927e-08,1.0940514982848981e-07,0.6000510085919668,1.9412490814829653e-07,43,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,5.8082248543944205e-09,5.508900909520863e-12,1,168,4.615526761114669e-09,5.091828835476415e-11,4.5437857652974636e-13,4.802892094573065e-09,1,1.094051463341593e-07,both,True
train,reid,45,10,4.119704399840885e-08,4.6404014142353844e-07,0.9112209476705432,2.1130206562247625e-07,43,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,3.3586351265515073e-08,1.782419443354886e-12,1,168,9.330168323056139e-10,1.9904056199665108e-11,3.122033608190249e-13,5.062193605581446e-09,1,4.6404013176076853e-07,both,True
train,reid,45,25,5.346716420717712e-07,3.134937742288457e-06,0.8294474448856298,9.553901918479824e-07,43,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,2.955966837745631e-07,1.464046598778008e-12,1,168,1.07501538230751e-09,6.673756677753562e-12,2.8049455260250473e-13,5.516585068980364e-09,1,3.1349375635643758e-06,both,True
train,reid,45,50,2.293974375788821e-06,1.3438479982141873e-05,0.8292980769523608,4.594305210048333e-06,43,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.500220659731511e-06,1.3375150273768781e-12,1,168,1.4975235768499292e-09,2.205811725988737e-12,3.27486214778875e-13,5.987872325197103e-09,1,1.3438480083460932e-05,both,True
train,reid,45,75,4.752932909468655e-06,3.157326864311472e-05,0.8494633874245661,1.1702605661412235e-05,43,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,3.859408736423617e-06,1.269112024372759e-12,1,168,1.419734886772337e-10,3.082149946936524e-12,3.300576461245675e-13,6.259381021635997e-09,1,3.1573268670424786e-05,both,True
train,reid,45,100,8.60286490933504e-06,5.785295434179716e-05,0.8512977425749249,2.2730784621671773e-05,43,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,7.50090567931626e-06,1.21955744954529e-12,1,168,3.728973846804286e-10,3.393930483287829e-12,3.252021060122066e-13,6.44931093283747e-09,1,5.7852958064942316e-05,both,True
train,reid,45,125,1.450732997909654e-05,9.246835543308408e-05,0.8431103277315778,3.793438008869998e-05,43,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.2498724739453232e-05,1.3623303217236451e-12,1,168,1.0640970526621482e-09,8.102696096587432e-13,3.67344387652512e-13,6.597715378752473e-09,1,9.246835566311007e-05,both,True
train,reid,45,149,2.266418960061856e-05,0.0001336682325927,0.8304444581857429,5.677656008629128e-05,43,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.8619630310436903e-05,1.306130268795004e-12,1,168,6.760608747471369e-10,3.707379586659286e-12,3.803209575703365e-13,6.667428262505772e-09,1,0.00013366824208000002,both,True
train,reid,45,175,3.447373819653876e-05,0.0001872494176495,0.8158940164980764,8.248788071796298e-05,43,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,2.6752827602511655e-05,1.301857508178689e-12,1,168,7.108406219329848e-11,1.9800210417533123e-12,4.12896505504263e-13,6.767472822636231e-09,1,0.00018724940576800002,both,True
train,reid,45,199,4.7828252718318254e-05,0.0002450735773891,0.8048412512362446,0.0001117210922529,43,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,3.5677342629201735e-05,1.305781162310387e-12,1,168,4.103278625773999e-09,1.800911922694402e-11,3.6954013786313223e-13,6.8661605583642295e-09,1,0.00024507358573800004,both,True
train,reid,43,0,2.1196628097186482e-07,0.0,,3.80363189833588e-08,73,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,8.864230101881299e-32,,0,128,1.803426286867399e-10,6.40353713729618e-12,6.746712468057233e-14,,0,0.0,both,True
train,reid,43,5,9.091824892948352e-08,1.0691530860640341e-07,0.1496236590010814,1.910746405542341e-08,73,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4.621825949171977e-10,1.9052391805331973e-12,1,128,1.1520214855287528e-11,1.3688508409187361e-12,3.413807448948993e-13,4.344180017462292e-09,1,1.0691530346354801e-07,both,True
train,reid,43,10,3.18677066957207e-08,4.315665478316078e-07,0.9261580702771358,8.611675639258466e-08,73,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,2.7847869490739553e-09,1.542711965796641e-12,1,128,4.607894417574359e-12,4.647314567830468e-13,2.989100067070404e-13,4.374420996447307e-09,1,4.3156654185452987e-07,both,True
train,reid,43,25,7.111469813025907e-08,2.7168591714143986e-06,0.9738246653052552,6.03646924446366e-07,73,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,2.283032178126487e-08,1.4306016257964539e-12,1,128,4.511306251129044e-12,4.2304126998413167e-13,2.9255457841012823e-13,4.370946886216449e-09,1,2.716859328996465e-06,both,True
train,reid,43,50,2.397704861323291e-07,1.0897718311753124e-05,0.9779981020546532,1.5513269318034872e-06,73,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.011367402154121e-07,1.7807849650181699e-12,1,128,2.15727988823671e-12,3.381785901496305e-13,3.0563083566949304e-13,4.362092371896207e-09,1,1.0897718596723402e-05,both,True
train,reid,43,75,2.971992500988563e-07,2.454836430842988e-05,0.9878933176009288,1.9222836726839887e-06,73,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,2.374834138658119e-07,1.648842835947879e-12,1,128,1.1074252598455069e-12,4.710226637172289e-13,3.02611937244977e-13,4.3636453678448704e-09,1,2.454836562931928e-05,both,True
train,reid,43,100,3.9095306192393764e-07,4.367970905150287e-05,0.9910495497700554,1.9782810340984724e-06,73,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4.3432446951267707e-07,1.775964903703028e-12,1,128,7.517307685834252e-13,4.126184405838637e-13,2.868731121296085e-13,4.392974914702876e-09,1,4.367970812126566e-05,both,True
train,reid,43,125,5.782382004326792e-07,6.829092308180407e-05,0.9915327224418972,2.0684615265054163e-06,73,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,6.940966195587143e-07,3.471038201600853e-12,1,128,1.750155906937369e-12,3.8550720295368313e-13,2.778469556573706e-13,4.411548759167971e-09,1,6.82909250732849e-05,both,True
train,reid,43,149,8.325506541950745e-07,9.70740511547774e-05,0.9914235509459924,2.2884291865921118e-06,73,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.0052621751605678e-06,2.063874109592065e-12,1,128,1.4879403254245268e-12,3.3094765050128985e-13,2.9828184028259294e-13,4.3877347076715575e-09,1,9.707405050166081e-05,both,True
train,reid,43,175,1.19778837870399e-06,0.0001339756854576,0.9910596585148118,2.65543962996162e-06,73,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.4137564513958028e-06,2.75649403815221e-12,1,128,4.661944840863308e-13,4.2104315720152377e-13,2.9042865062014215e-13,4.424972624946699e-09,1,0.00013397567331100002,both,True
train,reid,43,199,1.6771721220720792e-06,0.0001733038807287,0.9903223625748068,3.06915853798273e-06,73,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.859087730718169e-06,2.023298049962834e-12,1,128,7.658873031935568e-12,6.366702451184107e-13,2.920554786799194e-13,4.395926596089436e-09,1,0.000173303869657,both,True
train,reid,73,0,4.4684053790433615e-08,0.0,,4.083326814452448e-07,85,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,5.575448241680793e-32,,0,148,1.141936695506704e-10,9.877691456331678e-13,5.927581192241184e-14,,0,0.0,both,True
train,reid,73,5,2.1032056096714772e-08,1.0321873844532092e-07,0.7962380047121358,2.495627313692239e-07,85,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,3.162680248557333e-10,1.741069470259845e-12,1,148,1.030198391358557e-11,3.406232978612389e-13,2.485488445868898e-13,4.1042461009587e-09,1,1.032187430246041e-07,both,True
train,reid,73,10,6.862266133111916e-08,4.108747191367002e-07,0.8329839775119188,1.689851814035137e-07,85,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.93269708678027e-09,1.653470494232693e-12,1,148,1.439793204322636e-12,4.4120243750047016e-13,3.208640213827133e-13,4.07659769097431e-09,1,4.1087473003126164e-07,both,True
train,reid,73,25,4.363457719591679e-07,2.558030018917634e-06,0.8294211683474314,2.832919108186616e-07,85,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.5837148689931052e-08,1.218199642752541e-12,1,148,4.340243684941915e-12,3.3657351056364633e-13,2.672788174030063e-13,4.081709394419261e-09,1,2.558030040708625e-06,both,True
train,reid,73,50,9.615513363314676e-07,1.0220051990472712e-05,0.905915220663472,1.2704040273092687e-06,85,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,7.001945236055785e-08,1.477744200936339e-12,1,148,1.022395436142e-12,3.2347424129340163e-13,2.9765774870119944e-13,4.072458643066023e-09,1,1.022005198912718e-05,both,True
train,reid,73,75,9.56640406002407e-07,2.298522122146096e-05,0.9583801958316936,3.1295028293243377e-06,85,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.6400956721959947e-07,1.471120660420542e-12,1,148,4.141493726707414e-13,3.366577356647694e-13,2.9290521432959833e-13,4.0926018313260985e-09,1,2.2985222451394315e-05,both,True
train,reid,73,100,7.996732165338472e-07,4.084977626916952e-05,0.9804240490507315,5.944742042629514e-06,85,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,2.988635375495221e-07,2.235851771679343e-12,1,148,8.769037794187611e-13,2.85288449680522e-13,2.814069300427642e-13,4.104472149920031e-09,1,4.084977538490043e-05,both,True
train,reid,73,125,7.879598911131325e-07,6.38140772935003e-05,0.9876522559828128,9.58846794674173e-06,85,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4.762613285639145e-07,1.838694332628807e-12,1,148,1.584111322508022e-12,4.1036230387863706e-13,2.5316492813867864e-13,4.101980095751785e-09,1,6.381407288560032e-05,both,True
train,reid,73,149,9.544157819618704e-07,9.065200720215216e-05,0.9894716530673884,1.373417762806639e-05,85,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,6.874060898618769e-07,1.5223090301937492e-12,1,148,7.172049446461629e-13,4.085784097658423e-13,3.1841902313988483e-13,4.091496044048007e-09,1,9.065200574987467e-05,both,True
train,reid,73,175,1.2984415889150114e-06,0.0001250171335414,0.989613890895323,1.906735633383505e-05,85,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,9.634181464309203e-07,6.043932461214578e-12,1,148,8.597354774170684e-13,5.683168488639203e-13,3.036792611557547e-13,4.039977101289724e-09,1,0.000125017131651,both,True
train,reid,73,199,1.760738882694568e-06,0.0001616336521692,0.9891066070767812,2.508580291760154e-05,85,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.2628444754731612e-06,3.928282325225025e-12,1,148,3.160298308998152e-12,5.012096764972143e-13,2.872584510567789e-13,4.103509799726664e-09,1,0.000161633646227,both,True
train,reid,85,0,4.164618871982384e-07,0.0,,6.776305099265301e-07,60,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,5.305682343409294e-32,,0,148,2.360628869765498e-09,6.529001649247455e-11,2.527674818088652e-14,,0,0.0,both,True
train,reid,85,5,2.506806708879594e-07,9.90699291492092e-08,-1.5303406698758135,5.072719773124845e-07,60,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,3.353090998694354e-09,4.161091248323105e-12,1,148,2.834289307332199e-10,7.829078271259257e-12,3.393712285778888e-13,4.080361139097236e-09,1,9.906993628489285e-08,both,True
train,reid,85,10,1.5247420037667325e-07,4.059011473600549e-07,0.6243563208225649,4.192097549093887e-07,60,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.9553062371721934e-08,1.71724453812442e-12,1,148,8.787785926715842e-11,1.2330876230421091e-12,2.7861620690620283e-13,4.239655117545178e-09,1,4.059011752009945e-07,both,True
train,reid,85,25,1.7972801913401781e-07,2.630274593684589e-06,0.9316694844083758,5.094776724945405e-07,60,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.727426164833708e-07,1.514326733279952e-12,1,148,1.2385232941832342e-10,2.0468870958735242e-12,3.159697374431363e-13,4.369391259585372e-09,1,2.6302744811280618e-06,both,True
train,reid,85,50,7.87677890912164e-07,1.072301711246837e-05,0.9265432589866636,1.7657450825936394e-06,60,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,7.977389080953343e-07,1.233132702208064e-12,1,148,8.087045067508508e-11,5.403166226942853e-13,3.248306021814036e-13,4.391068427818636e-09,1,1.0723017059937702e-05,both,True
train,reid,85,75,1.7588573655302753e-06,2.430160930089187e-05,0.927623831666748,4.239492682245327e-06,60,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,1.894254969469023e-06,1.459220942519185e-12,1,148,6.208967892974836e-12,5.9299699647815e-13,2.529063788122106e-13,4.401600380143739e-09,1,2.4301609667140255e-05,both,True
train,reid,85,100,3.1678928280598484e-06,4.336205529398285e-05,0.9269432039929288,7.065254521876341e-06,60,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,3.467038582491789e-06,1.3732658501714022e-12,1,148,3.429741077017695e-11,4.0245417290150903e-13,3.228520645874419e-13,4.3940620386872185e-09,1,4.3362056990457156e-05,both,True
train,reid,85,125,5.0375629143673e-06,6.791073246859014e-05,0.9258208131285102,1.0288352314091752e-05,60,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,5.520862459031892e-06,1.468995188650179e-12,1,148,6.835403235249107e-11,4.852246486809402e-13,3.684169400512522e-13,4.391493783720275e-09,1,6.79107346092327e-05,both,True
