variant,source,frame,seeds,unique_networks,evaluations,coordinate_valid,coordinate_mse,zero_motion_mse,affine_x0_to_xt_mse,pca_in_sample_rank4_mse,shuffled_same_source_coordinate_mse,ae_over_affine_mse,shuffled_over_ae_mse
ljonly_r16_d4,lj_noisy,5,5,5,25,25,8.253594000962039e-07,9.486441761707228e-08,3.75890614981168e-09,6.558001540568354e-10,9.08314916046038e-07,219.57435679461008,1.1005083554390547
ljonly_r16_d4,lj_noisy,10,5,5,25,25,6.371348490574747e-07,3.963125139200146e-07,2.7726751678773896e-08,3.288913812111291e-10,7.419473345748884e-07,22.97906572103903,1.1645059686696855
ljonly_r16_d4,lj_noisy,25,5,5,25,25,6.031426300978637e-07,2.622390837923455e-06,3.051739450465259e-07,6.299594392357058e-10,8.19560218587867e-07,1.9763896619873966,1.3588166010664644
ljonly_r16_d4,lj_noisy,50,5,5,25,25,1.8559806994744577e-06,1.0900670728266218e-05,1.605750744216208e-06,3.3287516469883534e-10,2.395905353296257e-06,1.1558336224719554,1.2909107050384119
ljonly_r16_d4,lj_noisy,75,5,5,25,25,4.489823368203361e-06,2.5082033711610382e-05,4.124711122291213e-06,4.028707572640717e-10,5.497526490216842e-06,1.0885182586336697,1.2244415958877068
ljonly_r16_d4,lj_noisy,100,5,5,25,25,8.429411518591224e-06,4.5120623103113054e-05,7.936718917391868e-06,5.357621695990441e-10,9.936115529853851e-06,1.0620776175051014,1.1787436771759883
ljonly_r16_d4,lj_noisy,125,5,5,25,25,1.3527189767046365e-05,7.115652117857791e-05,1.2863806909897439e-05,6.720508953066945e-10,1.557844960188959e-05,1.0515697150769978,1.151639761855068
ljonly_r16_d4,lj_noisy,149,5,5,25,25,1.9598001599661075e-05,0.00010185746687709655,1.8536028385473923e-05,5.540660870712175e-10,2.213018600741634e-05,1.0572923817390885,1.1292062557949305
ljonly_r16_d4,lj_noisy,175,5,5,25,25,2.797785600705538e-05,0.0001414022826588,2.594718332607546e-05,5.455727664543405e-10,3.102403679804411e-05,1.078261777221083,1.1088782782433562
ljonly_r16_d4,lj_noisy,199,5,5,25,25,3.756484999030363e-05,0.0001834665443202,3.39152465253845e-05,4.516824586117567e-09,4.1110566162387843e-05,1.1076095219354374,1.094389200888582
ljonly_r16_d8,lj_noisy,5,5,5,25,25,8.258269872385426e-07,9.486441761707228e-08,3.75890614981168e-09,6.558001540568354e-10,9.513460440757626e-07,219.6987512656884,1.1519919532503282
ljonly_r16_d8,lj_noisy,10,5,5,25,25,6.537396677686047e-07,3.963125139200146e-07,2.7726751678773896e-08,3.288913812111291e-10,8.047955836332221e-07,23.57793928919097,1.2310643262328158
ljonly_r16_d8,lj_noisy,25,5,5,25,25,6.138447838566208e-07,2.622390837923455e-06,3.051739450465259e-07,6.299594392357058e-10,9.060375236913387e-07,2.011458690429931,1.4760042726093556
ljonly_r16_d8,lj_noisy,50,5,5,25,25,1.878244943327445e-06,1.0900670728266218e-05,1.605750744216208e-06,3.3287516469883534e-10,2.6123767065655556e-06,1.1696989399461533,1.3908605029637635
ljonly_r16_d8,lj_noisy,75,5,5,25,25,4.560077595670009e-06,2.5082033711610382e-05,4.124711122291213e-06,4.028707572640717e-10,5.929707931500161e-06,1.1055507793081414,1.300352418812056
ljonly_r16_d8,lj_noisy,100,5,5,25,25,8.560778915125412e-06,4.5120623103113054e-05,7.936718917391868e-06,5.357621695990441e-10,1.0567712961346842e-05,1.0786294694607403,1.2344335797149866
ljonly_r16_d8,lj_noisy,125,5,5,25,25,1.3644200771523174e-05,7.115652117857791e-05,1.2863806909897439e-05,6.720508953066945e-10,1.628437534236582e-05,1.0606658563123563,1.1935015919989214
ljonly_r16_d8,lj_noisy,149,5,5,25,25,1.9613306649262084e-05,0.00010185746687709655,1.8536028385473923e-05,5.540660870712175e-10,2.281482295074966e-05,1.0581180736986995,1.163231848598463
ljonly_r16_d8,lj_noisy,175,5,5,25,25,2.8065360311302356e-05,0.0001414022826588,2.594718332607546e-05,5.455727664543405e-10,3.1835032350500116e-05,1.0816341781151346,1.1343176070923149
ljonly_r16_d8,lj_noisy,199,5,5,25,25,3.824256848020013e-05,0.0001834665443202,3.39152465253845e-05,4.516824586117567e-09,4.2454959984752346e-05,1.1275922305791517,1.1101492831668238
mp2_r16_d4,depablo_low_temp,5,5,5,25,25,4.859387782829572e-08,1.0330704498472887e-07,4.372092237277946e-09,7.781693536739708e-12,7.749157902026126e-08,11.114559160936217,1.5946778171125644
mp2_r16_d4,depablo_low_temp,10,5,5,25,25,3.910690447028742e-08,4.278319277541216e-07,2.4954174088918685e-08,1.118432041926718e-12,1.21913759301151e-07,1.5671488197100256,3.117448464727717
mp2_r16_d4,depablo_low_temp,25,5,5,25,25,1.391504358139173e-07,2.764258881519992e-06,2.0117711658352973e-07,1.8002288390329277e-12,7.200880372693064e-07,0.6916812318270869,5.174888839243477
mp2_r16_d4,depablo_low_temp,50,5,5,25,25,5.349462642811886e-07,1.1252334530167582e-05,8.95106097426774e-07,4.3793566553556915e-13,3.17860667109926e-06,0.5976344768726716,5.941917690313023
mp2_r16_d4,depablo_low_temp,75,5,5,25,25,1.2139969544477936e-06,2.5546909560774275e-05,2.106854597293095e-06,9.206131302821488e-13,7.450258626704454e-06,0.5762129745486696,6.1369664885966095
mp2_r16_d4,depablo_low_temp,100,5,5,25,25,2.1728459978476166e-06,4.572099040783272e-05,3.856385888030757e-06,3.4891008753279574e-13,1.3629638378915843e-05,0.5634410198915982,6.272712558744212
mp2_r16_d4,depablo_low_temp,125,5,5,25,25,3.421197359330108e-06,7.185182385627643e-05,6.16406316275599e-06,4.864029770351856e-13,2.17352762047085e-05,0.5550230860711152,6.353119660119346
mp2_r16_d4,depablo_low_temp,149,5,5,25,25,4.930187737954839e-06,0.00010261770591026967,8.924335227320942e-06,9.312472623151731e-13,3.1262031479855066e-05,0.5524431358048465,6.340941388334091
mp2_r16_d4,depablo_low_temp,175,5,5,25,25,6.998453382038861e-06,0.0001423011971972,1.2538439479607814e-05,3.455010452420198e-13,4.3376960311434234e-05,0.5581598406580787,6.198078052896483
mp2_r16_d4,depablo_low_temp,199,5,5,25,25,9.453297438994923e-06,0.00018488138315240002,1.647194945541349e-05,3.1700798251106407e-12,5.608807354291135e-05,0.5739027711676292,5.933175582897416
mp2_r16_d4,lj_noisy,5,5,5,25,25,4.900797936358003e-08,9.486441761707228e-08,3.75890614981168e-09,6.558001540568354e-10,5.776650585431753e-08,13.037829999037172,1.1787163356758663
mp2_r16_d4,lj_noisy,10,5,5,25,25,4.532731985307237e-08,3.963125139200146e-07,2.7726751678773896e-08,3.288913812111291e-10,6.439932249691083e-08,1.6347865187458117,1.420761754845863
mp2_r16_d4,lj_noisy,25,5,5,25,25,3.0046421898077826e-07,2.622390837923455e-06,3.051739450465259e-07,6.299594392357058e-10,4.304658909859427e-07,0.9845670767698415,1.43266939553119
mp2_r16_d4,lj_noisy,50,5,5,25,25,1.5283144148270366e-06,1.0900670728266218e-05,1.605750744216208e-06,3.3287516469883534e-10,2.129743002114992e-06,0.9517756229177592,1.3935241213804952
mp2_r16_d4,lj_noisy,75,5,5,25,25,3.910367140633752e-06,2.5082033711610382e-05,4.124711122291213e-06,4.028707572640717e-10,5.357940917747328e-06,0.9480341834124868,1.370188712479557
mp2_r16_d4,lj_noisy,100,5,5,25,25,7.530934599344619e-06,4.5120623103113054e-05,7.936718917391868e-06,5.357621695990441e-10,1.0190494995185873e-05,0.9488725350776821,1.353151439672933
mp2_r16_d4,lj_noisy,125,5,5,25,25,1.2263900807738536e-05,7.115652117857791e-05,1.2863806909897439e-05,6.720508953066945e-10,1.6335719992639495e-05,0.9533648082281666,1.332016643703742
mp2_r16_d4,lj_noisy,149,5,5,25,25,1.7769357873476112e-05,0.00010185746687709655,1.8536028385473923e-05,5.540660870712175e-10,2.3009206779533996e-05,0.9586389006288626,1.2948811624689758
mp2_r16_d4,lj_noisy,175,5,5,25,25,2.510602182155708e-05,0.0001414022826588,2.594718332607546e-05,5.455727664543405e-10,3.1359025742858646e-05,0.9675817797273949,1.2490639084816089
