variant,seed,job_id,status
r16_d2,3456456,4672434.zeus-master,completed
r16_d2,123,4672435.zeus-master,completed
r16_d2,456,4672436.zeus-master,completed
r16_d2,786,4672437.zeus-master,completed
r16_d2,2026,4672438.zeus-master,completed
r16_d4,3456456,4672439.zeus-master,completed
r16_d4,123,4672440.zeus-master,completed
r16_d4,456,4672441.zeus-master,completed
r16_d4,786,4672442.zeus-master,completed
r16_d4,2026,4672443.zeus-master,completed
r16_d6,3456456,4672444.zeus-master,completed
r16_d6,123,4672445.zeus-master,completed
r16_d6,456,4672446.zeus-master,completed
r16_d6,786,4672447.zeus-master,completed
r16_d6,2026,4672448.zeus-master,completed
r16_d8,3456456,4672449.zeus-master,completed
r16_d8,123,4672450.zeus-master,completed
r16_d8,456,4672451.zeus-master,completed
r16_d8,786,4672452.zeus-master,completed
r16_d8,2026,4672453.zeus-master,completed
r96_d4,3456456,4672454.zeus-master,completed
r96_d4,123,4672455.zeus-master,completed
r96_d4,456,4672456.zeus-master,completed
r96_d4,786,4672457.zeus-master,completed
r96_d4,2026,4672459.zeus-master,completed
r96_d8,3456456,4672460.zeus-master,completed
r96_d8,123,4672461.zeus-master,completed
r96_d8,456,4672462.zeus-master,completed
r96_d8,786,4672463.zeus-master,completed
r96_d8,2026,4672464.zeus-master,completed
mp2_r16_d4,3456456,4672466.zeus-master,completed
mp2_r16_d4,123,4672467.zeus-master,completed
mp2_r16_d4,456,4672468.zeus-master,completed
mp2_r16_d4,786,4672470.zeus-master,completed
mp2_r16_d4,2026,4672471.zeus-master,completed
mp2_r16_d8,3456456,4672472.zeus-master,completed
mp2_r16_d8,123,4672473.zeus-master,completed
mp2_r16_d8,456,4672474.zeus-master,completed
mp2_r16_d8,786,4672475.zeus-master,completed
mp2_r16_d8,2026,4672476.zeus-master,completed
ljonly_r16_d4,3456456,4672477.zeus-master,completed
ljonly_r16_d4,123,4672478.zeus-master,completed
ljonly_r16_d4,456,4672479.zeus-master,completed
ljonly_r16_d4,786,4672480.zeus-master,completed
ljonly_r16_d4,2026,4672481.zeus-master,completed
ljonly_r16_d8,3456456,4672482.zeus-master,completed
ljonly_r16_d8,123,4672483.zeus-master,completed
ljonly_r16_d8,456,4672484.zeus-master,completed
ljonly_r16_d8,786,4672485.zeus-master,completed
ljonly_r16_d8,2026,4672486.zeus-master,completed
