split,source,original_index,frame,coordinate_mse_shared,zero_displacement_mse_shared,explained_displacement_score_shared,shuffled_same_source_coordinate_mse_shared,shuffled_original_index_shared,valid_shared,total_shared,control_shared,transfer_only_shared,variant_shared,seed,coordinate_mse_ljonly,zero_displacement_mse_ljonly,explained_displacement_score_ljonly,shuffled_same_source_coordinate_mse_ljonly,shuffled_original_index_ljonly,valid_ljonly,total_ljonly,control_ljonly,transfer_only_ljonly,variant_ljonly,latent_dim,shared_minus_ljonly_mse
train,lj_noisy,178,0,6.513982242495332e-08,0.0,,3.999384716735221e-07,199,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,5.861176077814889e-07,0.0,,8.227154353335209e-07,199,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-5.209777853565356e-07
train,lj_noisy,178,5,3.348026567095985e-08,8.898146575120337e-08,0.6237388832796669,3.2296208019033656e-07,199,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,3.934509607006476e-07,8.898146575120337e-08,-3.4217181339848475,6.264398848543351e-07,199,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-3.5997069502968776e-07
train,lj_noisy,178,10,3.7103905725643926e-08,3.5017228583456017e-07,0.8940409985981193,2.886769721044402e-07,199,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,2.7557052817428485e-07,3.5017228583456017e-07,0.2130430096216156,5.146175112713536e-07,199,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-2.384666224486409e-07
train,lj_noisy,178,25,2.6582821988085925e-07,2.1434675545606297e-06,0.8759821582952073,5.206022137826949e-07,199,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,3.449302425906353e-07,2.1434675545606297e-06,0.8390783933926448,6.931078928573697e-07,199,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-7.910202270977607e-08
train,lj_noisy,178,50,1.5084315236890689e-06,8.785852514847647e-06,0.8283113083061779,2.3055281417327933e-06,199,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,1.6635322026559152e-06,8.785852514847647e-06,0.8106578502376827,2.698495791264577e-06,199,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-1.5510067896684632e-07
train,lj_noisy,178,75,4.013436864624964e-06,2.023533670580946e-05,0.8016619677263523,6.251824743230827e-06,199,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,4.3667564568750095e-06,2.023533670580946e-05,0.7842014432296875,6.913765446370235e-06,199,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-3.533195922500454e-07
train,lj_noisy,178,100,7.380505394394277e-06,3.592209759517573e-05,0.7945413578692169,1.1874956726387609e-05,199,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,7.96681888459716e-06,3.592209759517573e-05,0.778219552366366,1.218767647515051e-05,199,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-5.863134902028833e-07
train,lj_noisy,178,125,1.152777076640632e-05,5.6316977861570194e-05,0.7953055862702341,1.8405564333079383e-05,199,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,1.23302825159044e-05,5.6316977861570194e-05,0.7810556783389049,1.7460411982028745e-05,199,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-8.025117494980805e-07
train,lj_noisy,178,149,1.537355092295911e-05,8.071761840255931e-05,0.8095390916232525,2.3300446628127247e-05,199,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,1.6498170225531794e-05,8.071761840255931e-05,0.7956063304141208,2.173081156797707e-05,199,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-1.1246193025726825e-06
train,lj_noisy,178,175,1.9440934920567088e-05,0.0001124141563195,0.8270597266655637,2.720651718846057e-05,199,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,2.1393303541117348e-05,0.0001124141563195,0.809692086463737,2.626844616315793e-05,199,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-1.95236862055026e-06
train,lj_noisy,178,199,2.412584217381664e-05,0.0001466976100346,0.8355403188359707,3.0854491342324764e-05,199,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,2.72534725809237e-05,0.0001466976100346,0.8142200641544579,3.1677984225098044e-05,199,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-3.1276304071070592e-06
train,lj_noisy,199,0,2.9702619031013455e-07,0.0,,1.2279549821414548e-07,42,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,6.447659188779653e-07,0.0,,5.360831210055039e-07,42,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-3.4773972856783075e-07
train,lj_noisy,199,5,1.9984310029030894e-07,9.910389309197853e-08,-1.0165010077337135,6.841712263394585e-08,42,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,4.321314861499559e-07,9.910389309197853e-08,-3.3603886050055944,3.505461165786983e-07,42,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-2.3228838585964695e-07
