latent_dim,split,source,frame,seed,networks,shared_mse,ljonly_mse,difference
4,train,lj_noisy,0,123,5,5.752678106318853e-07,9.421872505299689e-07,-3.6691943989808345e-07
4,train,lj_noisy,0,456,5,9.299275802732154e-07,7.108950171641482e-07,2.1903256310906722e-07
4,train,lj_noisy,0,786,5,2.950931985878924e-07,1.4811018445470836e-06,-1.1860086459591912e-06
4,train,lj_noisy,0,2026,5,6.277807187871076e-07,1.6217692518694093e-06,-9.939885330823017e-07
4,train,lj_noisy,0,3456456,5,2.543891056916436e-07,7.182271588135336e-07,-4.6383805312189e-07
4,train,lj_noisy,5,123,5,3.7607961047569913e-07,7.232966027004295e-07,-3.4721699222473034e-07
4,train,lj_noisy,5,456,5,6.693008515412657e-07,4.3498683908183013e-07,2.3431401245943563e-07
4,train,lj_noisy,5,786,5,2.0983928763484983e-07,1.1464159115348593e-06,-9.365766239000095e-07
4,train,lj_noisy,5,2026,5,4.2899140169083693e-07,1.3080631333650672e-06,-8.790717316742302e-07
4,train,lj_noisy,5,3456456,5,1.7774795324498882e-07,5.140345137988334e-07,-3.3628656055384453e-07
4,train,lj_noisy,10,123,5,2.5145783979496625e-07,5.889044416562683e-07,-3.3744660186130206e-07
4,train,lj_noisy,10,456,5,4.739063228953455e-07,2.6822897325473605e-07,2.0567734964060947e-07
4,train,lj_noisy,10,786,5,1.6415269641356644e-07,8.911665531741165e-07,-7.2701385676055e-07
4,train,lj_noisy,10,2026,5,2.885302265553946e-07,1.0581567039480434e-06,-7.696264773926487e-07
4,train,lj_noisy,10,3456456,5,1.4459451804782475e-07,3.792175732542091e-07,-2.3462305520638438e-07
4,train,lj_noisy,25,123,5,3.688200479246007e-07,6.856672314370371e-07,-3.1684718351243644e-07
4,train,lj_noisy,25,456,5,3.8339657066899234e-07,3.302377479030838e-07,5.3158822765908574e-08
4,train,lj_noisy,25,786,5,3.6050484197858173e-07,7.091804491210496e-07,-3.4867560714246795e-07
4,train,lj_noisy,25,2026,5,3.477833899978577e-07,8.568221119276132e-07,-5.090387219297554e-07
4,train,lj_noisy,25,3456456,5,3.4870449781010395e-07,4.33805610100535e-07,-8.510111229043105e-08
4,train,lj_noisy,50,123,5,1.72357124483824e-06,2.013171251746826e-06,-2.896000069085858e-07
4,train,lj_noisy,50,456,5,1.5357548363681417e-06,1.5637566775694721e-06,-2.800184120133045e-08
4,train,lj_noisy,50,786,5,1.6678632391631253e-06,1.924722755575203e-06,-2.5685951641207796e-07
4,train,lj_noisy,50,2026,5,1.629043458706292e-06,2.0110281639063033e-06,-3.819847052000114e-07
4,train,lj_noisy,50,3456456,5,1.5916129086690488e-06,1.7672246485744836e-06,-1.7561173990543466e-07
4,train,lj_noisy,75,123,5,4.111893849767511e-06,4.617208105628379e-06,-5.05314255860867e-07
4,train,lj_noisy,75,456,5,4.057969226778368e-06,4.065567100042244e-06,-7.597873263876039e-09
4,train,lj_noisy,75,786,5,4.241912165525719e-06,4.6959596147644335e-06,-4.5404744923871477e-07
4,train,lj_noisy,75,2026,5,4.132905360165751e-06,4.625489600584842e-06,-4.925842404190918e-07
4,train,lj_noisy,75,3456456,5,4.032200695291976e-06,4.4448924199969045e-06,-4.1269172470492774e-07
4,train,lj_noisy,100,123,5,7.858355729695177e-06,8.671281193528557e-06,-8.129254638333805e-07
4,train,lj_noisy,100,456,5,8.128053559630644e-06,7.961962273839162e-06,1.6609128579148059e-07
4,train,lj_noisy,100,786,5,8.155768318829359e-06,8.791807795205387e-06,-6.360394763760267e-07
4,train,lj_noisy,100,2026,5,8.215241723519285e-06,8.464922757411841e-06,-2.4968103389255704e-07
4,train,lj_noisy,100,3456456,5,7.801138144714059e-06,8.25708357297117e-06,-4.559454282571096e-07
4,train,lj_noisy,125,123,5,1.2904165123472921e-05,1.3910821326135193e-05,-1.0066562026622705e-06
4,train,lj_noisy,125,456,5,1.332781776000047e-05,1.3049575318291318e-05,2.7824244170915403e-07
4,train,lj_noisy,125,786,5,1.305733803746989e-05,1.4037438631930854e-05,-9.801005944609631e-07
4,train,lj_noisy,125,2026,5,1.3391703396337106e-05,1.3478588152793236e-05,-8.688475645612959e-08
4,train,lj_noisy,125,3456456,5,1.2654211604967714e-05,1.3159525406081229e-05,-5.053138011135158e-07
4,train,lj_noisy,149,123,5,1.868368235591333e-05,2.005382575589465e-05,-1.370143399981317e-06
4,train,lj_noisy,149,456,5,1.893822754936991e-05,1.901238938444294e-05,-7.416183507302674e-08
4,train,lj_noisy,149,786,5,1.8532752437749878e-05,2.025701614911668e-05,-1.7242637113668046e-06
4,train,lj_noisy,149,2026,5,1.895814057206735e-05,1.9455095389275813e-05,-4.969548172084628e-07
4,train,lj_noisy,149,3456456,5,1.8169908253184984e-05,1.921168131957529e-05,-1.0417730663903054e-06
4,train,lj_noisy,175,123,5,2.6324502323404884e-05,2.8464614661061206e-05,-2.14011233765632e-06
4,train,lj_noisy,175,456,5,2.6347033781348728e-05,2.7181525365449487e-05,-8.344915841007605e-07
4,train,lj_noisy,175,786,5,2.6006971893366426e-05,2.8732583450619133e-05,-2.725611557252705e-06
4,train,lj_noisy,175,2026,5,2.64147027337458e-05,2.760476418188773e-05,-1.1900614481419324e-06
4,train,lj_noisy,175,3456456,5,2.5573380116838963e-05,2.790579237625934e-05,-2.33241225942038e-06
4,train,lj_noisy,199,123,5,3.501854298519902e-05,3.814770607277751e-05,-3.129163087578491e-06
4,train,lj_noisy,199,456,5,3.5288501749164425e-05,3.6472990905167536e-05,-1.1844891560031087e-06
4,train,lj_noisy,199,786,5,3.481757703411858e-05,3.825024250545539e-05,-3.432665471336805e-06
4,train,lj_noisy,199,2026,5,3.532274240569677e-05,3.687864627863746e-05,-1.5559038729406914e-06
4,train,lj_noisy,199,3456456,5,3.42149447533302e-05,3.8074664189480245e-05,-3.859719436150044e-06
4,validation,lj_noisy,0,123,20,5.521297705257667e-07,9.79359970187943e-07,-4.2723019966217635e-07
4,validation,lj_noisy,0,456,20,8.536957871285722e-07,7.149650386395478e-07,1.3873074848902435e-07
4,validation,lj_noisy,0,786,20,3.680841798470169e-07,1.4776766533941555e-06,-1.1095924735471384e-06
4,validation,lj_noisy,0,2026,20,7.101009302346029e-07,1.6516751088602178e-06,-9.415741786256149e-07
4,validation,lj_noisy,0,3456456,20,2.6137980491114376e-07,7.476106674175753e-07,-4.862308625064315e-07
4,validation,lj_noisy,5,123,20,3.718377058703481e-07,7.479368747453919e-07,-3.760991688750437e-07
4,validation,lj_noisy,5,456,20,6.178414647450836e-07,4.343089266001243e-07,1.8353253814495928e-07
4,validation,lj_noisy,5,786,20,2.784439782743675e-07,1.1422035697705723e-06,-8.637595914962049e-07
4,validation,lj_noisy,5,2026,20,5.037328001833429e-07,1.3311772590895998e-06,-8.274444589062569e-07
4,validation,lj_noisy,5,3456456,20,1.933234560880237e-07,5.41687114719025e-07,-3.483636586310013e-07
4,validation,lj_noisy,10,123,20,2.6856684645082394e-07,5.946001806478307e-07,-3.2603333419700677e-07
4,validation,lj_noisy,10,456,20,4.4706511062031493e-07,2.6554645771170726e-07,1.815186529086077e-07
4,validation,lj_noisy,10,786,20,2.2205911971440172e-07,8.788154275407578e-07,-6.56756307826356e-07
4,validation,lj_noisy,10,2026,20,3.501809295869407e-07,1.0645138473819315e-06,-7.143329177949909e-07
4,validation,lj_noisy,10,3456456,20,1.6523342321050906e-07,4.031116468183882e-07,-2.3787822360787915e-07
4,validation,lj_noisy,25,123,20,4.6969965410426085e-07,6.240658493084084e-07,-1.5436619520414753e-07
4,validation,lj_noisy,25,456,20,4.300648988930789e-07,3.452912807233588e-07,8.477361816972008e-08
4,validation,lj_noisy,25,786,20,3.6560738223556657e-07,6.590967274178183e-07,-2.9348934518225176e-07
4,validation,lj_noisy,25,2026,20,3.582098138110723e-07,8.143219417888758e-07,-4.561121279778035e-07
4,validation,lj_noisy,25,3456456,20,3.655005741620698e-07,4.5338522056681543e-07,-8.788464640474558e-08
4,validation,lj_noisy,50,123,20,1.909029163016385e-06,1.8597305711409717e-06,4.929859187541301e-08
4,validation,lj_noisy,50,456,20,1.6279003688168813e-06,1.5971662605807069e-06,3.073410823617453e-08
4,validation,lj_noisy,50,786,20,1.5836337951213864e-06,1.7757073010216117e-06,-1.9207350590022543e-07
4,validation,lj_noisy,50,2026,20,1.5765998966799088e-06,1.8765985657864804e-06,-2.9999866910657154e-07
4,validation,lj_noisy,50,3456456,20,1.5850638533265737e-06,1.7572915766095321e-06,-1.7222772328295834e-07
4,validation,lj_noisy,75,123,20,4.193015081455087e-06,4.342687850567017e-06,-1.496727691119304e-07
4,validation,lj_noisy,75,456,20,4.031282344385545e-06,4.062134712512488e-06,-3.0852368126943453e-08
4,validation,lj_noisy,75,786,20,4.0718405671213985e-06,4.386975444958807e-06,-3.151348778374086e-07
4,validation,lj_noisy,75,2026,20,4.014780381567107e-06,4.368739814708533e-06,-3.5395943314142643e-07
4,validation,lj_noisy,75,3456456,20,4.034059384139255e-06,4.359776937690185e-06,-3.2571755355093056e-07
4,validation,lj_noisy,100,123,20,7.757559797028079e-06,8.130420746965683e-06,-3.728609499376033e-07
4,validation,lj_noisy,100,456,20,7.87225721978757e-06,7.856303841435875e-06,1.5953378351696218e-08
4,validation,lj_noisy,100,786,20,7.863491578063986e-06,8.261231505457544e-06,-3.9773992739355884e-07
4,validation,lj_noisy,100,2026,20,7.85985048423754e-06,8.05029212642694e-06,-1.904416421893981e-07
4,validation,lj_noisy,100,3456456,20,7.82932386300672e-06,8.098077228169131e-06,-2.6875336516241073e-07
4,validation,lj_noisy,125,123,20,1.3015600666221872e-05,1.3407109327090438e-05,-3.9150866086856696e-07
4,validation,lj_noisy,125,456,20,1.3142446368874516e-05,1.3129434910297277e-05,1.301145857723887e-08
4,validation,lj_noisy,125,786,20,1.3041269130553702e-05,1.3557365537053557e-05,-5.16096406499855e-07
4,validation,lj_noisy,125,2026,20,1.3103627952659736e-05,1.3213441116022296e-05,-1.0981316336256062e-07
4,validation,lj_noisy,125,3456456,20,1.3072971432848135e-05,1.3311412021721481e-05,-2.384405888733457e-07
4,validation,lj_noisy,149,123,20,1.9590480405895505e-05,2.0158592224106543e-05,-5.681118182110364e-07
4,validation,lj_noisy,149,456,20,1.9456657537375576e-05,1.9826409697998315e-05,-3.6975216062273845e-07
4,validation,lj_noisy,149,786,20,1.952810066541133e-05,2.0387474205563193e-05,-8.593735401518648e-07
4,validation,lj_noisy,149,2026,20,1.9528827806425397e-05,1.9934136571464477e-05,-4.0530876503908135e-07
4,validation,lj_noisy,149,3456456,20,1.955193524736387e-05,2.0113277196287525e-05,-5.613419489236555e-07
4,validation,lj_noisy,175,123,20,2.867734756364371e-05,2.97290815069573e-05,-1.0517339433135926e-06
4,validation,lj_noisy,175,456,20,2.8418434703780802e-05,2.9326176900212886e-05,-9.077421964320822e-07
4,validation,lj_noisy,175,786,20,2.87387078969914e-05,3.0085212074482115e-05,-1.346504177490715e-06
4,validation,lj_noisy,175,2026,20,2.8731251040881035e-05,2.9465826901287074e-05,-7.3457586040604e-07
4,validation,lj_noisy,175,3456456,20,2.8671047493844527e-05,3.0030867219466017e-05,-1.3598197256214924e-06
4,validation,lj_noisy,199,123,20,3.9341466708719965e-05,4.063091773787164e-05,-1.289451029151678e-06
4,validation,lj_noisy,199,456,20,3.917294261555071e-05,4.027001714348444e-05,-1.097074527933727e-06
4,validation,lj_noisy,199,786,20,3.937167994081392e-05,4.108290531803505e-05,-1.7112253772211254e-06
4,validation,lj_noisy,199,2026,20,3.960194626415614e-05,4.031181324534882e-05,-7.098669811926771e-07
4,validation,lj_noisy,199,3456456,20,3.958431780120009e-05,4.1736917683010685e-05,-2.1525998818106023e-06
8,train,lj_noisy,0,123,5,1.6156841908809838e-07,1.1114349490526364e-06,-9.498665299645382e-07
8,train,lj_noisy,0,456,5,2.494287542731399e-07,6.248320119084383e-07,-3.7540325763529837e-07
8,train,lj_noisy,0,786,5,3.346968441064746e-07,6.794844068735984e-07,-3.447875627671238e-07
8,train,lj_noisy,0,2026,5,4.51766698006395e-07,1.6870426634341128e-06,-1.235275965427718e-06
8,train,lj_noisy,0,3456456,5,1.2817940728382382e-06,1.1926466640943547e-06,8.914740874388355e-08
