latent_dim,split,source,frame,seeds,shared_mse,ljonly_mse,difference_mean,difference_std
4,train,lj_noisy,0,5,5.36491682794349e-07,1.0948361045848288e-06,-5.583444217904798e-07,5.553463162899998e-07
4,train,lj_noisy,5,5,3.723918209175281e-07,8.253594000962039e-07,-4.529675791786758e-07,4.776494765681429e-07
4,train,lj_noisy,10,5,2.6452832074141953e-07,6.371348490574747e-07,-3.726065283160551e-07,3.9934862501461505e-07
4,train,lj_noisy,25,5,3.618418696760273e-07,6.031426300978637e-07,-2.4130076042183646e-07,2.2362077944030287e-07
4,train,lj_noisy,50,5,1.6295691375489695e-06,1.8559806994744577e-06,-2.2641156192548802e-07,1.332946919566024e-07
4,train,lj_noisy,75,5,4.115376259505865e-06,4.489823368203361e-06,-3.744471086974955e-07,2.082425379840479e-07
4,train,lj_noisy,100,5,8.031711495277704e-06,8.429411518591224e-06,-3.977000233135186e-07,3.782792123516779e-07
4,train,lj_noisy,125,5,1.3067047184449619e-05,1.3527189767046367e-05,-4.60142582596745e-07,5.602695241791326e-07
4,train,lj_noisy,149,5,1.865654223365709e-05,1.9598001599661075e-05,-9.414593660039834e-07,6.626471126568867e-07
4,train,lj_noisy,175,5,2.613331816974096e-05,2.797785600705538e-05,-1.8445378373144195e-06,7.984687555845071e-07
4,train,lj_noisy,199,5,3.49324617855018e-05,3.756484999030363e-05,-2.632388204801828e-06,1.1883603316321971e-06
4,validation,lj_noisy,0,5,5.490780945294205e-07,1.1142574876998878e-06,-5.651793931704674e-07,4.895944685700928e-07
4,validation,lj_noisy,5,5,3.9303588103223317e-07,8.394627489849426e-07,-4.4642686795270954e-07,4.274202376956535e-07
4,validation,lj_noisy,10,5,2.906210859165981e-07,6.413175120201231e-07,-3.5069642610352504e-07,3.6141847439446815e-07
4,validation,lj_noisy,25,5,3.978164646412097e-07,5.792322039610554e-07,-1.8141573931984567e-07,2.05155499738731e-07
4,validation,lj_noisy,50,5,1.656445415392227e-06,1.7732988550278604e-06,-1.1685343963563355e-07,1.513729885071372e-07
4,validation,lj_noisy,75,5,4.068995551733679e-06,4.3040629520874065e-06,-2.3506740035372789e-07,1.3942703209741684e-07
4,validation,lj_noisy,100,5,7.83649658842478e-06,8.079265089691035e-06,-2.4276850126625497e-07,1.6680116339734744e-07
4,validation,lj_noisy,125,5,1.3075183110231592e-05,1.332375258243701e-05,-2.4856947220541793e-07,2.1200398763881163e-07
4,validation,lj_noisy,149,5,1.9531200332494334e-05,2.008397797908401e-05,-5.527776465896754e-07,1.933616595800439e-07
4,validation,lj_noisy,175,5,2.8647357739828292e-05,2.9727432920481082e-05,-1.0800751806527844e-06,2.734561593158523e-07
4,validation,lj_noisy,199,5,3.941447066608816e-05,4.080651422555012e-05,-1.392043559461962e-06,5.574988325162426e-07
8,train,lj_noisy,0,5,4.958509576624692e-07,1.0590881390726282e-06,-5.63237181410159e-07,5.267176313414495e-07
8,train,lj_noisy,5,5,3.2997830118119964e-07,8.258269872385426e-07,-4.95848686057343e-07,4.2679454790318377e-07
8,train,lj_noisy,10,5,2.2758646622378362e-07,6.537396677686047e-07,-4.26153201544821e-07,3.3084123770720925e-07
8,train,lj_noisy,25,5,3.5862369884398504e-07,6.138447838566208e-07,-2.5522108501263577e-07,1.523766576802759e-07
8,train,lj_noisy,50,5,1.670823398853827e-06,1.878244943327445e-06,-2.0742154447361824e-07,1.1600726118703494e-07
8,train,lj_noisy,75,5,4.203558182780398e-06,4.560077595670009e-06,-3.5651941288961086e-07,1.9174563681491455e-07
8,train,lj_noisy,100,5,8.097726222331403e-06,8.56077891512541e-06,-4.6305269279400835e-07,3.01894063941365e-07
8,train,lj_noisy,125,5,1.310118786932435e-05,1.3644200771523174e-05,-5.430129021988255e-07,3.8254053008867106e-07
8,train,lj_noisy,149,5,1.882304008177016e-05,1.9613306649262084e-05,-7.902665674919262e-07,6.067058976963783e-07
8,train,lj_noisy,175,5,2.6604648592183367e-05,2.8065360311302356e-05,-1.46071171911899e-06,1.3452710893000543e-06
8,train,lj_noisy,199,5,3.562530924682505e-05,3.824256848020013e-05,-2.61725923337508e-06,2.783559608678486e-06
8,validation,lj_noisy,0,5,4.953012937392032e-07,1.0604191916741003e-06,-5.65117897934897e-07,5.390105980224653e-07
8,validation,lj_noisy,5,5,3.3714910760096476e-07,8.278059827659944e-07,-4.906568751650297e-07,4.3658388155158844e-07
8,validation,lj_noisy,10,5,2.408114088225943e-07,6.54356900255948e-07,-4.1354549143335365e-07,3.3673238377772854e-07
8,validation,lj_noisy,25,5,3.842412453991528e-07,6.086162588303523e-07,-2.2437501343119945e-07,1.4700337623868528e-07
8,validation,lj_noisy,50,5,1.6669408068992198e-06,1.8147057437545301e-06,-1.4776493685531027e-07,1.1207923558330707e-07
8,validation,lj_noisy,75,5,4.087380391410989e-06,4.415827813772921e-06,-3.284474223619327e-07,2.0577612179410542e-07
8,validation,lj_noisy,100,5,7.829493447388812e-06,8.304239081553532e-06,-4.7474563416471914e-07,3.1982447753109305e-07
8,validation,lj_noisy,125,5,1.3065789635220427e-05,1.3650281471200287e-05,-5.844918359798613e-07,4.2169897196931205e-07
8,validation,lj_noisy,149,5,1.9630898359537243e-05,2.0502372208284215e-05,-8.714738487469735e-07,6.052460855595844e-07
8,validation,lj_noisy,175,5,2.892944376981177e-05,3.0508344279951417e-05,-1.578900510139647e-06,1.24920646444359e-06
8,validation,lj_noisy,199,5,4.011141065348056e-05,4.2519491471466406e-05,-2.408080817985847e-06,2.9289160966612934e-06
