split,source,frame,transfer_only,networks,valid,total,coordinate_mse,zero_displacement_mse,explained_displacement_score,shuffled_same_source_coordinate_mse
train,lj_noisy,0,False,5,5,5,1.6870426634341128e-06,0.0,,1.8822463857759431e-06
train,lj_noisy,5,False,5,5,5,1.3678656387128286e-06,9.486441570061288e-08,-13.327230690031893,1.5879070701885213e-06
train,lj_noisy,10,False,5,5,5,1.1122140449515427e-06,3.9631250956517763e-07,-1.7668112494694443,1.365287232601986e-06
train,lj_noisy,25,False,5,5,5,8.906941047825967e-07,2.6223908207612114e-06,0.6663722227862212,1.3054952489710559e-06
train,lj_noisy,50,False,5,5,5,2.0477251609918312e-06,1.09006710772519e-05,0.8116307590262348,2.9676972417291836e-06
train,lj_noisy,75,False,5,5,5,4.7932009692885915e-06,2.5082033971557394e-05,0.8064051154963179,6.434283477574354e-06
train,lj_noisy,100,False,5,5,5,8.795757639745717e-06,4.512062150752172e-05,0.8017506011401345,1.1118806651211343e-05
train,lj_noisy,125,False,5,5,5,1.3758135355601554e-05,7.115652042557485e-05,0.8035803281482379,1.684403559920611e-05
train,lj_noisy,149,False,5,5,5,1.9701609380717856e-05,0.00010185747232753784,0.8047449178744873,2.3607043840456753e-05
train,lj_noisy,175,False,5,5,5,2.820564550347626e-05,0.00014140228158794345,0.8002980840729134,3.2840268249856305e-05
train,lj_noisy,199,False,5,5,5,3.83785147278104e-05,0.00018346654542256147,0.7918043402433603,4.340468003647402e-05
validation,lj_noisy,0,False,20,20,20,1.665155201635571e-06,0.0,,1.9387512111279648e-06
validation,lj_noisy,5,False,20,20,20,1.341501896945374e-06,9.562797735895856e-08,-13.006210218865132,1.6489738200675675e-06
validation,lj_noisy,10,False,20,20,20,1.0802494927020235e-06,4.023101709549337e-07,-1.6684262882964949,1.424334007538164e-06
validation,lj_noisy,25,False,20,20,20,8.494901265976295e-07,2.700515562992223e-06,0.6900017674435265,1.3545878857712524e-06
validation,lj_noisy,50,False,20,20,20,1.9855513357924792e-06,1.1352922138030408e-05,0.8278339043976247,2.9911945830463083e-06
validation,lj_noisy,75,False,20,20,20,4.712384543381631e-06,2.626361301736324e-05,0.8225560617166223,6.285044980813836e-06
validation,lj_noisy,100,False,20,20,20,8.716003435438324e-06,4.754355759359896e-05,0.8178241389873449,1.0617978796290118e-05
validation,lj_noisy,125,False,20,20,20,1.403106007273891e-05,7.53616273868829e-05,0.8154731603855367,1.642518786866276e-05
validation,lj_noisy,149,False,20,20,20,2.0799789172087913e-05,0.00010829863385879435,0.8104156882661793,2.4024254344112705e-05
validation,lj_noisy,175,False,20,20,20,3.070823422604008e-05,0.00015109891755855643,0.7999569207588084,3.5005497284146256e-05
validation,lj_noisy,199,False,20,20,20,4.2577897966111776e-05,0.00019709730695467443,0.7873551170701685,4.81081099678704e-05
