split,source,original_index,frame,coordinate_mse,zero_displacement_mse,explained_displacement_score,shuffled_same_source_coordinate_mse,shuffled_original_index,valid,total,control,transfer_only
train,lj_noisy,178,0,9.374192586619756e-07,0.0,,1.5484584992009331e-06,199,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,178,5,6.821983902227657e-07,8.898146575120336e-08,-6.666747051911087,1.2281309409445385e-06,199,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,178,10,5.183459848012717e-07,3.5017228583456017e-07,-0.4802598771227875,1.024292828333273e-06,199,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,178,25,5.009329129279649e-07,2.1434675545606297e-06,0.7662978794047355,1.0450213494550553e-06,199,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,178,50,1.7352772374579217e-06,8.785852514847647e-06,0.8024918771940013,2.726378852457856e-06,199,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,178,75,4.365324912214419e-06,2.023533670580946e-05,0.7842721880204169,6.449104148487095e-06,199,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,178,100,7.907752660685219e-06,3.592209759517573e-05,0.7798638389717193,1.1737285603885539e-05,199,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,178,125,1.222595528815873e-05,5.6316977861570194e-05,0.7829081788051427,1.7208307326654904e-05,199,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,178,149,1.6196205251617357e-05,8.071761840255931e-05,0.7993473349171087,2.140966898878105e-05,199,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,178,175,2.0557014067890123e-05,0.00011241415631957352,0.817131447311225,2.556631443439983e-05,199,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,178,199,2.588360985100735e-05,0.00014669761003460735,0.823558067204359,3.060042945435271e-05,199,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,199,0,1.2012683328066487e-06,0.0,,7.724618171778275e-07,42,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,199,5,8.67718597419298e-07,9.910389309197853e-08,-7.755645922143206,5.211900315771345e-07,42,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,199,10,6.310809226306446e-07,4.1158244812322664e-07,-0.5333037779145062,3.695172097195609e-07,42,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,199,25,5.307957167133281e-07,2.667711441972642e-06,0.8010295610079812,4.889462275059486e-07,42,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,199,50,1.9019779529116931e-06,1.0994632248184644e-05,0.8270084974214817,2.3552154289063765e-06,42,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,199,75,5.2083119044255e-06,2.538395165174734e-05,0.7948187116064342,5.598612915491685e-06,42,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,199,100,1.0768249012471642e-05,4.609454845194705e-05,0.7663877969496241,1.0687437679735012e-05,42,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,199,125,1.6903899449971505e-05,7.323205500142649e-05,0.7691734930879348,1.687724216026254e-05,42,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,199,149,2.3180795324151404e-05,0.00010478922195034102,0.7787864544395926,2.3432956368196756e-05,42,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,199,175,3.154010119033046e-05,0.00014562370779458433,0.7834136922621097,3.260471930843778e-05,42,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,199,199,4.172292028670199e-05,0.00019014337158296257,0.7805712608367333,4.403595448820852e-05,42,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,42,0,1.0378220167694963e-06,0.0,,2.2272638489084784e-06,102,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,42,5,7.673405661989818e-07,9.799599354209931e-08,-6.830325898673913,1.9045625094804564e-06,102,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,42,10,5.876431714568753e-07,4.02869886784174e-07,-0.4586425809772381,1.6939598026510794e-06,102,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,42,25,5.913807399338111e-07,2.6836687538889237e-06,0.7796372078048615,1.7916974002218922e-06,102,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,42,50,2.3637480808247346e-06,1.129412430600496e-05,0.7907099287398531,4.003210051450878e-06,102,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,42,75,4.219630227453308e-06,2.5744931917870417e-05,0.8360986060901439,7.419739631586708e-06,102,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,42,100,6.252418643271085e-06,4.618121238308959e-05,0.8646112061458013,1.1122976502520032e-05,102,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,42,125,9.3621210908168e-06,7.250723137985915e-05,0.8708801741198826,1.5726091078249738e-05,102,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,42,149,1.2501170203904621e-05,0.0001034081433317624,0.879108455087552,2.1726200429839082e-05,102,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,42,175,1.6884596334421076e-05,0.00014329282566905022,0.882167189769725,3.0123521355562843e-05,102,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,42,199,2.211715400335379e-05,0.00018602452473714948,0.8811062464231258,3.923722397303209e-05,102,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,102,0,1.4431808494919096e-06,0.0,,1.3629654631586163e-06,99,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,102,5,1.1068646017520223e-06,1.047859115033134e-07,-9.56310515290047,9.604513024896733e-07,99,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,102,10,8.478995141558698e-07,4.6877312342985533e-07,-0.8087630706130808,6.343133804875833e-07,99,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,102,25,7.60765544782771e-07,3.25413498103444e-06,0.7662157380635344,4.409968710206158e-07,99,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,102,50,2.165446858271025e-06,1.3549693903769366e-05,0.8401848134983608,1.893188027679571e-06,99,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,102,75,4.821690254175337e-06,3.12767515424639e-05,0.8458378822484486,4.853289283346385e-06,99,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,102,100,8.680925020598806e-06,5.606986815109849e-05,0.8451766464439469,9.842133295023814e-06,99,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,102,125,1.4311191989690997e-05,8.798276394372806e-05,0.8373409592037352,1.7749116523191333e-05,99,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,102,149,2.1701584046240896e-05,0.00012481326120905578,0.8261275778229057,2.768113699858077e-05,99,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,102,175,3.2218347769230604e-05,0.0001706574548734352,0.8112104285562871,4.046569301863201e-05,99,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,102,199,4.527758210315369e-05,0.00021850221673958004,0.7927820468882594,5.4989246564218774e-05,99,1,1,same_source_cyclic_next_latent,False
