epoch,train_objective,val_objective,train_mse_norm,train_source_lj_noisy_reconstruction,train_source_depablo_low_temp_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.4069800846974055,0.2505429172453781,0.422426743666331,0.50077241619428,0.38904332515597345,0.33112451318403086,0.4069800848447614,0.50077241619428,0.24922604292506972,0.23037301625311374,0.15596586711332203,0.3652898683696985,0.2505429172453781,0.3652898683696985,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
2,0.19588785648345947,0.2196364401501293,0.21703540815909703,0.35256214380264284,0.08286811462293069,0.15223331057839096,0.1958878563346548,0.35256214380264284,0.21871849955711514,0.20424466345086695,0.10223729131277651,0.35242736568674443,0.21963644015012931,0.35242736568674443,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
3,0.18565589308738709,0.21720890665923556,0.20745668518543242,0.34294514866669973,0.07343908543139696,0.14058344562972586,0.18565589324260748,0.34294514866669973,0.2163543418214346,0.2076310408245772,0.09629634018801153,0.34769933896511795,0.21720890665923556,0.34769933896511795,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
4,0.18034688791632653,0.21303359235233316,0.20214945761362713,0.3335672181248665,0.07196034832919637,0.13551309870680173,0.18034688838695487,0.3335672181248665,0.21211526997201144,0.19819587505050004,0.09616062233690173,0.34474427966959775,0.21303359235233318,0.34474427966959775,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
5,0.1733464209040006,0.20985554411339885,0.19538443871339162,0.32261171024044355,0.07124914034083486,0.12617840977758168,0.17334642011962,0.32261171024044355,0.20882916095107792,0.1880749570550397,0.09555599122261628,0.34593568406254055,0.20985554411339882,0.34593568406254055,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
6,0.1672950961192449,0.20812028814510752,0.18974220291773478,0.3142160841325919,0.06911544539344808,0.11855375940849383,0.16729509631151127,0.3142160841325919,0.20716717423250278,0.1892359530236572,0.09700872239004821,0.33811618902161716,0.20812028814510752,0.33811618902161716,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
7,0.1642059609691302,0.20410964706446977,0.18650840663909912,0.30934859831134476,0.06741336061122517,0.11585592405994734,0.16420596099417242,0.30934859831134476,0.20312253198043131,0.1850790193527937,0.0924874505409971,0.3347624712996185,0.20410964706446977,0.3347624712996185,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
8,0.16204984905322392,0.2017535322755575,0.18426833998163542,0.3057545452316602,0.06612729389468829,0.11426770813763142,0.1620498490879933,0.3057545452316602,0.200778519296553,0.18082136198878287,0.09095267525501549,0.33348655958287415,0.20175353227555748,0.33348655958287415,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
9,0.16011617990334828,0.20260295442507292,0.18200508939226467,0.30184528018037476,0.0654984128822883,0.11300484783947468,0.1601161803007126,0.30184528018037476,0.20164930077750856,0.1816841216525063,0.09165099263144658,0.3344737489912659,0.20260295442507292,0.3344737489912659,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
10,0.1577805708150069,0.20391298818076029,0.17943519221742948,0.297202025492986,0.06497394061864664,0.11116574668449661,0.1577805709320431,0.297202025492986,0.20296111862982313,0.18299507781583815,0.09049507889943198,0.3382488078270108,0.20391298818076029,0.3382488078270108,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
11,0.1552016173005104,0.208468205932683,0.1763301061093807,0.291674263715744,0.06454365453279266,0.1093869339954108,0.15520161741464913,0.291674263715744,0.2074827860002406,0.18761995002254844,0.09458799664163962,0.34319667113386093,0.208468205932683,0.34319667113386093,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
12,0.15184446369111537,0.2118615890617172,0.17251359408100447,0.28484110613663993,0.06359087945396702,0.1071014052145183,0.15184446360170842,0.28484110613663993,0.2109253057972528,0.1904757438506931,0.0962421505972743,0.34886687273718414,0.21186158906171718,0.34886687273718414,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
13,0.1485926982363065,0.21343069820688107,0.16883742611606917,0.2781888920068741,0.06280616507679224,0.10478303747003277,0.14859269818456636,0.2781888920068741,0.21229010851634667,0.18926986395567655,0.09363828490185551,0.3573839457631111,0.21343069820688107,0.3573839457631111,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
14,0.14557586757838725,0.21319616421234483,0.16544673092663287,0.2723215151230494,0.062264306470130884,0.10214178069060048,0.1455758674279269,0.2723215151230494,0.2119774448936805,0.1912468566824682,0.09564750513713807,0.35269413081742823,0.21319616421234486,0.35269413081742823,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
15,0.1421677710811297,0.214162683026089,0.16175473606586457,0.26597597521543503,0.06161676835330824,0.0989105692859739,0.1421677709515724,0.26597597521543503,0.2129239223995246,0.1877150184432976,0.09686294210143387,0.3579100885335356,0.21416268302608907,0.3579100885335356,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
16,0.1389952143629392,0.21562881326201994,0.15821749319632847,0.25996407360831897,0.060918236857901015,0.09610333181172609,0.1389952140926487,0.25996407360831897,0.2144802081491798,0.1841115254368633,0.09853833070280962,0.36423658364638684,0.2156288132620199,0.36423658364638684,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
17,0.13587992131213347,0.21748376947175713,0.15476792619625726,0.25369448999563854,0.060289090609798826,0.09365618276906511,0.13587992112483416,0.25369448999563854,0.21630945747345687,0.18373079749243335,0.09805732710147276,0.37066318382136526,0.21748376947175715,0.37066318382136526,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
18,0.13276984664797783,0.2200890518358598,0.15142883453766504,0.2477596801618735,0.05972250838081042,0.09082735216741761,0.13276984690336718,0.2477596801618735,0.21881733652406063,0.1848172673601657,0.10047330655157566,0.3749765815958381,0.2200890518358598,0.3749765815958381,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
19,0.12984181814889112,0.22091217924576872,0.1483047937552134,0.2423323980073134,0.05900548291268448,0.0881875726406773,0.1298418178535584,0.2423323980073134,0.21964413033317154,0.18638747075898573,0.0996499123107642,0.37669915466755627,0.22091217924576875,0.37669915466755627,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
20,0.12668349108596644,0.21922739120603849,0.1448548676520586,0.2363944890300433,0.05814353773991267,0.08551244680893919,0.12668349119296504,0.2363944890300433,0.21810327908443286,0.1821275625177659,0.09843396888533607,0.3771206422150135,0.2192273912060385,0.3771206422150135,shared Reid + low-T + noisy-LJ,4,normalized_delta,96
