split,source,frame,transfer_only,networks,valid,total,coordinate_mse,zero_displacement_mse,explained_displacement_score,shuffled_same_source_coordinate_mse
mixed_transfer,depablo_mixed_temp,0,True,20,20,20,9.653155741418118e-08,0.0,,1.0314637690633788e-07
mixed_transfer,depablo_mixed_temp,5,True,20,20,20,8.149397125407631e-05,1.3693910162970723e-05,-2.7269305907821897,8.294684489271731e-05
mixed_transfer,depablo_mixed_temp,10,True,20,20,20,8.35375916587111e-05,1.584389799802466e-05,-2.09467808080485,8.43429470684498e-05
mixed_transfer,depablo_mixed_temp,25,True,20,20,20,7.503575974467935e-05,1.7265989811221516e-05,-1.6313914563527905,7.583756620164195e-05
mixed_transfer,depablo_mixed_temp,50,True,20,20,20,6.255538211945577e-05,2.7122223900732934e-05,-0.5321354204571268,6.65805732012359e-05
mixed_transfer,depablo_mixed_temp,75,True,20,20,20,5.589411026107882e-05,4.14705596085696e-05,-1.6217063561013712e-05,6.170846647250983e-05
mixed_transfer,depablo_mixed_temp,100,True,20,20,20,5.5033099999945986e-05,6.20002983851009e-05,0.2951377802476997,6.338508002272647e-05
mixed_transfer,depablo_mixed_temp,125,True,20,20,20,4.385584648503027e-05,8.789343846729025e-05,0.5787540037775409,6.020130373372012e-05
mixed_transfer,depablo_mixed_temp,149,True,20,20,20,4.358412310239146e-05,0.00011536433339642826,0.6661871604534608,6.70748375682706e-05
mixed_transfer,depablo_mixed_temp,175,True,20,20,20,4.2726657022740254e-05,0.0001539643588330364,0.7440893540219109,7.308117375259826e-05
mixed_transfer,depablo_mixed_temp,199,True,20,20,20,3.891533087880816e-05,0.00019460193216218612,0.8162957377070201,7.913617016583885e-05
train,depablo_low_temp,0,False,5,5,5,9.63749251070567e-08,0.0,,1.0919919013474555e-07
train,depablo_low_temp,5,False,5,5,5,5.366164952391728e-08,1.0330704327543572e-07,0.47984599980042103,8.514270994908202e-08
train,depablo_low_temp,10,False,5,5,5,4.828643973553426e-08,4.2783193521245266e-07,0.887366428717218,1.3707213639690962e-07
train,depablo_low_temp,25,False,5,5,5,1.4984733525125194e-07,2.7642588065646125e-06,0.9464156016172028,7.607967518197256e-07
train,depablo_low_temp,50,False,5,5,5,5.680292815668509e-07,1.1252334661548958e-05,0.950742554799214,3.260108519498317e-06
train,depablo_low_temp,75,False,5,5,5,1.2587350340709235e-06,2.554690981924068e-05,0.9522078361209602,7.450095563399373e-06
train,depablo_low_temp,100,False,5,5,5,2.2361494643519108e-06,4.572098987409845e-05,0.9527331907190009,1.3362869231059448e-05
train,depablo_low_temp,125,False,5,5,5,3.5388857554607967e-06,7.185182621469722e-05,0.9525305239438367,2.1064233806100674e-05
train,depablo_low_temp,149,False,5,5,5,5.173157069293665e-06,0.00010261770803481341,0.9515031198482339,3.0269286799011753e-05
train,depablo_low_temp,175,False,5,5,5,7.500858373532537e-06,0.0001423011941369623,0.949351832670307,4.2305981332901864e-05
train,depablo_low_temp,199,False,5,5,5,1.0336796731280628e-05,0.00018488138739485293,0.9463080870401772,5.525512315216474e-05
train,lj_noisy,0,False,5,5,5,1.3797976521345846e-07,0.0,,1.3683521871143967e-07
train,lj_noisy,5,False,5,5,5,5.176973303377963e-08,9.486441570061288e-08,0.4485548095434842,5.443729307330614e-08
train,lj_noisy,10,False,5,5,5,4.153124208983172e-08,3.9631250956517763e-07,0.8940177421548026,5.3750589756873524e-08
train,lj_noisy,25,False,5,5,5,2.8497656785475555e-07,2.6223908207612114e-06,0.8908392959928317,4.070497254815564e-07
train,lj_noisy,50,False,5,5,5,1.509945423094905e-06,1.09006710772519e-05,0.8595081531590798,2.078881493616791e-06
train,lj_noisy,75,False,5,5,5,3.879341284118709e-06,2.5082033971557394e-05,0.8425114510039643,5.2215134019206745e-06
train,lj_noisy,100,False,5,5,5,7.496132366213715e-06,4.512062150752172e-05,0.8307901511432945,9.987586054194253e-06
train,lj_noisy,125,False,5,5,5,1.227410502906423e-05,7.115652042557485e-05,0.824497415254126,1.611925817996962e-05
train,lj_noisy,149,False,5,5,5,1.7882857719087042e-05,0.00010185747232753784,0.8221406518257496,2.290080847160425e-05
train,lj_noisy,175,False,5,5,5,2.5378005739185026e-05,0.00014140228158794345,0.8193283532286033,3.142875466437545e-05
train,lj_noisy,199,False,5,5,5,3.361604285601061e-05,0.00018346654542256147,0.8164075551322048,4.038358929392416e-05
train,reid,0,False,5,5,5,2.956215361393788e-08,0.0,,3.2376545711088053e-08
train,reid,5,False,5,5,5,1.490722851826831e-08,1.0300576320787514e-07,0.8525890410117132,2.6008817677336536e-08
train,reid,10,False,5,5,5,3.125607612730619e-08,4.223456016916316e-07,0.9251039522036043,7.14258437284343e-08
train,reid,25,False,5,5,5,1.9939941040547637e-07,2.7308132757752903e-06,0.927694548297201,4.731767447196944e-07
train,reid,50,False,5,5,5,9.204227566783629e-07,1.1211941819055938e-05,0.9201180613625176,2.0752137061208487e-06
train,reid,75,False,5,5,5,2.3013480301870006e-06,2.5625861235312185e-05,0.9134450901594662,4.997374213644435e-06
train,reid,100,False,5,5,5,4.398817151241019e-06,4.607020091498271e-05,0.9085824934733381,9.394962921760452e-06
train,reid,125,False,5,5,5,7.247887867833924e-06,7.261199498316273e-05,0.9049814709721058,1.5347481303251696e-05
train,reid,149,False,5,5,5,1.0743458346951229e-05,0.00010387085058027878,0.9020413503056883,2.2553861481355852e-05
train,reid,175,False,5,5,5,1.549076272340244e-05,0.0001441765867639333,0.8987117803997456,3.20605357956083e-05
