split,source,original_index,frame,coordinate_mse,zero_displacement_mse,explained_displacement_score,shuffled_same_source_coordinate_mse,shuffled_original_index,valid,total,control,transfer_only
train,reid,60,0,7.676697472147609e-11,0.0,,7.672911611633637e-11,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,1,3.8821355019535986e-09,3.823601435470891e-09,-0.015308621327447147,3.882172361358016e-09,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,3,3.4203978316327266e-08,3.418571381530455e-08,-0.0005342729164992122,3.420504057771723e-08,45,1,1,same_source_cyclic_next_latent,False
train,reid,45,0,8.092562037154138e-11,0.0,,8.098107601162141e-11,60,1,1,same_source_cyclic_next_latent,False
train,reid,45,1,3.928743552705782e-09,3.960380023926291e-09,0.007988241287295583,3.928686265197712e-09,60,1,1,same_source_cyclic_next_latent,False
train,reid,45,3,3.737184783858538e-08,3.764051825783099e-08,0.007137798087828218,3.7371478356362786e-08,60,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,99,0,7.929382150884123e-11,0.0,,7.927863920897948e-11,145,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,99,1,4.011507126477909e-09,3.963324779476807e-09,-0.012157052394647039,4.011617260601952e-09,145,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,99,3,3.5471707349188364e-08,3.54952298664557e-08,0.0006626951665290592,3.5472144332970856e-08,145,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,145,0,8.04209268623346e-11,0.0,,8.045409477519527e-11,99,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,145,1,3.993810171465384e-09,4.03505140411653e-09,0.01022074529436523,3.993958497261474e-09,99,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,145,3,3.535188852765714e-08,3.563962636121687e-08,0.008073536760555,3.535162207413123e-08,99,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,178,0,7.675251406658035e-11,0.0,,7.676673186018945e-11,199,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,178,1,3.0486060342838073e-09,3.0654494498350005e-09,0.005494599022697888,3.04843483789341e-09,199,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,178,3,3.1450070991922985e-08,3.1669280531332333e-08,0.0069218351579686255,3.1449982174081015e-08,199,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,199,0,7.422773506959857e-11,0.0,,7.421045722377784e-11,178,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,199,1,3.6320502161402146e-09,3.646393409439952e-09,0.003933528747228743,3.6320717544668923e-09,178,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,199,3,3.45948301117005e-08,3.4785063718345555e-08,0.005468830190606289,3.459484076984154e-08,178,1,1,same_source_cyclic_next_latent,False
validation,reid,41,0,7.986190181386021e-11,0.0,,7.986403899318262e-11,49,1,1,same_source_cyclic_next_latent,False
validation,reid,41,1,3.964949257806438e-09,3.987294494578464e-09,0.005604109955361536,3.964720995952575e-09,49,1,1,same_source_cyclic_next_latent,False
