split,source,frame,transfer_only,networks,valid,total,coordinate_mse,zero_displacement_mse,explained_displacement_score,shuffled_same_source_coordinate_mse
mixed_transfer,depablo_mixed_temp,0,True,2,2,2,8.125746256415489e-11,0.0,,8.126145936704354e-11
mixed_transfer,depablo_mixed_temp,1,True,2,2,2,2.173960365325911e-05,2.1740996089647524e-05,7.603584101423255e-05,2.173960820073262e-05
mixed_transfer,depablo_mixed_temp,3,True,2,2,2,2.91401474896702e-05,2.9141388040443417e-05,5.0425029746836714e-05,2.914015385613311e-05
train,depablo_low_temp,0,False,2,2,2,7.985737418558791e-11,0.0,,7.986636699208738e-11
train,depablo_low_temp,1,False,2,2,2,4.0026586489716465e-09,3.999188091796668e-09,-0.0009681535501409044,4.002787878931713e-09
train,depablo_low_temp,3,False,2,2,2,3.541179793842275e-08,3.5567428113836286e-08,0.00436811596354203,3.541188320355104e-08
train,lj_noisy,0,False,2,2,2,7.549012456808946e-11,0.0,,7.548859454198364e-11
train,lj_noisy,1,False,2,2,2,3.340328125212011e-09,3.355921429637476e-09,0.004714063884963315,3.3402532961801512e-09
train,lj_noisy,3,False,2,2,2,3.3022450551811744e-08,3.3227172124838944e-08,0.006195332674287457,3.302241147196128e-08
train,reid,0,False,2,2,2,7.884629754650874e-11,0.0,,7.885509606397889e-11
train,reid,1,False,2,2,2,3.9054395273296905e-09,3.891990729698591e-09,-0.003660190020075782,3.905429313277864e-09
train,reid,3,False,2,2,2,3.5787913077456324e-08,3.591311603656777e-08,0.0033017625856645028,3.578825946704001e-08
validation,depablo_low_temp,0,False,2,2,2,7.966298801176386e-11,0.0,,7.966396292635736e-11
validation,depablo_low_temp,1,False,2,2,2,4.1025640662439855e-09,4.117647556256543e-09,0.003796906445114767,4.102612471967859e-09
validation,depablo_low_temp,3,False,2,2,2,3.6860003049810075e-08,3.7066380187411596e-08,0.005615405291299391,3.6859942653677535e-08
validation,lj_noisy,0,False,2,2,2,7.496544010554551e-11,0.0,,7.496529438877353e-11
validation,lj_noisy,1,False,2,2,2,3.1596104621556265e-09,3.1689240120869044e-09,0.0031261521441584006,3.1596121274901634e-09
validation,lj_noisy,3,False,2,2,2,3.3179391678572756e-08,3.337553877713617e-08,0.005815519728451846,3.317923535917089e-08
validation,reid,0,False,2,2,2,8.092386830083065e-11,0.0,,8.091770656304398e-11
validation,reid,1,False,2,2,2,3.856654551270822e-09,3.8913590127975795e-09,0.009002112217258829,3.8566134730189106e-09
validation,reid,3,False,2,2,2,3.679405935486102e-08,3.706975348904962e-08,0.00746973108338983,3.6794046920363144e-08
