epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_reid_reconstruction,train_source_lj_noisy_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.42643482865889865,0.31926703674035767,0.4409067865808805,0.42658232670029006,0.34452688769002754,0.5081952748298645,0.42643482974006064,0.5081952748298645,0.3175026413220912,0.29096621080860496,0.3030182199869305,0.3638166794255376,0.31926703674035767,0.3638166794255376,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
2,0.20133290540178617,0.21912378601388385,0.22184774473309518,0.09105481004342436,0.15782178249458473,0.355122124115626,0.20133290555121172,0.355122124115626,0.21812947250250728,0.20788615722861142,0.1003700392935425,0.3491151615194976,0.21912378601388385,0.3491151615194976,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
3,0.18507901219526926,0.2124386313231662,0.20603796901305516,0.07316200665074091,0.14194699806533753,0.34012803253531454,0.18507901241713098,0.34012803253531454,0.21151539297541602,0.1989869496766478,0.09502696957159787,0.3433019747212529,0.21243863132316618,0.3433019747212529,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
4,0.18059600944817067,0.21063411017507314,0.2017118459045887,0.07119885839894415,0.13796387712284922,0.33262529349327086,0.18059600967168807,0.33262529349327086,0.20976828115448976,0.19705545587185772,0.09303091244306415,0.3418159622102976,0.21063411017507314,0.3418159622102976,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
5,0.17611104009548822,0.21179511420677105,0.19757156845927237,0.0705892110094428,0.13153040072632333,0.3262135094205538,0.17611104038544,0.3262135094205538,0.21094991162326188,0.19734919919352978,0.0999078835407272,0.33812825988605616,0.21179511420677102,0.33812825988605616,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
6,0.16799198511242866,0.2031342509671425,0.19030332784851392,0.06783526977772514,0.1194466715256373,0.3166940132081509,0.16799198483717112,0.3166940132081509,0.2021562611052456,0.18003348091896623,0.09529000614210963,0.3340792658403516,0.20313425096714247,0.3340792658403516,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
7,0.16471486433347066,0.20150843864958734,0.1869284224609534,0.06580510650326808,0.11618217718352875,0.3121573106646538,0.1647148647838169,0.3121573106646538,0.20055895999834564,0.1789782758159563,0.0934273535553366,0.3321196865774691,0.20150843864958734,0.3321196865774691,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
8,0.16276961611708005,0.20200455092126504,0.18508361370364826,0.0647573894765228,0.11453484384218851,0.3090166133344173,0.16276961555104288,0.3090166133344173,0.20103483194454264,0.1783995916880667,0.09523067863611505,0.33238338243961335,0.20200455092126504,0.33238338243961335,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
9,0.16071690559387208,0.2003354139608952,0.18270162387688954,0.06377483020101984,0.11304275916997965,0.30533312700192133,0.16071690545764028,0.30533312700192133,0.19930061076954006,0.17621310243569316,0.09358200278738514,0.3312111366596073,0.2003354139608952,0.3312111366596073,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
10,0.15791658374667167,0.19829882248537614,0.17946688628196716,0.06286887572519481,0.11130272134579718,0.2995781555275122,0.1579165841995014,0.2995781555275122,0.1972898691277951,0.17568155888607725,0.09528780876100064,0.32392709980905054,0.19829882248537614,0.32392709980905054,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
