split,source,original_index,frame,coordinate_mse,zero_displacement_mse,explained_displacement_score,shuffled_same_source_coordinate_mse,shuffled_original_index,valid,total,control,transfer_only
train,reid,60,0,5.5289142153469584e-08,0.0,,3.309043705712611e-08,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,5,5.229939503692549e-08,9.641969000995232e-08,0.4575859450333515,1.8152979563978988e-08,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,10,1.1547446376880544e-07,3.9934545270625676e-07,0.7108406694347813,5.6219445099259246e-08,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,25,5.337521997716976e-07,2.613964852571371e-06,0.7958074305220123,4.507958237809362e-07,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,50,2.1075084077892825e-06,1.078044169844361e-05,0.8045063025484803,2.1421055862447247e-06,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,75,5.049605078966124e-06,2.4720842702663504e-05,0.795734913259164,5.308549589244649e-06,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,100,9.42753740673652e-06,4.460650961846113e-05,0.7886510850686516,1.0166347237827722e-05,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,125,1.538333708595019e-05,7.057588663883507e-05,0.7820312599872411,1.6921459973673336e-05,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,149,2.278123611176852e-05,0.00010132297029485926,0.7751621764988432,2.5355544494232163e-05,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,175,3.2856918551260605e-05,0.00014116728561930358,0.7672483507271768,3.681133603095077e-05,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,199,4.4267111661611125e-05,0.00018406144226901233,0.7594981810643797,4.9633690650807694e-05,45,1,1,same_source_cyclic_next_latent,False
train,reid,45,0,4.9965244386385166e-08,0.0,,9.22541545378408e-08,43,1,1,same_source_cyclic_next_latent,False
train,reid,45,5,4.164565581277202e-08,1.0940514982848981e-07,0.6193446480530551,6.433573673803039e-08,43,1,1,same_source_cyclic_next_latent,False
train,reid,45,10,8.592438405230496e-08,4.6404014142353844e-07,0.8148341568280834,1.4581074481156975e-07,43,1,1,same_source_cyclic_next_latent,False
train,reid,45,25,3.9485391312155116e-07,3.1349377422884572e-06,0.8740472871932334,1.1712442073985585e-06,43,1,1,same_source_cyclic_next_latent,False
train,reid,45,50,1.576019030835596e-06,1.3438479982141871e-05,0.8827234156742476,5.363283889892045e-06,43,1,1,same_source_cyclic_next_latent,False
train,reid,45,75,3.963055405620253e-06,3.1573268643114716e-05,0.8744806738125136,1.2924261682201177e-05,43,1,1,same_source_cyclic_next_latent,False
train,reid,45,100,7.772222488711122e-06,5.785295434179716e-05,0.8656555645751023,2.4313238100148737e-05,43,1,1,same_source_cyclic_next_latent,False
train,reid,45,125,1.30817616081913e-05,9.246835543308407e-05,0.858527151835656,3.971334808738902e-05,43,1,1,same_source_cyclic_next_latent,False
train,reid,45,149,1.9652719856821932e-05,0.00013366823259275407,0.852973893081255,5.8271023590350524e-05,43,1,1,same_source_cyclic_next_latent,False
train,reid,45,175,2.8506499802460894e-05,0.00018724941764958203,0.8477618773917478,8.241800242103636e-05,43,1,1,same_source_cyclic_next_latent,False
train,reid,45,199,3.8434147427324206e-05,0.00024507357738912106,0.8431730264976729,0.0001081322188838385,43,1,1,same_source_cyclic_next_latent,False
train,reid,43,0,6.918845940617757e-08,0.0,,6.51929994432976e-08,73,1,1,same_source_cyclic_next_latent,False
train,reid,43,5,3.552488081481897e-08,1.0691530860640341e-07,0.6677287726344242,2.7734445851024248e-08,73,1,1,same_source_cyclic_next_latent,False
train,reid,43,10,3.1989653592745526e-08,4.3156654783160775e-07,0.9258755022754277,2.0561838454113968e-08,73,1,1,same_source_cyclic_next_latent,False
train,reid,43,25,5.633669886151438e-08,2.7168591714143986e-06,0.9792640342001292,2.8711436783623867e-08,73,1,1,same_source_cyclic_next_latent,False
train,reid,43,50,1.2676510152687115e-07,1.0897718311753124e-05,0.9883677392000346,1.0896848579022844e-07,73,1,1,same_source_cyclic_next_latent,False
train,reid,43,75,2.4308525325977826e-07,2.4548364308429882e-05,0.9900977005960311,3.006199165156431e-07,73,1,1,same_source_cyclic_next_latent,False
train,reid,43,100,4.140078431191796e-07,4.367970905150287e-05,0.990521735329532,5.44969452676014e-07,73,1,1,same_source_cyclic_next_latent,False
train,reid,43,125,6.397003176061844e-07,6.829092308180407e-05,0.9906327182480766,8.25280039862264e-07,73,1,1,same_source_cyclic_next_latent,False
train,reid,43,149,9.063663810593425e-07,9.707405115477741e-05,0.9906631445759464,1.1445196150816628e-06,73,1,1,same_source_cyclic_next_latent,False
train,reid,43,175,1.2505049653555034e-06,0.000133975685457699,0.9906661797543083,1.5821887018319103e-06,73,1,1,same_source_cyclic_next_latent,False
train,reid,43,199,1.6238525404332904e-06,0.00017330388072878122,0.990630027823932,2.121561010426376e-06,73,1,1,same_source_cyclic_next_latent,False
train,reid,73,0,7.983818761658767e-08,0.0,,5.5766854245575814e-08,85,1,1,same_source_cyclic_next_latent,False
train,reid,73,5,4.15437000356178e-08,1.0321873844532092e-07,0.5975178474243303,4.939628439615262e-08,85,1,1,same_source_cyclic_next_latent,False
train,reid,73,10,3.31216263305123e-08,4.1087471913670015e-07,0.9193875291229768,9.092587305303823e-08,85,1,1,same_source_cyclic_next_latent,False
train,reid,73,25,5.759508070468655e-08,2.558030018917634e-06,0.977484595458713,3.871778346820065e-07,85,1,1,same_source_cyclic_next_latent,False
train,reid,73,50,1.0803089622868356e-07,1.0220051990472712e-05,0.9894295159819743,1.5390336329801357e-06,85,1,1,same_source_cyclic_next_latent,False
train,reid,73,75,1.7030122023697913e-07,2.298522122146096e-05,0.9925908383218879,3.498543037494528e-06,85,1,1,same_source_cyclic_next_latent,False
train,reid,73,100,2.809336479003832e-07,4.0849776269169524e-05,0.9931227616511473,6.249582838790957e-06,85,1,1,same_source_cyclic_next_latent,False
train,reid,73,125,4.3858625531356665e-07,6.38140772935003e-05,0.9931271237646143,9.886259249469731e-06,85,1,1,same_source_cyclic_next_latent,False
train,reid,73,149,6.45673878807429e-07,9.065200720215216e-05,0.9928774453127377,1.433122633898165e-05,85,1,1,same_source_cyclic_next_latent,False
train,reid,73,175,9.619518550607609e-07,0.0001250171335414052,0.9923054398400347,2.032371048699133e-05,85,1,1,same_source_cyclic_next_latent,False
train,reid,73,199,1.3759566854787408e-06,0.0001616336521692574,0.9914871892887882,2.7022040740121156e-05,85,1,1,same_source_cyclic_next_latent,False
train,reid,85,0,4.9721663231139246e-08,0.0,,7.732346318789496e-08,60,1,1,same_source_cyclic_next_latent,False
train,reid,85,5,3.3961999434950485e-08,9.90699291492092e-08,0.6571916450671896,9.581924587109825e-08,60,1,1,same_source_cyclic_next_latent,False
train,reid,85,10,4.662506114527787e-08,4.059011473600549e-07,0.8851319799204236,1.8559535419626627e-07,60,1,1,same_source_cyclic_next_latent,False
train,reid,85,25,1.8563194714715792e-07,2.6302745936845895e-06,0.9294248792149425,5.427771725408093e-07,60,1,1,same_source_cyclic_next_latent,False
train,reid,85,50,7.410275202346384e-07,1.072301711246837e-05,0.9308937482368655,1.4711844187331735e-06,60,1,1,same_source_cyclic_next_latent,False
train,reid,85,75,1.7091809922931134e-06,2.430160930089187e-05,0.9296679914843999,3.3569554034329485e-06,60,1,1,same_source_cyclic_next_latent,False
train,reid,85,100,3.092183533226489e-06,4.336205529398285e-05,0.9286891843049797,6.894172656757291e-06,60,1,1,same_source_cyclic_next_latent,False
train,reid,85,125,4.891425305686425e-06,6.791073246859014e-05,0.9279727205423857,1.2528851584647782e-05,60,1,1,same_source_cyclic_next_latent,False
train,reid,85,149,7.026548701105639e-06,9.663699165685102e-05,0.9272892442051978,1.9836623323499225e-05,60,1,1,same_source_cyclic_next_latent,False
train,reid,85,175,9.828036127146333e-06,0.0001334734115516767,0.926367086801095,2.9124406864866614e-05,60,1,1,same_source_cyclic_next_latent,False
