split,source,original_index,frame,coordinate_mse,zero_displacement_mse,explained_displacement_score,shuffled_same_source_coordinate_mse,shuffled_original_index,valid,total,control,transfer_only
train,reid,60,0,2.0061256475467637e-11,0.0,,2.0061148922612126e-11,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,1,3.8632452792342065e-09,3.823601435470891e-09,-0.010368194601965142,3.863193320796654e-09,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,3,3.4263660353417436e-08,3.418571381530455e-08,-0.002280090991634953,3.426364614256272e-08,45,1,1,same_source_cyclic_next_latent,False
train,reid,45,0,2.0534483835543682e-11,0.0,,2.0534633021762616e-11,60,1,1,same_source_cyclic_next_latent,False
train,reid,45,1,4.048723134530974e-09,3.960380023926291e-09,-0.022306725635157676,4.048724466798603e-09,60,1,1,same_source_cyclic_next_latent,False
train,reid,45,3,3.786440316844164e-08,3.764051825783099e-08,-0.005947976302480118,3.7864392510300604e-08,60,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,99,0,1.8473353055603603e-11,0.0,,1.8474740834384384e-11,145,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,99,1,4.016113219762474e-09,3.963324779476807e-09,-0.013319231509620444,4.016067478573859e-09,145,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,99,3,3.561024541909319e-08,3.54952298664557e-08,-0.0032403101225211284,3.56105118726191e-08,145,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,145,0,1.898644262643412e-11,0.0,,1.898318655046971e-11,99,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,145,1,4.121035956927699e-09,4.03505140411653e-09,-0.021309407043352158,4.121036401016909e-09,99,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,145,3,3.585128638405877e-08,3.563962636121687e-08,-0.005938895674625355,3.585104835224229e-08,99,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,178,0,3.04148026208928e-11,0.0,,3.042032598044031e-11,199,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,178,1,3.1547904288942163e-09,3.0654494498350005e-09,-0.029144495944640303,3.1548144097115483e-09,199,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,178,3,3.1886699503047566e-08,3.1669280531332333e-08,-0.00686529558194815,3.188665687048342e-08,199,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,199,0,3.0159489489145486e-11,0.0,,3.015953459195586e-11,178,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,199,1,3.7276790543216975e-09,3.646393409439952e-09,-0.022292066640782426,3.727677277964858e-09,178,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,199,3,3.4969492190839446e-08,3.4785063718345555e-08,-0.005301944362879674,3.4969520612548877e-08,178,1,1,same_source_cyclic_next_latent,False
validation,reid,41,0,2.0286373275668623e-11,0.0,,2.0287526866780148e-11,49,1,1,same_source_cyclic_next_latent,False
validation,reid,41,1,4.06694899979243e-09,3.987294494578464e-09,-0.019977081031329114,4.066899705890137e-09,49,1,1,same_source_cyclic_next_latent,False
validation,reid,41,3,3.829753936201996e-08,3.810321302921693e-08,-0.005099998592087873,3.8297589100011464e-08,49,1,1,same_source_cyclic_next_latent,False
validation,reid,49,0,2.0846246603922758e-11,0.0,,2.0845799045265956e-11,41,1,1,same_source_cyclic_next_latent,False
validation,reid,49,1,3.880820997892442e-09,3.795423531016695e-09,-0.022500115251399055,3.880822774249282e-09,41,1,1,same_source_cyclic_next_latent,False
validation,reid,49,3,3.625689259934006e-08,3.60362939488823e-08,-0.006121568737636585,3.625689259934006e-08,41,1,1,same_source_cyclic_next_latent,False
validation,depablo_low_temp,161,0,1.879941688431863e-11,0.0,,1.8797614506627092e-11,47,1,1,same_source_cyclic_next_latent,False
validation,depablo_low_temp,161,1,4.227383332278123e-09,4.178329238158085e-09,-0.011740121786492308,4.227360239639211e-09,47,1,1,same_source_cyclic_next_latent,False
validation,depablo_low_temp,161,3,3.77195661371843e-08,3.761137534752379e-08,-0.002876544360870703,3.771945955577394e-08,47,1,1,same_source_cyclic_next_latent,False
validation,depablo_low_temp,47,0,1.9581813601177167e-11,0.0,,1.9581858703987542e-11,161,1,1,same_source_cyclic_next_latent,False
validation,depablo_low_temp,47,1,4.1490499924634605e-09,4.056965874355001e-09,-0.022697779808931617,4.148989596330921e-09,161,1,1,same_source_cyclic_next_latent,False
validation,depablo_low_temp,47,3,3.675851445450462e-08,3.65213850272994e-08,-0.0064928925074436705,3.675850734907726e-08,161,1,1,same_source_cyclic_next_latent,False
validation,lj_noisy,15,0,3.004588938759767e-11,0.0,,3.004560489294761e-11,79,1,1,same_source_cyclic_next_latent,False
validation,lj_noisy,15,1,3.346889876354453e-09,3.2715596898214017e-09,-0.023025771703759856,3.3468621207788374e-09,79,1,1,same_source_cyclic_next_latent,False
validation,lj_noisy,15,3,3.241276758103595e-08,3.224334932383499e-08,-0.005254362860986017,3.241265389419823e-08,79,1,1,same_source_cyclic_next_latent,False
validation,lj_noisy,79,0,3.0404085499258215e-11,0.0,,3.040541082799386e-11,15,1,1,same_source_cyclic_next_latent,False
validation,lj_noisy,79,1,3.1580296155908627e-09,3.0662883343524072e-09,-0.029919326310789085,3.1580296155908627e-09,15,1,1,same_source_cyclic_next_latent,False
validation,lj_noisy,79,3,3.474006149417619e-08,3.450772823043735e-08,-0.006732789309900511,3.474005438874883e-08,15,1,1,same_source_cyclic_next_latent,False
mixed_transfer,depablo_mixed_temp,268,0,1.9353093780316577e-11,0.0,,1.935715476797384e-11,161,1,1,same_source_cyclic_next_latent,True
mixed_transfer,depablo_mixed_temp,268,1,2.643562766024843e-05,2.6434969186084345e-05,-2.490920868680746e-05,2.6435634936206043e-05,161,1,1,same_source_cyclic_next_latent,True
mixed_transfer,depablo_mixed_temp,268,3,4.075299875694327e-05,4.0751743654254824e-05,-3.079874812472738e-05,4.0753031498752534e-05,161,1,1,same_source_cyclic_next_latent,True
