split,source,frame,transfer_only,networks,valid,total,coordinate_mse,zero_displacement_mse,explained_displacement_score,shuffled_same_source_coordinate_mse
mixed_transfer,depablo_mixed_temp,0,True,2,2,2,1.9069700679663626e-11,0.0,,1.9069560167062072e-11
mixed_transfer,depablo_mixed_temp,1,True,2,2,2,2.174170640500961e-05,2.1740996089647524e-05,-3.4809139806579736e-05,2.174170731450431e-05
mixed_transfer,depablo_mixed_temp,3,True,2,2,2,2.9142145649529994e-05,2.9141388040443417e-05,-2.2818089582821166e-05,2.9142165658413433e-05
train,depablo_low_temp,0,False,2,2,2,1.872989784101886e-11,0.0,,1.8728963692427048e-11
train,depablo_low_temp,1,False,2,2,2,4.068574588345086e-09,3.999188091796668e-09,-0.0173143192764863,4.068551939795384e-09
train,depablo_low_temp,3,False,2,2,2,3.573076590157598e-08,3.5567428113836286e-08,-0.004589602898573242,3.5730780112430693e-08
train,lj_noisy,0,False,2,2,2,3.028714605501914e-11,0.0,,3.0289930286198086e-11
train,lj_noisy,1,False,2,2,2,3.441234741607957e-09,3.355921429637476e-09,-0.025718281292711365,3.441245843838203e-09
train,lj_noisy,3,False,2,2,2,3.3428095846943506e-08,3.3227172124838944e-08,-0.006083619972413912,3.342808874151615e-08
train,reid,0,False,2,2,2,2.029787015550566e-11,0.0,,2.029789097218737e-11
train,reid,1,False,2,2,2,3.95598420688259e-09,3.891990729698591e-09,-0.01633746011856141,3.955958893797629e-09
train,reid,3,False,2,2,2,3.606403176092954e-08,3.591311603656777e-08,-0.004114033647057536,3.606401932643166e-08
validation,depablo_low_temp,0,False,2,2,2,1.91906152427479e-11,0.0,,1.9189736605307317e-11
validation,depablo_low_temp,1,False,2,2,2,4.188216662370792e-09,4.117647556256543e-09,-0.017218950797711963,4.188174917985066e-09
validation,depablo_low_temp,3,False,2,2,2,3.723904029584446e-08,3.7066380187411596e-08,-0.004684718434157187,3.72389834524256e-08
validation,lj_noisy,0,False,2,2,2,3.022498744342794e-11,0.0,,3.0225507860470735e-11
validation,lj_noisy,1,False,2,2,2,3.252459745972658e-09,3.1689240120869044e-09,-0.02647254900727447,3.25244586818485e-09
validation,lj_noisy,3,False,2,2,2,3.357641453760607e-08,3.337553877713617e-08,-0.005993576085443264,3.357635414147353e-08
validation,reid,0,False,2,2,2,2.056630993979569e-11,0.0,,2.0566662956023052e-11
validation,reid,1,False,2,2,2,3.973884998842436e-09,3.8913590127975795e-09,-0.021238598141364085,3.973861240069709e-09
validation,reid,3,False,2,2,2,3.727721598068001e-08,3.706975348904962e-08,-0.005610783664862229,3.7277240849675763e-08
