split,source,original_index,frame,coordinate_mse,zero_displacement_mse,explained_displacement_score,shuffled_same_source_coordinate_mse,shuffled_original_index,valid,total,control,transfer_only
train,reid,60,0,3.7017943554928934e-07,0.0,,4.7462858532298924e-08,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,5,2.641254468471743e-07,9.641969000995232e-08,-1.739331010293765,2.1709523068125236e-08,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,10,2.6534615926721017e-07,3.9934545270625676e-07,0.33554731256101555,7.755097897188534e-08,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,25,6.701580446133448e-07,2.613964852571371e-06,0.7436239267126692,6.260760869736259e-07,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,50,2.6501263619138626e-06,1.078044169844361e-05,0.7541727476438682,2.4636824491608422e-06,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,75,6.2957979025668465e-06,2.4720842702663504e-05,0.74532430070078,5.5658806559222285e-06,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,100,1.1127432117064018e-05,4.460650961846113e-05,0.7505424160679286,1.0451536581967957e-05,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,125,1.730902658891864e-05,7.057588663883507e-05,0.7547458854113187,1.7466967619839124e-05,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,149,2.523378498153761e-05,0.00010132297029485926,0.750956916204638,2.6567855456960388e-05,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,175,3.662179733510129e-05,0.00014116728561930358,0.7405787242104942,3.938078225473873e-05,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,199,5.009348024032079e-05,0.00018406144226901233,0.727843704673859,5.413129474618472e-05,45,1,1,same_source_cyclic_next_latent,False
train,reid,45,0,7.609757801674277e-08,0.0,,2.9974822268741264e-07,43,1,1,same_source_cyclic_next_latent,False
train,reid,45,5,3.749201482605713e-08,1.0940514982848981e-07,0.6573103287657674,2.465775992277486e-07,43,1,1,same_source_cyclic_next_latent,False
train,reid,45,10,6.520410522625752e-08,4.6404014142353844e-07,0.8594860672479098,3.1756377438796335e-07,43,1,1,same_source_cyclic_next_latent,False
train,reid,45,25,4.336542076543992e-07,3.1349377422884572e-06,0.8616705519204862,1.19087201255752e-06,43,1,1,same_source_cyclic_next_latent,False
train,reid,45,50,1.6787486174507649e-06,1.3438479982141871e-05,0.8750789806822185,4.835848812945187e-06,43,1,1,same_source_cyclic_next_latent,False
train,reid,45,75,3.936682333005592e-06,3.1573268643114716e-05,0.8753159713204393,1.1701147741405293e-05,43,1,1,same_source_cyclic_next_latent,False
train,reid,45,100,7.719451787124854e-06,5.785295434179716e-05,0.8665677168097919,2.2747894036001526e-05,43,1,1,same_source_cyclic_next_latent,False
train,reid,45,125,1.3283424777910113e-05,9.246835543308407e-05,0.8563462633709017,3.8177662645466626e-05,43,1,1,same_source_cyclic_next_latent,False
train,reid,45,149,2.0817778931814246e-05,0.00013366823259275407,0.844257842510422,5.670149766956456e-05,43,1,1,same_source_cyclic_next_latent,False
train,reid,45,175,3.191847281414084e-05,0.00018724941764958203,0.829540336013899,8.083724969765171e-05,43,1,1,same_source_cyclic_next_latent,False
train,reid,45,199,4.5023818529443815e-05,0.00024507357738912106,0.816284484810224,0.00010726518667070195,43,1,1,same_source_cyclic_next_latent,False
train,reid,43,0,2.480844329966203e-07,0.0,,5.7604548686640555e-08,73,1,1,same_source_cyclic_next_latent,False
train,reid,43,5,1.0404541939124101e-07,1.0691530860640341e-07,0.026842640708521714,2.000912857624826e-08,73,1,1,same_source_cyclic_next_latent,False
train,reid,43,10,3.236396395323027e-08,4.3156654783160775e-07,0.9250081728626977,7.525861178692139e-08,73,1,1,same_source_cyclic_next_latent,False
train,reid,43,25,1.2711035424217698e-07,2.7168591714143986e-06,0.9532142278188077,6.552899094458553e-07,73,1,1,same_source_cyclic_next_latent,False
train,reid,43,50,5.547957471208065e-07,1.0897718311753124e-05,0.9490906507904079,2.0823717932216823e-06,73,1,1,same_source_cyclic_next_latent,False
train,reid,43,75,6.138668027233507e-07,2.4548364308429882e-05,0.9749935761498965,2.832897735061124e-06,73,1,1,same_source_cyclic_next_latent,False
train,reid,43,100,4.939112159263459e-07,4.367970905150287e-05,0.9886924334742254,2.6314507977076573e-06,73,1,1,same_source_cyclic_next_latent,False
train,reid,43,125,5.720082754123723e-07,6.829092308180407e-05,0.9916239486948042,2.1726959857915062e-06,73,1,1,same_source_cyclic_next_latent,False
train,reid,43,149,8.061651328716835e-07,9.707405115477741e-05,0.9916953591275766,2.0172622043901356e-06,73,1,1,same_source_cyclic_next_latent,False
train,reid,43,175,1.1048102805943927e-06,0.000133975685457699,0.991753650844778,2.226352080469951e-06,73,1,1,same_source_cyclic_next_latent,False
train,reid,43,199,1.4608078799938085e-06,0.00017330388072878122,0.9915708299557356,2.643143716341001e-06,73,1,1,same_source_cyclic_next_latent,False
train,reid,73,0,6.596835788741373e-08,0.0,,4.195059659650724e-07,85,1,1,same_source_cyclic_next_latent,False
train,reid,73,5,1.9594279976331563e-08,1.0321873844532092e-07,0.8101674146433069,2.489888686341146e-07,85,1,1,same_source_cyclic_next_latent,False
train,reid,73,10,5.297758676192643e-08,4.1087471913670015e-07,0.8710614591395668,1.4466280617853045e-07,85,1,1,same_source_cyclic_next_latent,False
train,reid,73,25,4.845419994126132e-07,2.558030018917634e-06,0.8105800182839,1.4046976559711766e-07,85,1,1,same_source_cyclic_next_latent,False
train,reid,73,50,1.4586275938199833e-06,1.0220051990472712e-05,0.8572778695079303,8.953635415309691e-07,85,1,1,same_source_cyclic_next_latent,False
train,reid,73,75,1.7151119209302124e-06,2.298522122146096e-05,0.9253819702492645,2.557272864578408e-06,85,1,1,same_source_cyclic_next_latent,False
train,reid,73,100,1.2521425105660455e-06,4.0849776269169524e-05,0.9693476286793994,5.257145858195145e-06,85,1,1,same_source_cyclic_next_latent,False
train,reid,73,125,8.249631946455338e-07,6.38140772935003e-05,0.9870723948439891,8.941108717408497e-06,85,1,1,same_source_cyclic_next_latent,False
train,reid,73,149,7.894653322182421e-07,9.065200720215216e-05,0.9912912537010047,1.3304507774591912e-05,85,1,1,same_source_cyclic_next_latent,False
train,reid,73,175,1.0415177484901506e-06,0.0001250171335414052,0.9916689999283562,1.908069316414185e-05,85,1,1,same_source_cyclic_next_latent,False
train,reid,73,199,1.430997031093284e-06,0.0001616336521692574,0.9911466640028972,2.57031661021756e-05,85,1,1,same_source_cyclic_next_latent,False
train,reid,85,0,4.0357795683121367e-07,0.0,,5.514460212907579e-07,60,1,1,same_source_cyclic_next_latent,False
train,reid,85,5,2.721626799484511e-07,9.90699291492092e-08,-1.7471774965998708,4.2669051936172764e-07,60,1,1,same_source_cyclic_next_latent,False
train,reid,85,10,1.9668144091156137e-07,4.059011473600549e-07,0.5154449742486316,3.7920150930403906e-07,60,1,1,same_source_cyclic_next_latent,False
train,reid,85,25,2.2645737374205055e-07,2.6302745936845895e-06,0.9139035238808202,5.125816073814349e-07,60,1,1,same_source_cyclic_next_latent,False
train,reid,85,50,7.861826816224493e-07,1.072301711246837e-05,0.9266826982204195,1.8084942894347478e-06,60,1,1,same_source_cyclic_next_latent,False
train,reid,85,75,1.7574515140950098e-06,2.430160930089187e-05,0.9276816818040725,4.4104303924541455e-06,60,1,1,same_source_cyclic_next_latent,False
train,reid,85,100,3.1585216220264556e-06,4.336205529398285e-05,0.9271593193493126,6.9758766585437115e-06,60,1,1,same_source_cyclic_next_latent,False
train,reid,85,125,4.9674499678076245e-06,6.791073246859014e-05,0.926853241200054,9.181582754536066e-06,60,1,1,same_source_cyclic_next_latent,False
train,reid,85,149,7.164293492678553e-06,9.663699165685102e-05,0.9258638605171166,1.2013262676191516e-05,60,1,1,same_source_cyclic_next_latent,False
train,reid,85,175,1.0372030374128371e-05,0.0001334734115516767,0.9222914117984267,1.7045063941623084e-05,60,1,1,same_source_cyclic_next_latent,False
train,reid,85,199,1.4434867807722185e-05,0.00017275374557357281,0.9164425190331134,2.419467637082562e-05,60,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,99,0,1.323754872828431e-06,0.0,,1.1081840511906194e-06,145,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,99,5,1.0211419976258185e-06,1.005318210900441e-07,-9.157400776727245,7.542304274466005e-07,145,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,99,10,7.659816674276954e-07,4.115541969440528e-07,-0.861192701023102,4.7025852722981654e-07,145,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,99,25,3.4761578149300476e-07,2.6255513603246072e-06,0.8676027493706969,1.9598040523760574e-07,145,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,99,50,4.23862132947761e-07,1.0610699973767623e-05,0.9600533297524521,9.552190931572113e-07,145,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,99,75,9.976424735214096e-07,2.4012397261685692e-05,0.9584530248000996,2.8024808216287056e-06,145,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,99,100,1.8806755406330922e-06,4.2894575017271563e-05,0.9561558649345323,5.642201358568855e-06,145,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,99,125,3.185934474458918e-06,6.73249815008603e-05,0.9526782718177471,9.342974408355076e-06,145,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,99,149,5.1289084694872145e-06,9.607322863303125e-05,0.9466145924055702,1.4144705346552655e-05,145,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,99,175,8.430540219706018e-06,0.00013315709657035768,0.9366872631136751,2.1305349946487695e-05,145,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,99,199,1.2984407476324122e-05,0.00017297302838414907,0.9249339183246098,3.005928738275543e-05,145,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,145,0,1.353522179670108e-06,0.0,,1.4612420500270673e-06,7,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,145,5,9.903341151584755e-07,1.0263002536703425e-07,-8.649555396841793,1.1803288089140551e-06,7,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,145,10,7.160465997912979e-07,4.3361850998735463e-07,-0.6513284910558352,1.0068181381939212e-06,7,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,145,25,5.060771286480303e-07,2.8988624762860127e-06,0.8254221672162902,1.1033023383788532e-06,7,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,145,50,1.2693142252828693e-06,1.2047797099512536e-05,0.8946434593147135,2.9080172225803835e-06,7,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,145,75,2.6781162887346e-06,2.75988695648266e-05,0.9029628267040427,6.247490546229528e-06,7,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,145,100,4.664284460886847e-06,4.965141852153465e-05,0.9060593916593971,1.0825032404682133e-05,7,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,145,125,7.324661055463366e-06,7.831659604562446e-05,0.9064737051237993,1.668483491812367e-05,7,1,1,same_source_cyclic_next_latent,False
