epoch,train_objective,val_objective,train_mse_norm,train_source_reid_reconstruction,train_source_lj_noisy_reconstruction,train_source_depablo_low_temp_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.4719509222706159,0.42891194664562743,0.49533455244700114,0.34861344972749553,0.575600729127725,0.49163858536879224,0.4719509214080042,0.575600729127725,0.4259535196727763,0.29348315054550767,0.5811839894652366,0.4120686999261379,0.42891194664562743,0.5811839894652366,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
2,0.319125237484773,0.3161349018209924,0.33072017107407253,0.2500534303287665,0.3960772807300091,0.31124500155945617,0.3191252375394106,0.3960772807300091,0.3145485960605244,0.2832562515903264,0.2885719835720956,0.37657647030055524,0.3161349018209924,0.37657647030055524,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
3,0.23017900184790294,0.23197416992485523,0.24756257351239522,0.1864435125912229,0.3686705422103405,0.135422952045997,0.2301790022825201,0.3686705422103405,0.23101584777670603,0.21144199424609542,0.12424784014746547,0.3602326753810048,0.2319741699248552,0.3602326753810048,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
4,0.2001276201605797,0.23001053863267104,0.22211806496977807,0.15175245268270374,0.3561310878594716,0.09249931936711073,0.20012761996976203,0.3561310878594716,0.2289853694519649,0.20325120855867862,0.12620281133055686,0.36057759600877765,0.23001053863267104,0.36057759600877765,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
5,0.1962913556098938,0.2285561419147998,0.2183002273440361,0.147244053915143,0.35118688888351124,0.09044312334929903,0.19629135538265108,0.35118688888351124,0.22753566505139072,0.2011408002730459,0.12617816895619036,0.3583494565151632,0.2285561419147998,0.3583494565151632,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
6,0.1934215981165568,0.22930200549898047,0.21535104023416837,0.14515000067278744,0.3472758041719596,0.08783898970236381,0.19342159818237029,0.3472758041719596,0.22826732656732202,0.2048706909250468,0.1257589659243822,0.3572763596475124,0.2293020054989805,0.3572763596475124,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
7,0.1910060850083828,0.22509889786628384,0.21297533868749938,0.14343203607946634,0.3446322878797849,0.08495393042763075,0.1910060847956273,0.3446322878797849,0.2240979056004435,0.20319807911291718,0.11736322787217796,0.3547353866137564,0.22509889786628387,0.3547353866137564,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
8,0.1892396050989628,0.22777774894796313,0.2110528192917506,0.142113364101698,0.3420953171153863,0.08351013326769074,0.18923960482825838,0.3420953171153863,0.22673895428764324,0.20615653986297547,0.12346949714049697,0.3537072098404169,0.2277777489479631,0.3537072098404169,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
9,0.1877468220392863,0.225755613859122,0.20952111305793125,0.14099606651316088,0.3402626406947772,0.08198175905024012,0.1877468220860594,0.3402626406947772,0.22468369981708625,0.201167965086177,0.12181222658604383,0.3542866499051452,0.225755613859122,0.3542866499051452,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
10,0.18628360907236735,0.22230612894427032,0.20809712966283161,0.13935485631103317,0.3384497950275739,0.0810461764956514,0.18628360927808615,0.3384497950275739,0.22120248783721277,0.19643040805496276,0.11532975629996509,0.3551582224778831,0.2223061289442703,0.3551582224778831,shared Reid + low-T + noisy-LJ,6,normalized_delta,96
