epoch,train_objective,val_objective,train_mse_norm,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_source_depablo_low_temp_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.46918343512217203,0.40600792243083317,0.49295355248451234,0.5696309659481048,0.34242407784362633,0.49549526467919347,0.4691834361569749,0.5696309659481048,0.4038997037708759,0.2811259566098452,0.5515728827267885,0.38532492795586587,0.4060079224308332,0.5515728827267885,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
2,0.2888393935362498,0.24530201566467683,0.30161241367459296,0.38299031867583594,0.2266850309893489,0.25684283120930196,0.2888393936248289,0.38299031867583594,0.24433094349255163,0.22530496986582876,0.14163253066316248,0.36896854646503924,0.2453020156646768,0.36896854646503924,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
3,0.206521459877491,0.23016438786375026,0.22735770739118258,0.35831132453680037,0.15986298467218876,0.10139007230848074,0.2065214605058233,0.35831132453680037,0.22921062249255678,0.20748101468198002,0.12249922436475753,0.3605129245445132,0.23016438786375026,0.3605129245445132,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
4,0.19964113915959994,0.22998107788835961,0.22093372015158336,0.35231035253405574,0.1515007008810838,0.09511236354708671,0.19964113898740876,0.35231035253405574,0.2291342521396776,0.20960461327806115,0.12157359425723553,0.3587650261297822,0.22998107788835964,0.3587650261297822,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
5,0.19724250807364782,0.23159418752385924,0.21855257307489714,0.3494715006351471,0.14854633296777806,0.09370968991642196,0.19724250783978237,0.3494715006351471,0.2306974160913378,0.20887572131026536,0.1271516456734389,0.35875519558787344,0.23159418752385927,0.35875519558787344,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
6,0.19469866065184274,0.2286474960213527,0.21601463055610656,0.3464271888534228,0.1459751843996346,0.09169360872109732,0.19469866065805155,0.3464271888534228,0.227708248470289,0.20933268787432463,0.12024067220464349,0.35636912798509,0.2286474960213527,0.35636912798509,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
7,0.19224466561277706,0.22719917828155062,0.21360059727231662,0.3433349625766277,0.14388344616939625,0.08951558757076661,0.19224466543893018,0.3433349625766277,0.2262644506804645,0.2044572120923549,0.12146479126438499,0.3556755314879119,0.2271991782815506,0.3556755314879119,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
8,0.19002617477377257,0.22386240047216416,0.2117110287149747,0.34065032470226286,0.14214921783780057,0.08727898005023599,0.19002617419676648,0.34065032470226286,0.22286265942268074,0.2018025888428092,0.11691609447821975,0.3528685180954635,0.22386240047216413,0.3528685180954635,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
9,0.18670901454488437,0.22196325700481734,0.20816845173637072,0.33746180310845375,0.13987659386669596,0.08278864659865698,0.18670901452460223,0.33746180310845375,0.22096408297680317,0.20253026257269086,0.11458436647616327,0.3487751419655979,0.22196325700481734,0.3487751419655979,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
10,0.1841396819750468,0.22115033723041416,0.20551043264071148,0.33468034988641737,0.13802286425977944,0.07971583260719975,0.1841396822511322,0.33468034988641737,0.2201259507642438,0.20247986680828034,0.11183371597342193,0.3491374289095402,0.22115033723041413,0.3491374289095402,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
11,0.18274645364284514,0.22343518770330895,0.20411222106218338,0.3328515772720178,0.13706481539209683,0.07832296849787235,0.18274645372066234,0.3328515772720178,0.22244462036620827,0.2068077798485756,0.11293524219747633,0.35056254106387497,0.22343518770330895,0.35056254106387497,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
12,0.18150714894135794,0.22400666398617128,0.20294416710734367,0.33133352583646775,0.1360353261915346,0.07715259475136797,0.18150714892645678,0.33133352583646775,0.22302282293451328,0.2079311182834208,0.11221072437427938,0.3518781493008137,0.2240066639861713,0.3518781493008137,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
13,0.1807772441605727,0.22264904181969664,0.20227199323972067,0.3302809306581815,0.13534909876808524,0.07670170317714413,0.18077724420113694,0.3302809306581815,0.2215868809937189,0.20202535426430404,0.11363162355497479,0.35229014763981104,0.2226490418196966,0.35229014763981104,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
14,0.17957446002960206,0.2240537500961994,0.2012341970205307,0.32878802455465,0.13411440049360196,0.07582095593214035,0.17957446032679744,0.32878802455465,0.2229880328522995,0.20437396318838,0.11388386780489236,0.35390341929532587,0.22405375009619943,0.35390341929532587,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
15,0.1787789546052615,0.22441197152001163,0.2004341792364915,0.327590211947759,0.13321085952843228,0.07553579295054078,0.1787789548089107,0.327590211947759,0.22332999712135643,0.2042823797427118,0.11246627174504101,0.35648726307228207,0.2244119715200116,0.35648726307228207,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
16,0.17761328725516795,0.22601614003069698,0.19936463274558386,0.3261598584850629,0.1318891370544831,0.07479086635882656,0.17761328729945755,0.3261598584850629,0.22482473282143473,0.206309674102813,0.1151681530792266,0.35657059291005133,0.22601614003069695,0.35657059291005133,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
17,0.17703165113925934,0.22287142389888565,0.19883706043163935,0.3252021227081617,0.1312677549875031,0.0746250738427043,0.17703165051278968,0.3252021227081617,0.22163699437864126,0.19796549420431256,0.11480464860238135,0.35584412888996303,0.22287142389888567,0.35584412888996303,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
18,0.1760635840843121,0.22711273722940434,0.1977574539879958,0.32384765847524005,0.1302354463736216,0.07410764669006069,0.17606358384630746,0.32384765847524005,0.22587309660669416,0.20653294993005694,0.11869464342761785,0.35611061833053825,0.22711273722940437,0.35611061833053825,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
19,0.17484345962603887,0.22375470210860174,0.19654091501235962,0.32208208316564557,0.12891741465590895,0.07353088111182055,0.17484345964445835,0.32208208316564557,0.22241755796596407,0.20151441767439246,0.11096275449544192,0.3587869341559708,0.2237547021086017,0.3587869341559708,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
20,0.17378183561563493,0.2288985371288533,0.19563212828834853,0.3207093941966693,0.1273634142006437,0.07327269966651996,0.17378183602127764,0.3207093941966693,0.2276173987084379,0.21127696876320987,0.11756007580645382,0.3578585668168962,0.2288985371288533,0.3578585668168962,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
21,0.17216261751453082,0.22705854287339997,0.19416710515817007,0.31847792106866835,0.1254904910425345,0.07251943994810184,0.17216261735310157,0.31847792106866835,0.22559155871719122,0.19746333149634301,0.122729189154692,0.36098310796916483,0.2270585428733999,0.36098310796916483,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
