split,source,frame,transfer_only,networks,valid,total,coordinate_mse,zero_displacement_mse,explained_displacement_score,shuffled_same_source_coordinate_mse
mixed_transfer,depablo_mixed_temp,0,True,20,20,20,1.57542810512723e-06,0.0,,1.6014058019209188e-06
mixed_transfer,depablo_mixed_temp,5,True,20,20,20,1.9267380781684552e-05,1.3693910162970723e-05,-1.1032648003519452,1.963330976479938e-05
mixed_transfer,depablo_mixed_temp,10,True,20,20,20,2.5859279135431733e-05,1.584389799802466e-05,-0.4595445690913732,2.8025156183986154e-05
mixed_transfer,depablo_mixed_temp,25,True,20,20,20,1.8405207708838133e-05,1.7265989811221516e-05,0.2220446956514576,1.9120351012702486e-05
mixed_transfer,depablo_mixed_temp,50,True,20,20,20,2.2487061528408958e-05,2.7122223900732934e-05,0.4429636355694293,2.624020142434347e-05
mixed_transfer,depablo_mixed_temp,75,True,20,20,20,2.1795792852685737e-05,4.14705596085696e-05,0.6111897864213428,2.8819219664910634e-05
mixed_transfer,depablo_mixed_temp,100,True,20,20,20,2.510681708827178e-05,6.20002983851009e-05,0.6746364081024008,3.304415774891822e-05
mixed_transfer,depablo_mixed_temp,125,True,20,20,20,2.6159692254168476e-05,8.789343846729025e-05,0.7554941134770506,4.272973778824962e-05
mixed_transfer,depablo_mixed_temp,149,True,20,20,20,3.3896294428359394e-05,0.00011536433339642826,0.7413606746972308,5.3899135082247085e-05
mixed_transfer,depablo_mixed_temp,175,True,20,20,20,3.1802697355942656e-05,0.0001539643588330364,0.8102355544505025,6.283275007490374e-05
mixed_transfer,depablo_mixed_temp,199,True,20,20,20,3.837688111616444e-05,0.00019460193216218612,0.8210356379587221,8.329953793690947e-05
train,depablo_low_temp,0,False,5,5,5,1.7309190070591284e-06,0.0,,2.061323181123953e-06
train,depablo_low_temp,5,False,5,5,5,1.2976171717582474e-06,1.0330704327543572e-07,-11.5790428061641,1.6389838386032807e-06
train,depablo_low_temp,10,False,5,5,5,9.190009279791412e-07,4.2783193521245266e-07,-1.1372805308025329,1.2888487354700829e-06
train,depablo_low_temp,25,False,5,5,5,4.0640427130256284e-07,2.7642588065646125e-06,0.85429428449832,1.0518660019442904e-06
train,depablo_low_temp,50,False,5,5,5,7.156590783097272e-07,1.1252334661548958e-05,0.9380211159710843,2.690819837880554e-06
train,depablo_low_temp,75,False,5,5,5,1.5250938815825066e-06,2.554690981924068e-05,0.9420695085138979,6.3521602442051515e-06
train,depablo_low_temp,100,False,5,5,5,2.6650405516193134e-06,4.572098987409845e-05,0.9436505429458913,1.1797279148595407e-05
train,depablo_low_temp,125,False,5,5,5,4.0956879502118685e-06,7.185182621469722e-05,0.9449516681258672,1.8588093371363357e-05
train,depablo_low_temp,149,False,5,5,5,5.849762737852871e-06,0.00010261770803481341,0.9449339749061517,2.652223683980992e-05
train,depablo_low_temp,175,False,5,5,5,8.487133140988589e-06,0.0001423011941369623,0.9423995371606393,3.7345258169807495e-05
train,depablo_low_temp,199,False,5,5,5,1.190640127788356e-05,0.00018488138739485293,0.9377924524603157,5.00990790897049e-05
train,lj_noisy,0,False,5,5,5,1.6156841908809838e-07,0.0,,1.8429230479455328e-07
train,lj_noisy,5,False,5,5,5,8.579042543033211e-08,9.486441570061288e-08,0.11509871568773891,1.1853746819667777e-07
train,lj_noisy,10,False,5,5,5,6.912799221936439e-08,3.9631250956517763e-07,0.8247420377862509,1.1981623515566753e-07
train,lj_noisy,25,False,5,5,5,3.75648573935905e-07,2.6223908207612114e-06,0.8538117697982675,5.327564622348291e-07
train,lj_noisy,50,False,5,5,5,1.6781179056124528e-06,1.09006710772519e-05,0.8430356950211448,2.262951170450833e-06
train,lj_noisy,75,False,5,5,5,4.113989325560396e-06,2.5082033971557394e-05,0.8327535161073945,5.454655274661491e-06
train,lj_noisy,100,False,5,5,5,8.026615341805155e-06,4.512062150752172e-05,0.8187675731450419,1.0181050856772345e-05
train,lj_noisy,125,False,5,5,5,1.2986585352336988e-05,7.115652042557485e-05,0.8144757271697391,1.5993274246284273e-05
train,lj_noisy,149,False,5,5,5,1.8416979946778157e-05,0.00010185747232753784,0.8171774384150192,2.2316803733701817e-05
train,lj_noisy,175,False,5,5,5,2.553990707383491e-05,0.00014140228158794345,0.8186362177936998,3.057287867704872e-05
train,lj_noisy,199,False,5,5,5,3.391215104784351e-05,0.00018346654542256147,0.8153800943167997,4.011627970612608e-05
train,reid,0,False,5,5,5,1.987929294955393e-07,0.0,,2.1004992447615223e-07
train,reid,5,False,5,5,5,9.332008659157509e-08,1.0300576320787514e-07,0.09246864644485431,1.1804089297129395e-07
train,reid,10,False,5,5,5,5.739451367503534e-08,4.223456016916316e-07,0.8635805201525238,1.0881353951219808e-07
train,reid,25,False,5,5,5,2.4469161701290433e-07,2.7308132757752903e-06,0.9110258537255799,4.800578608410433e-07
train,reid,50,False,5,5,5,1.06440145657416e-06,1.1211941819055938e-05,0.9066478344961103,2.185372431995347e-06
train,reid,75,False,5,5,5,2.626954000106707e-06,2.5625861235312185e-05,0.9004708297435584,5.465257589776229e-06
train,reid,100,False,5,5,5,5.0164022582066535e-06,4.607020091498271e-05,0.8955779525246703,1.007326692388233e-05
train,reid,125,False,5,5,5,7.820085443199787e-06,7.261199498316273e-05,0.8975563647944274,1.568661255078041e-05
train,reid,149,False,5,5,5,1.0974562553656141e-05,0.00010387085058027878,0.9000684333598004,2.2365683116731815e-05
train,reid,175,False,5,5,5,1.5420352610817645e-05,0.0001441765867639333,0.8994102270190322,3.1750196217217305e-05
train,reid,199,False,5,5,5,2.0769721231772564e-05,0.00018736525962594896,0.8962186477195976,4.2819556983886284e-05
validation,depablo_low_temp,0,False,20,20,20,1.5816714565630718e-06,0.0,,1.723837954159535e-06
validation,depablo_low_temp,5,False,20,20,20,1.1658506593903439e-06,1.0374946519675632e-07,-10.114775645086544,1.334247814455125e-06
validation,depablo_low_temp,10,False,20,20,20,8.028377905588968e-07,4.3081104337261424e-07,-0.7824389804914914,1.0314946505829425e-06
validation,depablo_low_temp,25,False,20,20,20,3.644723530982219e-07,2.7970711698799277e-06,0.8810738952756916,1.0407290073288778e-06
validation,depablo_low_temp,50,False,20,20,20,7.711798154730331e-07,1.1410252727728221e-05,0.937187128901321,3.6394105393355856e-06
validation,depablo_low_temp,75,False,20,20,20,1.7411406219025594e-06,2.5913254285114816e-05,0.938104189637808,9.116190068425566e-06
validation,depablo_low_temp,100,False,20,20,20,3.1254920372703054e-06,4.636267858586507e-05,0.9383556378460305,1.6714216445734565e-05
validation,depablo_low_temp,125,False,20,20,20,4.769139712834658e-06,7.281413381861057e-05,0.9401553794636273,2.613941148865706e-05
validation,depablo_low_temp,149,False,20,20,20,6.815385017944209e-06,0.00010390844217909035,0.9402321905975295,3.7803581221851346e-05
validation,depablo_low_temp,175,False,20,20,20,1.0123538129391817e-05,0.00014395233920367901,0.9363985139583886,5.504429207121575e-05
validation,depablo_low_temp,199,False,20,20,20,1.4962201362322958e-05,0.00018684058959479445,0.9282921644187839,7.695971471548546e-05
validation,lj_noisy,0,False,20,20,20,1.8703414532694752e-07,0.0,,2.3396153512322825e-07
validation,lj_noisy,5,False,20,20,20,1.0951393827340894e-07,9.562797735895856e-08,-0.12039184362440751,1.668503999852078e-07
validation,lj_noisy,10,False,20,20,20,8.863830647243276e-08,4.023101709549337e-07,0.7843990566505015,1.5983199190827692e-07
validation,lj_noisy,25,False,20,20,20,3.760918893647158e-07,2.700515562992223e-06,0.8619387446445058,5.285190695758502e-07
validation,lj_noisy,50,False,20,20,20,1.6419329796235615e-06,1.1352922138030408e-05,0.8574934173053327,2.1334450252652458e-06
validation,lj_noisy,75,False,20,20,20,3.993821189851588e-06,2.626361301736324e-05,0.8500984622450707,5.0784072186615955e-06
validation,lj_noisy,100,False,20,20,20,7.745170796624734e-06,4.754355759359896e-05,0.8389306021431017,9.488451451034052e-06
validation,lj_noisy,125,False,20,20,20,1.3000798480788944e-05,7.53616273868829e-05,0.8298414473647192,1.5436577041327836e-05
validation,lj_noisy,149,False,20,20,20,1.9537272055458744e-05,0.00010829863385879435,0.8226188965645083,2.288565178787394e-05
validation,lj_noisy,175,False,20,20,20,2.8588562327058752e-05,0.00015109891755855643,0.8143751373542505,3.335419542054297e-05
validation,lj_noisy,199,False,20,20,20,3.88986926736834e-05,0.00019709730695467443,0.8063677417401255,4.544297062238911e-05
validation,reid,0,False,20,20,20,2.0028217164735907e-07,0.0,,2.1330320816304037e-07
validation,reid,5,False,20,20,20,1.0567815529327618e-07,1.0172996844914906e-07,-0.042735375474578355,1.22370727950738e-07
validation,reid,10,False,20,20,20,8.552081616208796e-08,4.1971166808707494e-07,0.7971363972856722,1.111265679476503e-07
validation,reid,25,False,20,20,20,3.7607574263631707e-07,2.7402936780163147e-06,0.8662775948459702,4.797800276179487e-07
validation,reid,50,False,20,20,20,1.5591505444945141e-06,1.1289792837487767e-05,0.8688208896124309,2.0912663856620385e-06
validation,reid,75,False,20,20,20,3.513812831101859e-06,2.5800835919653765e-05,0.8737610069554634,4.96054919949529e-06
validation,reid,100,False,20,20,20,6.478661589426338e-06,4.6367003233172e-05,0.8721512298321791,9.221372823731145e-06
validation,reid,125,False,20,20,20,1.0467750345810601e-05,7.307437172130449e-05,0.8698775972253203,1.4863328391356845e-05
validation,reid,149,False,20,20,20,1.5497633779659736e-05,0.00010457381868036463,0.8661724325865515,2.1924291900177195e-05
validation,reid,175,False,20,20,20,2.284862566739321e-05,0.00014527933526551351,0.8587985515679624,3.203178304147514e-05
validation,reid,199,False,20,20,20,3.187179481756175e-05,0.00018904373064287938,0.8493248357482038,4.4124646728960214e-05
