epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_reid_reconstruction,train_source_lj_noisy_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.46641849195957186,0.408041191427658,0.48435500274101895,0.48566113910079,0.3609488128821055,0.5526455220977465,0.466418491360214,0.5526455220977465,0.4052904967777431,0.2927409564740956,0.5381979422494769,0.3931846755594015,0.40804119142765805,0.5381979422494769,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
2,0.30919108996788663,0.2771259273439646,0.31894863430658976,0.29383872902393343,0.2510372846027215,0.3826972573598226,0.3091910903288258,0.3826972573598226,0.27568044124171137,0.24774279154092074,0.20303242648392916,0.38060256400704384,0.2771259273439646,0.38060256400704384,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
3,0.2149466374218464,0.23077458312859137,0.23391539753476778,0.11176657578349114,0.17327289779484273,0.35980043758948643,0.21494663705594008,0.35980043758948643,0.2297947032166024,0.2105820195991546,0.12360161667130888,0.3581401131153107,0.23077458312859137,0.3581401131153107,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
4,0.2029837059477965,0.2260244670243313,0.2233522487282753,0.09980178971340259,0.15689845090111096,0.3522508775194486,0.20298370604465407,0.3522508775194486,0.22508215690900882,0.20636750670149923,0.1169476341214031,0.35475826025009155,0.2260244670243313,0.35475826025009155,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
5,0.19935265876849492,0.2257690264383952,0.21987679816285768,0.09664737368375063,0.15342914991577467,0.3479814530412356,0.19935265888025364,0.3479814530412356,0.22464282196201385,0.20279812668263913,0.11938628187030553,0.3551226707622409,0.22576902643839522,0.3551226707622409,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
6,0.19688449163238209,0.23015272067549328,0.21732575187087058,0.09522349968800942,0.1513593145261208,0.3440706600646178,0.1968844914262493,0.3440706600646178,0.22858456365546834,0.20809747494012118,0.11798424532823265,0.364376441758126,0.23015272067549328,0.364376441758126,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
7,0.1941705142756303,0.22885486881652226,0.2145135017732779,0.0922141932224234,0.1492826300424834,0.34101471918821336,0.19417051415104006,0.34101471918821336,0.22688953033679476,0.20042413131985815,0.11202629549242556,0.3741141796372831,0.22885486881652226,0.3741141796372831,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
8,0.19214159061511357,0.22563664235547184,0.21229377300540606,0.08972840533902247,0.14788028186932206,0.3388160850008329,0.19214159073639248,0.3388160850008329,0.2239359016691645,0.20065577410906554,0.11049225134029984,0.3657619016170502,0.22563664235547187,0.3657619016170502,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
9,0.1889394221007824,0.228641910597682,0.2094272872408231,0.08592846802497904,0.14450976073990265,0.3363800379435221,0.18893942223613458,0.3363800379435221,0.22670838568887364,0.20402707175910473,0.10976762571930886,0.3721310343146324,0.22864191059768202,0.3721310343146324,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
10,0.18622746684153874,0.22051353333735219,0.2069362753033638,0.08360430313895147,0.1411161207991342,0.33396197600166005,0.18622746664658194,0.33396197600166005,0.21897152543316284,0.19653717820718886,0.10585823685955256,0.3591451849453151,0.22051353333735216,0.3591451849453151,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
11,0.18383270145455996,0.22233135205103705,0.2047171336710453,0.08209006456534068,0.13752235070988536,0.3318856887618701,0.1838327013456987,0.3318856887618701,0.2208582732633998,0.20100063997134565,0.10606655286159367,0.3599268633201718,0.22233135205103705,0.3599268633201718,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
12,0.1817662571767966,0.22684318848047405,0.20320549395680426,0.08118246027827263,0.1341843000166118,0.32993201015392937,0.18176625681627126,0.32993201015392937,0.22525724222045393,0.210204179440625,0.10949288546480239,0.36083250053599475,0.22684318848047402,0.36083250053599475,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
13,0.17963604348897935,0.219727667964374,0.20125033829609554,0.0800050127953291,0.13124633540958167,0.32765678386886915,0.17963604402459332,0.32765678386886915,0.2182366274955372,0.19923883697297423,0.10337279274594038,0.3565713741742074,0.21972766796437404,0.3565713741742074,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
14,0.17765073697765668,0.22342974622702846,0.19962616209189096,0.0785851912535727,0.12871113143116236,0.3256558864414692,0.1776507363754014,0.3256558864414692,0.2218955297420422,0.2067184854671359,0.10566521435696631,0.3579055388569832,0.22342974622702846,0.3579055388569832,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
15,0.1758446658452352,0.21925234205648303,0.19792730353275934,0.07738609969243407,0.12652989158096412,0.32361800626913706,0.17584466584751177,0.32361800626913706,0.2177738968624423,0.19924763333797454,0.10240380253270269,0.35610559029877187,0.21925234205648303,0.35610559029877187,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
16,0.17397090543309848,0.22341686656046658,0.19623489074905714,0.07625918015713493,0.12407478969792525,0.32157874695460004,0.17397090560322007,0.32157874695460004,0.22199996787247558,0.2060705908164382,0.10433992135804146,0.3598400875069201,0.22341686656046658,0.3598400875069201,shared Reid + low-T + noisy-LJ,8,normalized_delta,96
