variant,runs,epochs_completed_mean,epochs_completed_std,selected_epoch_mean,selected_epoch_std,selected_epoch_min,selected_epoch_max,selected_val_max_mean,selected_val_max_std,train_frame_samples,optimizer_steps_per_epoch
ljonly_r16_d4,5,56,4.69041575982,44.2,4.9193495505,38,49,0.281370495445,0.00664456936042,12000,375
ljonly_r16_d8,5,53,6.59545297914,41.2,6.87022561493,33,49,0.289265998318,0.0117663168385,12000,375
mp2_r16_d4,5,21.4,0.894427191,9.4,0.894427191,8,10,0.337166257108,0.00347841209162,24000,750
mp2_r16_d8,5,22.8,1.30384048104,10.8,1.30384048104,10,13,0.326437822773,0.00343657870221,24000,750
r16_d2,5,21.6,2.88097205818,9.6,2.88097205818,5,13,0.352253819057,0.00187402472593,24000,750
r16_d4,5,20.4,2.5099800796,8.4,2.5099800796,6,12,0.351752787522,0.00116378061805,24000,750
r16_d6,5,22.4,3.1304951685,10.4,3.1304951685,7,15,0.353269830884,0.00188960849906,24000,750
r16_d8,5,19.6,2.5099800796,7.6,2.5099800796,4,10,0.351690829262,0.00379523771393,24000,750
r96_d4,5,19.6,2.88097205818,7.8,2.94957624075,5,12,0.353781395958,0.0027618244762,24000,750
r96_d8,5,18.4,1.67332005307,6.4,1.67332005307,4,8,0.350656019894,0.00135856732016,24000,750
