latent_dim,split,source,frame,seeds,shared_mse,ljonly_mse,shared_minus_ljonly_mse,paired_difference_std,shared_minus_ljonly_over_ljonly
4,train,lj_noisy,5,5,3.72391820918e-07,8.25359400096e-07,-4.52967579179e-07,4.77649476568e-07,-0.548812528367
4,train,lj_noisy,10,5,2.64528320741e-07,6.37134849057e-07,-3.72606528316e-07,3.99348625015e-07,-0.584815802914
4,train,lj_noisy,25,5,3.61841869676e-07,6.03142630098e-07,-2.41300760422e-07,2.2362077944e-07,-0.400072467739
4,train,lj_noisy,50,5,1.62956913755e-06,1.85598069947e-06,-2.26411561925e-07,1.33294691957e-07,-0.121990256682
4,train,lj_noisy,75,5,4.11537625951e-06,4.4898233682e-06,-3.74447108697e-07,2.08242537984e-07,-0.0833990734133
4,train,lj_noisy,100,5,8.03171149528e-06,8.42941151859e-06,-3.97700023314e-07,3.78279212352e-07,-0.0471800460135
4,train,lj_noisy,125,5,1.30670471844e-05,1.3527189767e-05,-4.60142582597e-07,5.60269524179e-07,-0.0340161253387
4,train,lj_noisy,149,5,1.86565422337e-05,1.95980015997e-05,-9.41459366004e-07,6.62647112657e-07,-0.0480385390937
4,train,lj_noisy,175,5,2.61333181697e-05,2.79778560071e-05,-1.84453783731e-06,7.98468755585e-07,-0.0659284913343
4,train,lj_noisy,199,5,3.49324617855e-05,3.75648499903e-05,-2.6323882048e-06,1.18836033163e-06,-0.0700758343367
4,validation,lj_noisy,5,5,3.93035881032e-07,8.39462748985e-07,-4.46426867953e-07,4.27420237696e-07,-0.531800688586
4,validation,lj_noisy,10,5,2.90621085917e-07,6.4131751202e-07,-3.50696426104e-07,3.61418474394e-07,-0.546837439381
4,validation,lj_noisy,25,5,3.97816464641e-07,5.79232203961e-07,-1.8141573932e-07,2.05155499739e-07,-0.313200367796
4,validation,lj_noisy,50,5,1.65644541539e-06,1.77329885503e-06,-1.16853439636e-07,1.51372988507e-07,-0.0658960779816
4,validation,lj_noisy,75,5,4.06899555173e-06,4.30406295209e-06,-2.35067400354e-07,1.39427032097e-07,-0.0546152328557
4,validation,lj_noisy,100,5,7.83649658842e-06,8.07926508969e-06,-2.42768501266e-07,1.66801163397e-07,-0.0300483396164
4,validation,lj_noisy,125,5,1.30751831102e-05,1.33237525824e-05,-2.48569472205e-07,2.12003987639e-07,-0.0186561158853
4,validation,lj_noisy,149,5,1.95312003325e-05,2.00839779791e-05,-5.5277764659e-07,1.9336165958e-07,-0.0275233147121
4,validation,lj_noisy,175,5,2.86473577398e-05,2.97274329205e-05,-1.08007518065e-06,2.73456159316e-07,-0.0363326084543
4,validation,lj_noisy,199,5,3.94144706661e-05,4.08065142256e-05,-1.39204355946e-06,5.57498832516e-07,-0.0341132680867
8,train,lj_noisy,5,5,3.29978301181e-07,8.25826987239e-07,-4.95848686057e-07,4.26794547903e-07,-0.600426837243
8,train,lj_noisy,10,5,2.27586466224e-07,6.53739667769e-07,-4.26153201545e-07,3.30841237707e-07,-0.65186988423
8,train,lj_noisy,25,5,3.58623698844e-07,6.13844783857e-07,-2.55221085013e-07,1.5237665768e-07,-0.41577462532
8,train,lj_noisy,50,5,1.67082339885e-06,1.87824494333e-06,-2.07421544474e-07,1.16007261187e-07,-0.110433703128
8,train,lj_noisy,75,5,4.20355818278e-06,4.56007759567e-06,-3.5651941289e-07,1.91745636815e-07,-0.0781827513699
8,train,lj_noisy,100,5,8.09772622233e-06,8.56077891513e-06,-4.63052692794e-07,3.01894063941e-07,-0.0540900188388
8,train,lj_noisy,125,5,1.31011878693e-05,1.36442007715e-05,-5.43012902199e-07,3.82540530089e-07,-0.0397980732834
8,train,lj_noisy,149,5,1.88230400818e-05,1.96133066493e-05,-7.90266567492e-07,6.06705897696e-07,-0.0402923679125
8,train,lj_noisy,175,5,2.66046485922e-05,2.80653603113e-05,-1.46071171912e-06,1.3452710893e-06,-0.052046783042
8,train,lj_noisy,199,5,3.56253092468e-05,3.82425684802e-05,-2.61725923338e-06,2.78355960868e-06,-0.0684383747585
8,validation,lj_noisy,5,5,3.37149107601e-07,8.27805982766e-07,-4.90656875165e-07,4.36583881552e-07,-0.592719653373
8,validation,lj_noisy,10,5,2.40811408823e-07,6.54356900256e-07,-4.13545491433e-07,3.36732383778e-07,-0.631987668001
8,validation,lj_noisy,25,5,3.84241245399e-07,6.0861625883e-07,-2.24375013431e-07,1.47003376239e-07,-0.368664179071
8,validation,lj_noisy,50,5,1.6669408069e-06,1.81470574375e-06,-1.47764936855e-07,1.12079235583e-07,-0.0814263895752
8,validation,lj_noisy,75,5,4.08738039141e-06,4.41582781377e-06,-3.28447422362e-07,2.05776121794e-07,-0.0743795809559
8,validation,lj_noisy,100,5,7.82949344739e-06,8.30423908155e-06,-4.74745634165e-07,3.19824477531e-07,-0.0571690710615
8,validation,lj_noisy,125,5,1.30657896352e-05,1.36502814712e-05,-5.8449183598e-07,4.21698971969e-07,-0.0428190317696
8,validation,lj_noisy,149,5,1.96308983595e-05,2.05023722083e-05,-8.71473848747e-07,6.0524608556e-07,-0.0425060007639
8,validation,lj_noisy,175,5,2.89294437698e-05,3.050834428e-05,-1.57890051014e-06,1.24920646444e-06,-0.0517530710828
8,validation,lj_noisy,199,5,4.01114106535e-05,4.25194914715e-05,-2.40808081799e-06,2.92891609666e-06,-0.0566347511376
