split,source,original_index,frame,coordinate_mse,zero_displacement_mse,explained_displacement_score,shuffled_same_source_coordinate_mse,shuffled_original_index,valid,total,control,transfer_only
train,reid,60,0,4.3051048836950656e-10,0.0,,4.3055206622177877e-10,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,1,4.5590384800675565e-09,3.823601435470891e-09,-0.1923414500722127,4.559579380725154e-09,45,1,1,same_source_cyclic_next_latent,False
train,reid,60,3,3.55801788032295e-08,3.418571381530455e-08,-0.04079086940991883,3.5584431401503025e-08,45,1,1,same_source_cyclic_next_latent,False
train,reid,45,0,4.2628081620144087e-10,0.0,,4.2623232721084037e-10,60,1,1,same_source_cyclic_next_latent,False
train,reid,45,1,4.587827007185297e-09,3.960380023926291e-09,-0.1584310039613217,4.587256796639849e-09,60,1,1,same_source_cyclic_next_latent,False
train,reid,45,3,3.872039755492551e-08,3.764051825783099e-08,-0.0286892781257031,3.871797815691025e-08,60,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,99,0,5.479604547886652e-10,0.0,,5.489853571738479e-10,145,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,99,1,4.834938671649525e-09,3.963324779476807e-09,-0.21991987552626924,4.83382711635727e-09,145,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,99,3,3.7051897550099966e-08,3.54952298664557e-08,-0.04385568679230811,3.7039612266198674e-08,145,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,145,0,5.355876853130326e-10,0.0,,5.345493492292519e-10,99,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,145,1,4.749263649017621e-09,4.03505140411653e-09,-0.1770020189017809,4.7498369681875374e-09,99,1,1,same_source_cyclic_next_latent,False
train,depablo_low_temp,145,3,3.674622917060333e-08,3.563962636121687e-08,-0.031049787059234335,3.675291537774683e-08,99,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,178,0,1.1164711516409298e-10,0.0,,1.117609824130561e-10,199,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,178,1,3.3955134259855413e-09,3.0654494498350005e-09,-0.10767229456949834,3.3946867539214054e-09,199,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,178,3,3.246172042281614e-08,3.1669280531332333e-08,-0.025022352203416753,3.245885338287735e-08,199,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,199,0,6.789988016286941e-11,0.0,,6.778359817882773e-11,178,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,199,1,3.96775901023716e-09,3.646393409439952e-09,-0.08813245437676631,3.968227968442761e-09,178,1,1,same_source_cyclic_next_latent,False
train,lj_noisy,199,3,3.560275629865828e-08,3.4785063718345555e-08,-0.023507002515032793,3.560470673846794e-08,178,1,1,same_source_cyclic_next_latent,False
validation,reid,41,0,4.13921424913255e-10,0.0,,4.137498677003748e-10,49,1,1,same_source_cyclic_next_latent,False
validation,reid,41,1,4.666963260291368e-09,3.987294494578464e-09,-0.170458632197108,4.666574682232749e-09,49,1,1,same_source_cyclic_next_latent,False
validation,reid,41,3,3.939689463550167e-08,3.810321302921693e-08,-0.03395203457757656,3.9394770112721744e-08,49,1,1,same_source_cyclic_next_latent,False
validation,reid,49,0,4.827466759671495e-10,0.0,,4.829626143454391e-10,41,1,1,same_source_cyclic_next_latent,False
validation,reid,49,1,4.417489929409157e-09,3.795423531016695e-09,-0.16389907300433126,4.417761712005586e-09,41,1,1,same_source_cyclic_next_latent,False
validation,reid,49,3,3.696412420595152e-08,3.60362939488823e-08,-0.025747105359539724,3.696483474868728e-08,41,1,1,same_source_cyclic_next_latent,False
validation,depablo_low_temp,161,0,6.075021041773709e-10,0.0,,6.076341652061501e-10,47,1,1,same_source_cyclic_next_latent,False
validation,depablo_low_temp,161,1,5.008066406020362e-09,4.178329238158085e-09,-0.1985810884132353,5.008205850032255e-09,47,1,1,same_source_cyclic_next_latent,False
validation,depablo_low_temp,161,3,3.889210020702194e-08,3.761137534752379e-08,-0.03405152956158708,3.889264021950112e-08,47,1,1,same_source_cyclic_next_latent,False
validation,depablo_low_temp,47,0,6.250689965625611e-10,0.0,,6.250439610333558e-10,161,1,1,same_source_cyclic_next_latent,False
validation,depablo_low_temp,47,1,4.66387684028291e-09,4.056965874355001e-09,-0.1495972568476187,4.663573083263373e-09,161,1,1,same_source_cyclic_next_latent,False
validation,depablo_low_temp,47,3,3.708556306492028e-08,3.65213850272994e-08,-0.015447881760211502,3.708515450284722e-08,161,1,1,same_source_cyclic_next_latent,False
validation,lj_noisy,15,0,1.0583310616762986e-10,0.0,,1.0577401454714419e-10,79,1,1,same_source_cyclic_next_latent,False
validation,lj_noisy,15,1,3.4951070926325656e-09,3.2715596898214017e-09,-0.06833052855696709,3.495162603783797e-09,79,1,1,same_source_cyclic_next_latent,False
validation,lj_noisy,15,3,3.2725257170795885e-08,3.224334932383499e-08,-0.014945961169259059,3.272509729868034e-08,79,1,1,same_source_cyclic_next_latent,False
validation,lj_noisy,79,0,9.891675673001643e-11,0.0,,9.895233937795567e-11,15,1,1,same_source_cyclic_next_latent,False
validation,lj_noisy,79,1,3.4241010027358243e-09,3.0662883343524072e-09,-0.11669244029491654,3.4240588142608885e-09,15,1,1,same_source_cyclic_next_latent,False
validation,lj_noisy,79,3,3.54477194264291e-08,3.450772823043735e-08,-0.027240019676596283,3.5447889956685685e-08,15,1,1,same_source_cyclic_next_latent,False
mixed_transfer,depablo_mixed_temp,268,0,5.057753660331343e-10,0.0,,5.040665107536313e-10,161,1,1,same_source_cyclic_next_latent,True
mixed_transfer,depablo_mixed_temp,268,1,2.6431034712004475e-05,2.6434969186084345e-05,0.00014883596240167218,2.6430941943544894e-05,161,1,1,same_source_cyclic_next_latent,True
mixed_transfer,depablo_mixed_temp,268,3,4.07489606004674e-05,4.0751743654254824e-05,6.82928762762991e-05,4.074905882589519e-05,161,1,1,same_source_cyclic_next_latent,True
mixed_transfer,depablo_mixed_temp,161,0,6.072499725284786e-10,0.0,,6.091186444123764e-10,268,1,1,same_source_cyclic_next_latent,True
mixed_transfer,depablo_mixed_temp,161,1,1.7048399968189187e-05,1.7047022993210703e-05,-8.077509950177308e-05,1.704675014480017e-05,268,1,1,same_source_cyclic_next_latent,True
mixed_transfer,depablo_mixed_temp,161,3,1.7526837837067433e-05,1.753103242663201e-05,0.0002392665453179177,1.7526264855405316e-05,268,1,1,same_source_cyclic_next_latent,True
