split,source,frame,transfer_only,networks,valid,total,coordinate_mse,zero_displacement_mse,explained_displacement_score,shuffled_same_source_coordinate_mse
mixed_transfer,depablo_mixed_temp,0,True,2,2,2,5.565126692808064e-10,0.0,,5.565925775830038e-10
mixed_transfer,depablo_mixed_temp,1,True,2,2,2,2.173971734009683e-05,2.1740996089647524e-05,3.403043144994955e-05,2.1738846044172533e-05
mixed_transfer,depablo_mixed_temp,3,True,2,2,2,2.9137899218767416e-05,2.9141388040443417e-05,0.0001537797107971084,2.9137661840650253e-05
train,depablo_low_temp,0,False,2,2,2,5.417740700508489e-10,0.0,,5.417673532015499e-10
train,depablo_low_temp,1,False,2,2,2,4.792101160333573e-09,3.999188091796668e-09,-0.19846094721402507,4.791832042272404e-09
train,depablo_low_temp,3,False,2,2,2,3.689906336035165e-08,3.5567428113836286e-08,-0.037452736925771224,3.689626382197275e-08
train,lj_noisy,0,False,2,2,2,8.97734976634812e-11,0.0,,8.977229029594191e-11
train,lj_noisy,1,False,2,2,2,3.6816362181113504e-09,3.355921429637476e-09,-0.09790237447313233,3.6814573611820833e-09
train,lj_noisy,3,False,2,2,2,3.403223836073721e-08,3.3227172124838944e-08,-0.024264677359224773,3.4031780060672645e-08
train,reid,0,False,2,2,2,4.283956522854737e-10,0.0,,4.2839219671630957e-10
train,reid,1,False,2,2,2,4.573432743626427e-09,3.891990729698591e-09,-0.1753862270167672,4.5734180886825015e-09
train,reid,3,False,2,2,2,3.7150288179077506e-08,3.591311603656777e-08,-0.034740073767810964,3.715120477920664e-08
validation,depablo_low_temp,0,False,2,2,2,6.16285550369966e-10,0.0,,6.16339063119753e-10
validation,depablo_low_temp,1,False,2,2,2,4.835971623151636e-09,4.117647556256543e-09,-0.174089172630427,4.835889466647814e-09
validation,depablo_low_temp,3,False,2,2,2,3.798883163597111e-08,3.7066380187411596e-08,-0.02474970566089929,3.798889736117417e-08
validation,lj_noisy,0,False,2,2,2,1.0237493144882315e-10,0.0,,1.0236317696254993e-10
validation,lj_noisy,1,False,2,2,2,3.459604047684195e-09,3.1689240120869044e-09,-0.09251148442594181,3.4596107090223427e-09
validation,lj_noisy,3,False,2,2,2,3.4086488298612494e-08,3.337553877713617e-08,-0.02109299042292767,3.408649362768301e-08
validation,reid,0,False,2,2,2,4.4833405044020225e-10,0.0,,4.4835624102290694e-10
validation,reid,1,False,2,2,2,4.542226594850263e-09,3.8913590127975795e-09,-0.16717885260071963,4.5421681971191674e-09
validation,reid,3,False,2,2,2,3.8180509420726594e-08,3.706975348904962e-08,-0.029849569968558143,3.817980243070451e-08
