variant,split,frame,evaluations,unique_networks,seeds,valid,coordinate_mse,true_nonaffine_energy,predicted_nonaffine_energy,nonaffine_error,affine_error,residual_cosine,nonaffine_error_share,predicted_true_energy_ratio
ljonly_r16_d4,train,25,15,5,3,15,5.750284761537235e-07,3.051739412285314e-07,1.4321432928454664e-07,2.9882713098080174e-07,2.7620137323935976e-07,0.36761070092519077,0.519673622043225,0.46928754371363474
ljonly_r16_d4,train,100,15,5,3,15,8.47501708752437e-06,7.936719248391455e-06,1.476298181538974e-06,7.4458505878283175e-06,1.0291665944350823e-06,0.2945257961750025,0.8785646696558247,0.18600861833914276
ljonly_r16_d4,train,199,15,5,3,15,3.7623646494466815e-05,3.391524660401046e-05,4.43395307835696e-06,3.253731095658926e-05,5.086336614112952e-06,0.24401557842890367,0.8648101390537574,0.1307362771123901
ljonly_r16_d4,validation,25,60,20,3,60,5.428179524831952e-07,3.0661506471574286e-07,1.3470480612435643e-07,2.7917792451148664e-07,2.636399725197691e-07,0.3995842431982354,0.5143122537387516,0.4393287272079692
ljonly_r16_d4,validation,100,60,20,3,60,8.082652031286366e-06,8.264464281637628e-06,1.363475828952687e-06,7.320557892853685e-06,7.6209400023212e-07,0.3392729818820949,0.9057123657578274,0.1649805459238442
ljonly_r16_d4,validation,199,60,20,3,60,4.066128006646371e-05,3.977474307248485e-05,4.9019827959758304e-06,3.661130504042376e-05,4.049974722875049e-06,0.2899023938924069,0.9003972570607718,0.12324360680451249
mp2_r16_d8,train,25,15,5,3,15,3.138558440696215e-07,3.051739412285314e-07,7.871390247752667e-08,2.7388915289823976e-07,3.996669987553029e-08,0.3640896141529079,0.8726590824209217,0.25793127080461065
mp2_r16_d8,train,100,15,5,3,15,7.415602734302714e-06,7.936719248391455e-06,1.0498025972083268e-06,7.211932491676029e-06,2.0367037999828118e-07,0.31403854688008576,0.9725349037800315,0.13227160547742592
mp2_r16_d8,train,199,15,5,3,15,3.313331314226768e-05,3.391524660401046e-05,4.366498994083183e-06,3.152261306240689e-05,1.6107017131616883e-06,0.2827516227960581,0.9513872919093611,0.1287473756291911
mp2_r16_d8,validation,25,60,20,3,60,3.003841951472926e-07,3.0661506471574286e-07,7.314129574590802e-08,2.5986335145944394e-07,4.0520850356588286e-08,0.39919101595878553,0.8651032765955633,0.23854436445813892
mp2_r16_d8,validation,100,60,20,3,60,7.4670476806204525e-06,8.264464281637628e-06,1.3122560825233144e-06,7.0934717427917345e-06,3.7357599106021166e-07,0.3627200131614998,0.9499700612869695,0.1587829577095452
mp2_r16_d8,validation,199,60,20,3,60,3.768833369880061e-05,3.9774743133117836e-05,5.593293021396069e-06,3.549057516162672e-05,2.197758698585517e-06,0.3159221072991684,0.9416859722497143,0.14062423992724413
r16_d4,train,25,15,5,3,15,3.7090715352405825e-07,3.051739412285314e-07,1.1137486950474338e-07,2.9516230976393363e-07,7.574484524042191e-08,0.3365703980127966,0.795784893765303,0.36495537284862606
r16_d4,train,100,15,5,3,15,8.047392536051726e-06,7.936719248391455e-06,1.2659751140139023e-06,7.423358116890692e-06,6.240339208337294e-07,0.28941683669884966,0.9224550789133988,0.15950861740138775
r16_d4,train,199,15,5,3,15,3.504154058949401e-05,3.391524660401046e-05,4.568113899949821e-06,3.2458232817589304e-05,2.5833084540257306e-06,0.24630007843176488,0.9262787044049307,0.13469204435652382
r16_d4,validation,25,60,20,3,60,4.217906450776354e-07,3.0661506471574286e-07,1.0644924905989226e-07,2.790708608794526e-07,1.4271978856505996e-07,0.3707345159103469,0.6616335950933345,0.3471755347656495
r16_d4,validation,100,60,20,3,60,7.831102864959879e-06,8.264464281637628e-06,1.1427505635689762e-06,7.3017218028326165e-06,5.293809717699105e-07,0.33909301906824063,0.9324001904641085,0.13827279356848243
r16_d4,validation,199,60,20,3,60,3.929536308836153e-05,3.977474310280134e-05,4.399143176669895e-06,3.67455228115432e-05,2.549840630668617e-06,0.28343405164778185,0.93511091191384,0.11060142274960572
