experiment,scope,budget,source,probe,seeds,r2_mean,r2_std
latent_low_data,shared3,one_trajectory,depablo_low_temp,constant,3,-0.0225933853861557,0.0
latent_low_data,shared3,one_trajectory,depablo_low_temp,initial_pc1,3,0.978061389449809,0.0062997308564584475
latent_low_data,shared3,one_trajectory,depablo_low_temp,initial_z,3,0.9790051679788866,0.00625073839247517
latent_low_data,shared3,one_trajectory,depablo_low_temp,observed_prefix,3,0.9766129788077227,0.0066472389560800985
latent_low_data,shared3,one_trajectory,depablo_mixed_temp,constant,3,-0.0257357943474008,0.0
latent_low_data,shared3,one_trajectory,depablo_mixed_temp,initial_pc1,3,0.9362115352733507,0.013608215008185529
latent_low_data,shared3,one_trajectory,depablo_mixed_temp,initial_z,3,0.9335962099226979,0.01514952761287673
latent_low_data,shared3,one_trajectory,depablo_mixed_temp,observed_prefix,3,0.9088965904977485,0.026298564996176985
latent_low_data,shared3,one_trajectory,reid,constant,3,-0.09034610605757849,0.0
latent_low_data,shared3,one_trajectory,reid,initial_pc1,3,0.33322411777837013,0.5115757278956056
latent_low_data,shared3,one_trajectory,reid,initial_z,3,0.410746373177964,0.4450210139755116
latent_low_data,shared3,one_trajectory,reid,observed_prefix,3,0.9403117539667701,0.010757375664888434
latent_low_data,shared3,thirty_trajectories,depablo_low_temp,constant,3,-0.0225933853861557,0.0
latent_low_data,shared3,thirty_trajectories,depablo_low_temp,initial_pc1,3,-0.028482864840507934,0.01170722981694596
latent_low_data,shared3,thirty_trajectories,depablo_low_temp,initial_z,3,0.10845968242217437,0.17017124170498615
latent_low_data,shared3,thirty_trajectories,depablo_low_temp,observed_prefix,3,0.9707273785803464,0.011202348909985232
latent_low_data,shared3,thirty_trajectories,depablo_mixed_temp,constant,3,-0.0257357943474008,0.0
latent_low_data,shared3,thirty_trajectories,depablo_mixed_temp,initial_pc1,3,-0.02247100934237947,0.02158111307329031
latent_low_data,shared3,thirty_trajectories,depablo_mixed_temp,initial_z,3,0.17318916039030122,0.2655072528330236
latent_low_data,shared3,thirty_trajectories,depablo_mixed_temp,observed_prefix,3,-0.5736419849296749,1.30398750528345
latent_low_data,shared3,thirty_trajectories,reid,constant,3,-0.09034610605757849,0.0
latent_low_data,shared3,thirty_trajectories,reid,initial_pc1,3,0.07099930706022174,0.04612317395283021
latent_low_data,shared3,thirty_trajectories,reid,initial_z,3,0.08036460002830044,0.08225478649414728
latent_low_data,shared3,thirty_trajectories,reid,observed_prefix,3,0.9396395234533577,0.01264279654979068
latent_low_data,shared4,one_trajectory,depablo_low_temp,constant,3,-0.0225933853861557,0.0
latent_low_data,shared4,one_trajectory,depablo_low_temp,initial_pc1,3,0.7846123242309169,0.13718780143189976
latent_low_data,shared4,one_trajectory,depablo_low_temp,initial_z,3,0.873262363119998,0.045280510202965474
latent_low_data,shared4,one_trajectory,depablo_low_temp,observed_prefix,3,0.9248223166337329,0.05025609006727286
latent_low_data,shared4,one_trajectory,depablo_mixed_temp,constant,3,-0.0257357943474008,0.0
latent_low_data,shared4,one_trajectory,depablo_mixed_temp,initial_pc1,3,0.7736491483308642,0.11175943915317614
