experiment,scope,source,frame,seeds,r2_mean,r2_std
latent_low_data,shared3,depablo_low_temp,0,3,,
latent_low_data,shared3,depablo_low_temp,10,3,-0.07287914208163719,0.06855923712769972
latent_low_data,shared3,depablo_low_temp,50,3,-0.16410722405370687,0.058854074811064805
latent_low_data,shared3,depablo_low_temp,100,3,-0.19381294259865714,0.05984707121281503
latent_low_data,shared3,depablo_mixed_temp,0,3,,
latent_low_data,shared3,depablo_mixed_temp,10,3,-0.008370127549215999,0.03864736239159242
latent_low_data,shared3,depablo_mixed_temp,50,3,-0.07461147709449006,0.049504371319673925
latent_low_data,shared3,depablo_mixed_temp,100,3,-0.12223430491624432,0.07792448519494277
latent_low_data,shared3,reid,0,3,,
latent_low_data,shared3,reid,10,3,-0.0652991435672855,0.07429745270593996
latent_low_data,shared3,reid,50,3,0.18772172336178447,0.02156393852867475
latent_low_data,shared3,reid,100,3,0.0018287421258457726,0.21741070272432786
latent_low_data,shared4,depablo_low_temp,0,3,,
latent_low_data,shared4,depablo_low_temp,10,3,-0.10846046500171413,0.063821958125863
latent_low_data,shared4,depablo_low_temp,50,3,-0.18417480115472215,0.06189705882895791
latent_low_data,shared4,depablo_low_temp,100,3,-0.20246060581825906,0.055842025718036904
latent_low_data,shared4,depablo_mixed_temp,0,3,,
latent_low_data,shared4,depablo_mixed_temp,10,3,-0.014788599785357565,0.012492596293984623
latent_low_data,shared4,depablo_mixed_temp,50,3,-0.06137846923915033,0.03716520469697486
latent_low_data,shared4,depablo_mixed_temp,100,3,-0.11121466936384233,0.025483090067754736
latent_low_data,shared4,lj_noisy,0,3,,
latent_low_data,shared4,lj_noisy,10,3,-30.853144086690985,18.373547568444145
latent_low_data,shared4,lj_noisy,50,3,-15.697440191304354,7.783687697617349
latent_low_data,shared4,lj_noisy,100,3,-15.796928822662352,5.7803925652899295
latent_low_data,shared4,reid,0,3,,
latent_low_data,shared4,reid,10,3,0.010381228824365133,0.00861375154661941
latent_low_data,shared4,reid,50,3,0.016932367294114667,0.07840570951039427
latent_low_data,shared4,reid,100,3,0.0261213243685188,0.11840965513989692
latent_low_data_update_matched,shared3,depablo_low_temp,0,3,,
latent_low_data_update_matched,shared3,depablo_low_temp,10,3,-0.40243865410298146,0.15718440485063953
latent_low_data_update_matched,shared3,depablo_low_temp,50,3,-0.3733902413716395,0.09147467076062542
latent_low_data_update_matched,shared3,depablo_low_temp,100,3,-0.363728554860501,0.06967087897338936
latent_low_data_update_matched,shared3,depablo_mixed_temp,0,3,,
latent_low_data_update_matched,shared3,depablo_mixed_temp,10,3,-0.18031223383649161,0.12207693141077759
latent_low_data_update_matched,shared3,depablo_mixed_temp,50,3,-0.2627370077268833,0.1110587368883276
latent_low_data_update_matched,shared3,depablo_mixed_temp,100,3,-0.2707499811743625,0.0943563591846668
latent_low_data_update_matched,shared3,reid,0,3,,
latent_low_data_update_matched,shared3,reid,10,3,-0.5226107523748122,0.23637532739426542
latent_low_data_update_matched,shared3,reid,50,3,0.11312116742760699,0.15073827076043042
latent_low_data_update_matched,shared3,reid,100,3,-0.5302994792643626,0.4184224314607115
latent_low_data_update_matched,shared4,depablo_low_temp,0,3,,
latent_low_data_update_matched,shared4,depablo_low_temp,10,3,-0.6599615046282201,0.12996322478094943
latent_low_data_update_matched,shared4,depablo_low_temp,50,3,-0.5810128749859054,0.03461994875410019
latent_low_data_update_matched,shared4,depablo_low_temp,100,3,-0.5991227068425852,0.03670762409711116
latent_low_data_update_matched,shared4,depablo_mixed_temp,0,3,,
latent_low_data_update_matched,shared4,depablo_mixed_temp,10,3,-0.23648923679482883,0.05184134731452948
latent_low_data_update_matched,shared4,depablo_mixed_temp,50,3,-0.4036765937957843,0.05637572020593226
latent_low_data_update_matched,shared4,depablo_mixed_temp,100,3,-0.520183605810399,0.07753728533206364
latent_low_data_update_matched,shared4,lj_noisy,0,3,,
latent_low_data_update_matched,shared4,lj_noisy,10,3,-5.409723172526477,1.5321125417552117
latent_low_data_update_matched,shared4,lj_noisy,50,3,-0.7510744088181985,0.43161034354540134
latent_low_data_update_matched,shared4,lj_noisy,100,3,-1.7123632809692555,0.15659853886670128
latent_low_data_update_matched,shared4,reid,0,3,,
latent_low_data_update_matched,shared4,reid,10,3,-0.31750648158797407,0.08844787414857586
latent_low_data_update_matched,shared4,reid,50,3,0.2415952116377236,0.04534133575112497
latent_low_data_update_matched,shared4,reid,100,3,-0.40283894593342334,0.27024698831626864
