source,frame,control,total,position_mse,x_mse,y_mse,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,legacy_valid,legacy_true_valid,legacy_p_ratio_r2,legacy_p_ratio_mae,legacy_target_variance,strain_x_mae,strain_y_mae,experiment,scope,seed
depablo_low_temp,0,ae,20,4.844934062475659e-06,9.397266478572418e-06,2.926013038972997e-07,0,0,,,,0,0,,,,0.0051973127,0.00050717517,latent_low_data,shared3,123
depablo_low_temp,10,ae,20,3.083461149344657e-06,5.797795438411413e-06,3.691268609884446e-07,20,20,-0.1514661036860085,0.2854403320234269,0.0884626710061093,20,20,-0.1516789132634506,0.2865390101966621,0.0890919672458267,0.0040338333,0.00058801327,latent_low_data,shared3,123
depablo_low_temp,50,ae,20,2.261930798397316e-06,1.0279289327286278e-06,3.4959327024353115e-06,20,20,-0.2312115378122159,0.3470953352749347,0.1210184505747164,20,20,-0.2315346995049962,0.3484384872992813,0.121923909291221,0.0008561383,0.0026312089,latent_low_data,shared3,123
depablo_low_temp,100,ae,20,1.327658832224188e-05,1.1998655872957898e-05,1.455452116942979e-05,20,20,-0.262334976564178,0.3731948455710153,0.1299516855584822,20,20,-0.2626165102178124,0.3746078781370953,0.1309363081666797,0.004863727,0.0054854346,latent_low_data,shared3,123
depablo_mixed_temp,0,ae,20,4.934358582886489e-06,9.5774878445809e-06,2.912293943779787e-07,0,0,,,,0,0,,,,0.005240557,0.00053046935,latent_low_data,shared3,123
depablo_mixed_temp,10,ae,20,1.8518235020792417e-05,1.9635233093140412e-05,1.7401237853675867e-05,20,20,-0.1798120210092073,0.9979429199360312,3.0043239701009563,20,20,-0.0502593788300911,0.3773634489022722,0.1792210970466572,0.0036289853,0.0010400023,latent_low_data,shared3,123
depablo_mixed_temp,50,ae,20,1.874313459637733e-05,1.625848923652029e-05,2.1227781155630508e-05,20,20,-0.12876489410092,0.3212072486290708,0.1274876421800012,20,20,-0.1308690045704836,0.3228601527387261,0.1290510646927359,0.0011915539,0.002381562,latent_low_data,shared3,123
depablo_mixed_temp,100,ae,20,3.125713516283213e-05,3.0158788399603508e-05,3.235548277871203e-05,20,20,-0.2084898539824398,0.3434333469143894,0.1249158133632106,20,20,-0.210147426452973,0.3451773438282857,0.1264354805514444,0.0051922826,0.0049983296,latent_low_data,shared3,123
reid,0,ae,20,2.6504630284307497e-06,5.179584286452155e-06,1.2134180167322485e-07,0,0,,,,0,0,,,,0.003918535,0.00033743758,latent_low_data,shared3,123
reid,10,ae,20,1.4972362578191678e-06,2.8420384296623523e-06,1.5243411510823537e-07,20,20,-0.0356295946331326,0.1457194935996085,0.0283570467788776,20,20,-0.0354413578952681,0.1456805775764488,0.0283466184553629,0.0028545118,0.0003321003,latent_low_data,shared3,123
reid,50,ae,20,2.01222139253332e-06,2.6760452556118253e-06,1.3483974399264298e-06,20,20,0.1731582557301684,0.151570277812425,0.0367468043569681,20,20,0.1730742394347171,0.1516114447327571,0.03674579830514,0.00091853645,0.0011355786,latent_low_data,shared3,123
reid,100,ae,20,1.1105496105301426e-05,1.5400709480672957e-05,6.8102824684501685e-06,20,20,-0.2486235528917535,0.1721537926234305,0.0392620598956476,20,20,-0.2492023312773574,0.1721637260579904,0.0392619338029476,0.0026885862,0.0023093498,latent_low_data,shared3,123
depablo_low_temp,0,ae,20,4.192147019921322e-06,8.130791599114673e-06,2.535022030514256e-07,0,0,,,,0,0,,,,0.0046896366,0.00043599206,latent_low_data,shared3,456
depablo_low_temp,10,ae,20,2.799698879130119e-06,5.270996018680307e-06,3.2840154240432184e-07,20,20,-0.0265027956018577,0.2663023067172617,0.0884626710061093,20,20,-0.0268977641217804,0.267358494989853,0.0890919672458267,0.003609548,0.00053454406,latent_low_data,shared3,456
depablo_low_temp,50,ae,20,2.5321126599919808e-06,1.705417685116117e-06,3.3588075865509383e-06,20,20,-0.1225834500765263,0.3319579287432134,0.1210184505747164,20,20,-0.1230481621306054,0.3332489831433327,0.121923909291221,0.0014943943,0.0025764755,latent_low_data,shared3,456
