epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_depablo_mixed_temp_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_depablo_mixed_temp_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_reid_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.9765111923217773,1.4649751431063602,0.9916057765483857,0.5609070926904678,1.5744895696640016,0.7941369339823723,0.9765111987789471,1.5744895696640016,1.6266136818810513,2.8337240645759985,0.8893682295554562,0.6718331226392796,1.4649751389235781,2.8337240645759985,shared3,2,normalized_delta,128
2,0.9526463270187377,1.438821053504944,0.9659116923809051,0.530335447192192,1.5175019264221192,0.8101016104221344,0.9526463280121487,1.5175019264221192,1.5997904492051978,2.8077738981497915,0.8614395490602443,0.6472496960508196,1.4388210477536185,2.8077738981497915,shared3,2,normalized_delta,128
3,0.923020339012146,1.4052102333620975,0.9345687627792358,0.5062673658132553,1.4970417261123656,0.7657518774271012,0.9230203231175739,1.4970417261123656,1.5654293267350448,2.775047312912188,0.825126814293234,0.6154565678615319,1.4052102316889847,2.775047312912188,shared3,2,normalized_delta,128
4,0.8983291506767273,1.3579916204276838,0.9121731460094452,0.4734148010611534,1.4772420406341553,0.7443305850028992,0.8983291422327359,1.4772420406341553,1.5175205174245332,2.7300990487399854,0.773910066014842,0.5699657482536216,1.3579916210028162,2.7300990487399854,shared3,2,normalized_delta,128
5,0.8307222187519073,1.2857500913896058,0.8440987586975097,0.4019838273525238,1.3977812647819519,0.692401596903801,0.8307222296794256,1.3977812647819519,1.4456125780155784,2.66466037599664,0.695630191148896,0.49695971106228076,1.2857500927359389,2.66466037599664,shared3,2,normalized_delta,128
6,0.7351544380187989,1.2003062812905563,0.7458528578281403,0.3055509090423584,1.2945920944213867,0.6053203195333481,0.735154440999031,1.2945920944213867,1.3729217027363023,2.6193784368665596,0.6040835037827492,0.37745690839855295,1.2003062830159539,2.6193784368665596,shared3,2,normalized_delta,128
7,0.6719829797744751,1.2030487132699865,0.6864996373653411,0.233558489382267,1.2584686875343323,0.5239217579364777,0.671982978284359,1.2584686875343323,1.3795066987213336,2.6297324877036243,0.6095508729940966,0.3698627761320064,1.2030487122765758,2.6297324877036243,shared3,2,normalized_delta,128
8,0.6698077261447907,1.1894884614568009,0.6810346424579621,0.22371444404125213,1.2487197875976563,0.5369889438152313,0.66980772515138,1.2487197875976563,1.3592724897359547,2.5989314869830484,0.5963389461762026,0.37319495991656654,1.189488464358606,2.5989314869830484,shared3,2,normalized_delta,128
9,0.6545725047588349,1.2015321311197782,0.6662766098976135,0.2154479056596756,1.2339941620826722,0.5142754375934601,0.6545725017786026,1.2339941620826722,1.3787936549437674,2.62748409697884,0.6083645071638258,0.36874777611933257,1.2015321267539996,2.62748409697884,shared3,2,normalized_delta,128
10,0.6488171696662903,1.19320692137668,0.6639113664627075,0.20800968408584594,1.2482502460479736,0.49019154608249665,0.648817158738772,1.2482502460479736,1.3688194299999037,2.616574400349667,0.5993008852789277,0.3637454686196227,1.1932069180827394,2.616574400349667,shared3,2,normalized_delta,128
11,0.6340090215206147,1.188605985515996,0.6502416610717774,0.2002563253045082,1.2472698926925658,0.45450085401535034,0.6340090240041415,1.2472698926925658,1.361945866911035,2.602020546637083,0.5923589790337964,0.37143841676021877,1.1886059808103662,2.602020546637083,shared3,2,normalized_delta,128
12,0.6158698260784149,1.1849798974237944,0.6335538268089295,0.20009078830480576,1.228636884689331,0.41888178288936617,0.6158698186278343,1.228636884689331,1.3585970894286508,2.599758089216132,0.5880688886109151,0.3671127000137379,1.184979892613595,2.599758089216132,shared3,2,normalized_delta,128
13,0.6030135214328766,1.1766253076101605,0.6219088613986969,0.1856992818415165,1.2249850034713745,0.3983562827110291,0.6030135226746399,1.2249850034713745,1.3490780513537557,2.5872511819789286,0.5808103473562943,0.36181440965125433,1.1766253129954924,2.5872511819789286,shared3,2,normalized_delta,128
14,0.5841255962848664,1.1654242515563964,0.604153823852539,0.1728284016251564,1.2179614186286927,0.3615869522094727,0.5841255908211073,1.2179614186286927,1.33754769312708,2.576712125226071,0.5753369319595789,0.3442236922289196,1.1654242498048564,2.576712125226071,shared3,2,normalized_delta,128
15,0.5693223714828491,1.1567626837052798,0.589708286523819,0.1724453665316105,1.1898696660995483,0.34565207213163374,0.5693223682542642,1.1898696660995483,1.3289645612239838,2.567130501019327,0.5737463512702992,0.3294112146684998,1.1567626889860418,2.567130501019327,shared3,2,normalized_delta,128
16,0.5456004619598389,1.1527476778155878,0.5660983562469483,0.15368259847164153,1.1599039614200592,0.32321478724479674,0.5456004490454992,1.1599039614200592,1.3251850862252086,2.5623069556135882,0.5732725504197572,0.32266352796240855,1.1527476779985846,2.5623069556135882,shared3,2,normalized_delta,128
