source,probe,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance
depablo_low_temp,constant,20,20,20,-0.02259338538615574,0.34299813620176817,0.1309363081666797
depablo_low_temp,initial_pc1,20,20,20,0.9733114608397269,0.04799976630792106,0.1309363081666797
depablo_low_temp,initial_z,20,20,20,0.9742044818199211,0.047805630454057724,0.1309363081666797
depablo_low_temp,observed_prefix,20,20,20,0.9699831938702507,0.05353570774829882,0.1309363081666797
depablo_mixed_temp,constant,20,20,20,-0.02573579434740081,0.3235672229246395,0.12643548055144446
depablo_mixed_temp,initial_pc1,20,20,20,0.9248958878087798,0.07953973175490986,0.12643548055144446
depablo_mixed_temp,initial_z,20,20,20,0.9209274785147078,0.08146837683903893,0.12643548055144446
depablo_mixed_temp,observed_prefix,20,20,20,0.9362183412980408,0.06927718840264892,0.12643548055144446
reid,constant,20,20,20,-0.09034610605757853,0.17800487846322086,0.039261933802947645
reid,initial_pc1,20,20,20,0.18868808562179418,0.1488020707682564,0.039261933802947645
reid,initial_z,20,20,20,0.28789229778582626,0.13915493376693372,0.039261933802947645
reid,observed_prefix,20,20,20,0.9300263193249403,0.04614829489156701,0.039261933802947645
