epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_depablo_mixed_temp_reconstruction,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_lj_noisy_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_reid_reconstruction,val_source_depablo_mixed_temp_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.9956683424802927,1.4410791312281794,0.9876232834962698,0.6104400845674368,1.6615197108342097,0.7988616892924676,0.9118518485472753,0.9956683333103473,1.6615197108342097,1.586145003793739,1.044329949533162,0.9585517130188438,0.7172572057650023,3.044177666954372,1.441079133817845,3.044177666954372,shared4,2,normalized_delta,128
2,0.9589068476970379,1.397424484665686,0.9497597355108994,0.5932549352829273,1.622517310656034,0.7452712586292853,0.8745838770499597,0.9589068454045515,1.622517310656034,1.5417481078931936,0.9964685236608146,0.9154850920596024,0.6759442797468114,3.001800001138755,1.3974244741514958,3.001800001138755,shared4,2,normalized_delta,128
3,0.911518394947052,1.3289253904885454,0.9018405630038335,0.5118294404103205,1.5710829404684215,0.7120652439502569,0.851095933180589,0.911518389502397,1.5710829404684215,1.471938697010161,0.9359918915714495,0.8412313629236263,0.6059165101483641,2.932561798764783,1.3289253908520557,2.932561798764783,shared4,2,normalized_delta,128
4,0.8062850741239694,1.1853868305211952,0.7990380433889536,0.39290836453437805,1.4526090255150428,0.6385233723200284,0.7410995066165924,0.8062850672465104,1.4526090255150428,1.3331519249870842,0.8574898304793204,0.6698042491796931,0.41294667210150143,2.8013065608122605,1.1853868281431938,2.8013065608122605,shared4,2,normalized_delta,128
5,0.7081702672518216,1.178411307306629,0.7058513347919171,0.2603129114095981,1.3433463665155263,0.6003551391454843,0.6286666851777297,0.7081702755620846,1.3433463665155263,1.332059138966172,0.8043336748281722,0.6809856029956237,0.401191782839449,2.8271341641901038,1.1784113062133372,2.8271341641901038,shared4,2,normalized_delta,128
6,0.6816585614131048,1.1656005004413514,0.677217070872967,0.25274472740980297,1.3067877292633057,0.5531868384434626,0.6139149574133066,0.6816585631324695,1.3067877292633057,1.3225375330259677,0.7558111941861541,0.6850320589636626,0.3909587459896393,2.8305999978257734,1.1656004992413074,2.8305999978257734,shared4,2,normalized_delta,128
7,0.6663807722238394,1.1519386116930619,0.6611364896480854,0.24461164955909437,1.3036466561830962,0.5224563823296473,0.5948084065547357,0.6663807736566434,1.3036466561830962,1.3096395151417246,0.716551975387594,0.6834183715195524,0.3848027853449814,2.822981308924822,1.1519386102942375,2.822981308924822,shared4,2,normalized_delta,128
8,0.6515795726042527,1.1382406987691585,0.6440467238426208,0.24221970370182624,1.2912263778539805,0.48288815869734836,0.5899840822586646,0.651579580627955,1.2912263778539805,1.2953756061702848,0.6828386680234091,0.677702776822648,0.37995960336664447,2.812461746539994,1.138240698688174,2.812461746539994,shared4,2,normalized_delta,128
9,0.6270331075558295,1.1341016726060347,0.6203088920850021,0.23609864253264207,1.2766497089312627,0.4509548837175736,0.5444291738363413,0.627033102254455,1.2766497089312627,1.2950280984871,0.6390021746102058,0.6864912479880299,0.38405845446784503,2.826854799693752,1.1341016691899584,2.826854799693752,shared4,2,normalized_delta,128
10,0.6060953644605783,1.1058264128539874,0.6009908249745002,0.21983286165274107,1.288279414176941,0.42464601535063523,0.4916231380059169,0.6060953572965585,1.288279414176941,1.2629341358252666,0.6060845969104955,0.6702022464732408,0.35587318980764493,2.7911456238493146,1.1058264142601741,2.7911456238493146,shared4,2,normalized_delta,128
11,0.5704117371485784,1.1092664847967653,0.5679111549487481,0.2162416439789992,1.2752494353514452,0.38278660636681777,0.4073693259404256,0.5704117529094219,1.2752494353514452,1.2690768369101724,0.5465603261420378,0.6938323868298719,0.37283232434111624,2.823840910090288,1.1092664868508284,2.823840910090288,shared4,2,normalized_delta,128
12,0.5422812264699203,1.1115338173308391,0.5416483879089355,0.22332588927103922,1.2539923924666185,0.3488729859773929,0.34293363759150874,0.5422812263266399,1.2539923924666185,1.2737145966927526,0.5041910145475931,0.7296404788793311,0.38704081418603775,2.8252629489884544,1.1115338141503541,2.8252629489884544,shared4,2,normalized_delta,128
13,0.5274217403852023,1.1134998203501871,0.5254874068957108,0.2314895150753168,1.2229198400790875,0.3206970485357138,0.33458056358190685,0.5274217418180062,1.2229198400790875,1.2758030469709705,0.48257922607919446,0.7298190570749313,0.4204540483270709,2.8211469464151286,1.1134998194740813,2.8211469464151286,shared4,2,normalized_delta,128
14,0.5122905465272757,1.091326198441238,0.5105608976804293,0.20269190462735984,1.2085358087833111,0.3133471206976817,0.3245873898267746,0.5122905559837818,1.2085358087833111,1.254349117104715,0.4811830646376836,0.704229193360438,0.373874282147809,2.8060182533245315,1.0913261983676155,2.8060182533245315,shared4,2,normalized_delta,128
15,0.5032103176300342,1.089617265660772,0.5023759741049546,0.18742478810823882,1.2053742775550256,0.3113075953263503,0.3087346164079813,0.503210319349399,1.2053742775550256,1.252764424198701,0.4739195476525386,0.6937075093270761,0.3802211237813644,2.810620894015071,1.0896172686940124,2.810620894015071,shared4,2,normalized_delta,128
16,0.4910615292879251,1.082245117826424,0.48958110350828904,0.17428016949158448,1.1870995576565082,0.29758932613409483,0.3052771045611455,0.49106153946083325,1.1870995576565082,1.246921735789936,0.46399926785895007,0.6912666748281524,0.3559480284454794,2.8177665142202564,1.0822451213382096,2.8177665142202564,shared4,2,normalized_delta,128
17,0.4823846931640918,1.078688412551352,0.48044204024168163,0.16710100380273965,1.172726108477666,0.28735965948838454,0.3023519882789025,0.48238469001192313,1.172726108477666,1.2437087325710552,0.4569436722239958,0.6878023856124388,0.34988566909147345,2.820121922335135,1.0786884123157607,2.820121922335135,shared4,2,normalized_delta,128
18,0.4743267183120434,1.0802169371499375,0.47237515449523926,0.15429729108627027,1.168134400477776,0.27984702701752,0.29502816383655256,0.47432672060452974,1.168134400477776,1.2443001250268912,0.4521906172687357,0.6853380596095865,0.36356541873673676,2.819773642854257,1.080216934617329,2.819773642854257,shared4,2,normalized_delta,128
