source,coordinate,n,pearson,spearman
depablo_low_temp,z0_0,20,-0.9170058233670665,-0.9097744360902256
depablo_low_temp,z0_1,20,-0.3452061092434924,-0.38195488721804516
depablo_low_temp,pc1,20,-0.9156408823786938,-0.9097744360902256
depablo_mixed_temp,z0_0,20,-0.8933816317559915,-0.8917293233082706
depablo_mixed_temp,z0_1,20,-0.33695657162944714,-0.30225563909774433
depablo_mixed_temp,pc1,20,-0.8920473936688448,-0.8917293233082706
lj_noisy,z0_0,20,-0.0006212251246496525,0.09323308270676692
lj_noisy,z0_1,20,0.09492351813345877,0.156390977443609
lj_noisy,pc1,20,0.0005859721270880444,0.09323308270676692
reid,z0_0,20,-0.9465914547101502,-0.9338345864661652
reid,z0_1,20,0.8312653892676664,0.7624060150375939
reid,pc1,20,-0.9461239980992144,-0.9338345864661652
