source,split,index,original_index,target,z0_0,z0_1,z1_0,z1_1,z5_0,z5_1
reid,calibration,1,45,-0.232251246533386,-2.8201730251312256,-4.262208938598633,-2.821054697036743,-4.264151096343994,-2.825479030609131,-4.2739338874816895
reid,calibration,2,43,0.34530588309025634,-2.7458300590515137,-4.144530773162842,-2.7464189529418945,-4.145899295806885,-2.748697280883789,-4.151167869567871
reid,calibration,3,73,0.3546914498807752,-2.757873773574829,-4.159707546234131,-2.758544921875,-4.161157131195068,-2.761108875274658,-4.166691303253174
reid,calibration,4,85,-0.04034466635495291,-2.7965879440307617,-4.226226329803467,-2.797370195388794,-4.228010654449463,-2.8008105754852295,-4.2358622550964355
reid,calibration,5,22,-0.41202700293673356,-2.8321101665496826,-4.277449131011963,-2.8328537940979004,-4.279160499572754,-2.836787462234497,-4.288388252258301
reid,calibration,6,47,-0.2000712201151801,-2.816218852996826,-4.256472110748291,-2.816957950592041,-4.2581939697265625,-2.820443868637085,-4.2663116455078125
reid,calibration,7,27,-0.16419202194022636,-2.823535680770874,-4.265974044799805,-2.8242223262786865,-4.26760721206665,-2.8274271488189697,-4.275264263153076
reid,calibration,8,87,0.27845350203017877,-2.7863523960113525,-4.205915927886963,-2.7871484756469727,-4.207623481750488,-2.790163993835449,-4.214084625244141
reid,calibration,9,67,0.2827574554363437,-2.762202262878418,-4.1707587242126465,-2.7628324031829834,-4.172215938568115,-2.765187978744507,-4.177689075469971
reid,calibration,10,71,0.3225968972047046,-2.745532751083374,-4.144142150878906,-2.7461061477661133,-4.145485877990723,-2.7482919692993164,-4.150607585906982
reid,calibration,11,36,-0.19027884597049458,-2.823605537414551,-4.266171455383301,-2.8245015144348145,-4.268126964569092,-2.8289101123809814,-4.27783727645874
reid,calibration,12,65,0.38860791826309066,-2.747616767883301,-4.147042751312256,-2.748157262802124,-4.148306369781494,-2.7501461505889893,-4.152961254119873
reid,calibration,13,9,-0.058598285749740735,-2.835967779159546,-4.285447597503662,-2.836608409881592,-4.286996841430664,-2.8394651412963867,-4.293981075286865
reid,calibration,14,81,-0.10988731840817481,-2.8165125846862793,-4.256112575531006,-2.8172779083251953,-4.257850170135498,-2.820754051208496,-4.265778064727783
reid,calibration,15,90,0.0028081485416824783,-2.796755075454712,-4.223406791687012,-2.7975263595581055,-4.225123405456543,-2.80077862739563,-4.2323832511901855
reid,calibration,16,68,0.21534159724725252,-2.759711980819702,-4.168100357055664,-2.760336399078369,-4.169602394104004,-2.7627108097076416,-4.175310134887695
reid,calibration,17,21,-0.14768180964121552,-2.8226876258850098,-4.266798973083496,-2.823464870452881,-4.268581390380859,-2.827111005783081,-4.276957988739014
reid,calibration,18,24,-0.1309780478243826,-2.80920672416687,-4.243784427642822,-2.81001353263855,-4.24558687210083,-2.8136351108551025,-4.253694534301758
reid,calibration,19,48,-0.17123836165231263,-2.832767963409424,-4.281420707702637,-2.8334109783172607,-4.282963752746582,-2.8364744186401367,-4.290327548980713
reid,calibration,20,1,0.3378457170934105,-2.7585792541503906,-4.160934925079346,-2.759208917617798,-4.162317752838135,-2.7615537643432617,-4.167459011077881
reid,calibration,21,76,0.18335712828880277,-2.7646830081939697,-4.172499179840088,-2.7654268741607666,-4.174159049987793,-2.7682876586914062,-4.180551052093506
reid,calibration,22,78,0.1293664497277195,-2.787168025970459,-4.210252285003662,-2.787966728210449,-4.212023735046387,-2.791149377822876,-4.219089031219482
reid,calibration,23,72,-0.037977481086243575,-2.8234102725982666,-4.268441200256348,-2.824118137359619,-4.270091533660889,-2.827017068862915,-4.276928424835205
