source,probe,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance
depablo_low_temp,constant,20,20,20,-0.02259338538615574,0.34299813620176817,0.1309363081666797
depablo_low_temp,initial_pc1,20,20,20,0.6644001328477009,0.18434335193441806,0.1309363081666797
depablo_low_temp,initial_z,20,20,20,0.6735432449402587,0.1772380993275731,0.1309363081666797
depablo_low_temp,observed_prefix,20,20,20,0.9850796293196675,0.03491513881813405,0.1309363081666797
depablo_mixed_temp,constant,20,20,20,-0.02573579434740081,0.3235672229246395,0.12643548055144446
depablo_mixed_temp,initial_pc1,20,20,20,0.7119053606580633,0.1541912011225842,0.12643548055144446
depablo_mixed_temp,initial_z,20,20,20,0.693889346299533,0.16226925218932692,0.12643548055144446
depablo_mixed_temp,observed_prefix,20,20,20,0.5869833139276465,0.18084806464580203,0.12643548055144446
lj_noisy,constant,20,20,20,-0.013843335966787329,0.06518608005387856,0.005310082358180217
lj_noisy,initial_pc1,20,20,20,0.01609669344897957,0.06411865470880802,0.005310082358180217
lj_noisy,initial_z,20,20,20,-0.08945040354139588,0.07031706341338288,0.005310082358180217
lj_noisy,observed_prefix,20,20,20,0.30886481844411307,0.04799498076920872,0.005310082358180217
reid,constant,20,20,20,-0.09034610605757853,0.17800487846322086,0.039261933802947645
reid,initial_pc1,20,20,20,-0.05006833374212394,0.17469820114363294,0.039261933802947645
reid,initial_z,20,20,20,0.5230153341233489,0.11133618434811085,0.039261933802947645
reid,observed_prefix,20,20,20,0.9570853834636976,0.03276146896048339,0.039261933802947645
