source,probe,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance
depablo_low_temp,constant,20,20,20,-0.02259338538615574,0.34299813620176817,0.1309363081666797
depablo_low_temp,initial_pc1,20,20,20,-0.041565955739178095,0.337998966143656,0.1309363081666797
depablo_low_temp,initial_z,20,20,20,-0.06718671560131395,0.3368698204745448,0.1309363081666797
depablo_low_temp,observed_prefix,20,20,20,0.9682475878919626,0.04830652083898741,0.1309363081666797
depablo_mixed_temp,constant,20,20,20,-0.02573579434740081,0.3235672229246395,0.12643548055144446
depablo_mixed_temp,initial_pc1,20,20,20,-0.03781960601393464,0.32685872027122176,0.12643548055144446
depablo_mixed_temp,initial_z,20,20,20,-0.03229725169546116,0.3265849966685683,0.12643548055144446
depablo_mixed_temp,observed_prefix,20,20,20,0.0981101044305367,0.2903334083789227,0.12643548055144446
reid,constant,20,20,20,-0.09034610605757853,0.17800487846322086,0.039261933802947645
reid,initial_pc1,20,20,20,0.03172763713466531,0.1731671820961824,0.039261933802947645
reid,initial_z,20,20,20,0.09288376903395212,0.16693269114445117,0.039261933802947645
reid,observed_prefix,20,20,20,0.9421168312502952,0.038215964526726535,0.039261933802947645
