source,split,index,original_index,target,z0_0,z0_1,z1_0,z1_1,z5_0,z5_1
reid,calibration,1,45,-0.232251246533386,-1.8726657629013062,-1.5205920934677124,-1.8540571928024292,-1.5604866743087769,-1.8744971752166748,-1.774237036705017
reid,calibration,2,43,0.34530588309025634,-1.9852304458618164,-1.4718728065490723,-1.9492114782333374,-1.5023301839828491,-1.79969322681427,-1.6221933364868164
reid,calibration,3,73,0.3546914498807752,-1.8423880338668823,-1.5610642433166504,-1.8057990074157715,-1.591227412223816,-1.6555726528167725,-1.7092468738555908
reid,calibration,4,85,-0.04034466635495291,-1.9008897542953491,-1.6235278844833374,-1.88096022605896,-1.6620492935180664,-1.8431172370910645,-1.8387510776519775
reid,calibration,5,22,-0.41202700293673356,-1.8024930953979492,-2.441713571548462,-1.7792189121246338,-2.4792559146881104,-1.7715264558792114,-2.6907522678375244
reid,calibration,6,47,-0.2000712201151801,-1.9364526271820068,-1.7017697095870972,-1.9177989959716797,-1.7394356727600098,-1.8992044925689697,-1.928173542022705
reid,calibration,7,27,-0.16419202194022636,-1.5919086933135986,-2.5614571571350098,-1.5681363344192505,-2.600857973098755,-1.5215946435928345,-2.7946932315826416
reid,calibration,8,87,0.27845350203017877,-1.9032955169677734,-1.3572430610656738,-1.872442364692688,-1.391827940940857,-1.7434499263763428,-1.527315616607666
reid,calibration,9,67,0.2827574554363437,-1.8761860132217407,-1.5029369592666626,-1.844149112701416,-1.5339864492416382,-1.7087733745574951,-1.6560304164886475
reid,calibration,10,71,0.3225968972047046,-2.050475835800171,-1.2541619539260864,-2.014857769012451,-1.281662940979004,-1.8684865236282349,-1.391787052154541
reid,calibration,11,36,-0.19027884597049458,-1.8233156204223633,-1.5389610528945923,-1.804295301437378,-1.581769347190857,-1.8066834211349487,-1.7984126806259155
reid,calibration,12,65,0.38860791826309066,-1.7944602966308594,-1.7527803182601929,-1.7562973499298096,-1.7818245887756348,-1.5959601402282715,-1.8945157527923584
reid,calibration,13,9,-0.058598285749740735,-1.7263834476470947,-2.774533987045288,-1.7019298076629639,-2.8129799365997314,-1.6456520557403564,-2.9948365688323975
reid,calibration,14,81,-0.10988731840817481,-1.8058394193649292,-1.9075233936309814,-1.7845206260681152,-1.944033145904541,-1.7562439441680908,-2.116842031478882
reid,calibration,15,90,0.0028081485416824783,-1.763615608215332,-1.813056230545044,-1.7395497560501099,-1.851865291595459,-1.6783332824707031,-2.0263960361480713
reid,calibration,16,68,0.21534159724725252,-1.8964810371398926,-1.6209971904754639,-1.8700672388076782,-1.6542052030563354,-1.7611875534057617,-1.7849053144454956
reid,calibration,17,21,-0.14768180964121552,-1.8558228015899658,-1.8317368030548096,-1.8356513977050781,-1.8706941604614258,-1.8265244960784912,-2.0628225803375244
reid,calibration,18,24,-0.1309780478243826,-1.7522180080413818,-1.8203496932983398,-1.732792854309082,-1.8591368198394775,-1.6999434232711792,-2.03415584564209
reid,calibration,19,48,-0.17123836165231263,-1.612654447555542,-2.5078470706939697,-1.5866683721542358,-2.543657064437866,-1.537990689277649,-2.724410057067871
reid,calibration,20,1,0.3378457170934105,-1.840911865234375,-1.7302991151809692,-1.8040622472763062,-1.7598210573196411,-1.650861382484436,-1.8767707347869873
reid,calibration,21,76,0.18335712828880277,-1.8396713733673096,-1.6502631902694702,-1.812680959701538,-1.6860551834106445,-1.7097045183181763,-1.832639217376709
reid,calibration,22,78,0.1293664497277195,-1.9398294687271118,-1.1861169338226318,-1.9167206287384033,-1.223867416381836,-1.8357372283935547,-1.3792524337768555
reid,calibration,23,72,-0.037977481086243575,-1.8069970607757568,-1.9712258577346802,-1.7848694324493408,-2.008695602416992,-1.7312157154083252,-2.181978702545166
reid,calibration,24,55,0.27125756726885086,-1.985312819480896,-1.927884817123413,-1.9560788869857788,-1.9580446481704712,-1.8366947174072266,-2.0774075984954834
reid,calibration,25,82,-0.07218477062664293,-1.9256223440170288,-1.2661038637161255,-1.906875491142273,-1.3083304166793823,-1.8810023069381714,-1.5049734115600586
