source,probe,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance
depablo_low_temp,constant,20,20,20,-0.02259338538615574,0.34299813620176817,0.1309363081666797
depablo_low_temp,initial_pc1,20,20,20,0.10444127370538425,0.28278063363118183,0.1309363081666797
depablo_low_temp,initial_z,20,20,20,0.8644504961781236,0.11441606667508315,0.1309363081666797
depablo_low_temp,observed_prefix,20,20,20,0.9486644153084938,0.0721493621590521,0.1309363081666797
depablo_mixed_temp,constant,20,20,20,-0.02573579434740081,0.3235672229246395,0.12643548055144446
depablo_mixed_temp,initial_pc1,20,20,20,0.12354203266408326,0.2678087897866151,0.12643548055144446
depablo_mixed_temp,initial_z,20,20,20,0.8837701399321128,0.10490530674047154,0.12643548055144446
depablo_mixed_temp,observed_prefix,20,20,20,0.8304394762150723,0.11680474464957977,0.12643548055144446
lj_noisy,constant,20,20,20,-0.013843335966787329,0.06518608005387856,0.005310082358180217
lj_noisy,initial_pc1,20,20,20,-0.0782377326045296,0.06644226232215772,0.005310082358180217
lj_noisy,initial_z,20,20,20,-0.23736915342295162,0.07150464816220135,0.005310082358180217
lj_noisy,observed_prefix,20,20,20,-0.1496076177492871,0.07083614687454186,0.005310082358180217
reid,constant,20,20,20,-0.09034610605757853,0.17800487846322086,0.039261933802947645
reid,initial_pc1,20,20,20,0.6504241176767005,0.09559187329364652,0.039261933802947645
reid,initial_z,20,20,20,0.7081957266018479,0.08804179035710347,0.039261933802947645
reid,observed_prefix,20,20,20,0.944612814805651,0.03718713367925744,0.039261933802947645
