source,coordinate,n,pearson,spearman
depablo_low_temp,z0_0,20,0.9364552514378438,0.849624060150376
depablo_low_temp,z0_1,20,0.935221550614593,0.849624060150376
depablo_low_temp,pc1,20,0.9352926781499129,0.849624060150376
depablo_mixed_temp,z0_0,20,0.946505846684274,0.9082706766917292
depablo_mixed_temp,z0_1,20,0.9441285466092354,0.9082706766917292
depablo_mixed_temp,pc1,20,0.9442635923506854,0.9082706766917292
lj_noisy,z0_0,20,0.17543193123780204,0.19999999999999998
lj_noisy,z0_1,20,0.21657970807954482,0.2556390977443609
lj_noisy,pc1,20,0.21448371466013605,0.24812030075187969
reid,z0_0,20,-0.40543876851423055,-0.3443609022556391
reid,z0_1,20,0.2713255112401269,0.3278195488721804
reid,pc1,20,0.237253912046727,0.2706766917293233
