epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,train_source_depablo_low_temp_loss_norm,train_source_depablo_mixed_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_source_depablo_mixed_temp_loss_norm,val_source_lj_noisy_loss_norm,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,2.3734978755156466,1.8464937128681465,2.3734978755156466,0.24085340616495712,0.0,3.891549681875922e-06,9.493979268307664,4.941123509511451e-06,3.4010817300499317e-06,1.8464937128681465,0.1953389952580134,0.0,7.385949491115048,7.452175349002525e-06,8.033817166147185e-06,9.874365022179626e-06,,,,,,,,,,,,,,,,,1,1,1,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
2,2.368390034388439,1.838192899462365,2.368390034388439,0.2454642303611921,0.0,3.3706042331527497e-05,9.473485909876059,1.691233471929041e-05,2.3609300646428797e-05,1.838192899462365,0.19442300299803417,0.0,7.352597279559428,3.639745030819827e-05,5.469370091113409e-05,8.322713881314389e-05,-6.011386312034396,-0.15063031196041757,80.0,-63.0764096102047,-223.36525262159842,-63.0764096102047,-223.36525262159842,-21.868059555331904,-4.827065248636128,-2.2452610152523444,-223.36525262159842,-21.868059555331904,-4.827065248636128,-2.2452610152523444,-223.36525262159842,-6.011386312034396,1,1,2,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
3,2.3522967046943726,1.8116184508476738,2.3522967046943726,0.24081224397472714,0.0,0.00031775821408684766,9.408603417456922,9.908025767169436e-05,0.00016656284881160868,1.8116184508476738,0.1915010432402293,0.0,7.245154535557683,0.00021233210546262472,0.0003621849691415647,0.0007447507584086117,,,,,,,,,,,,,,,,,1,1,3,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
4,2.303726062523087,1.741998113007407,2.303726062523087,0.23454205627026764,0.0,0.0022981639466173906,9.211408447948031,0.00040014628629290983,0.0007974919114055586,1.741998113007407,0.18386080612738928,0.0,6.961236903730468,0.0006786523871499645,0.0013504535316851136,0.004726442380323725,-2.2829105412047546,0.24893663111763975,80.0,-20.764313201063935,-71.74998116794544,-20.764313201063935,-71.74998116794544,-6.844379460552004,-2.5923551133515024,-1.870537062406798,-71.74998116794544,-6.844379460552004,-2.5923551133515024,-1.870537062406798,-71.74998116794544,-2.2829105412047546,1,1,4,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
5,2.193448363517069,1.5994835893467527,2.193448363517069,0.22301995754241943,0.0,0.010214483684468784,8.761082213362362,0.0007639065164456445,0.001732850504999529,1.5994835893467527,0.16818786710500716,0.0,6.382803149965843,0.00047510160603013825,0.00115358551972074,0.013502520295416234,,,,,,,,,,,,,,,,,1,1,5,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
6,2.006171497552751,1.435961013980128,2.006171497552751,0.20058195973220078,0.0,0.014670899661063582,8.00736857304807,0.0006002504688359522,0.0020462670330358267,1.435961013980128,0.14994268318017323,0.0,5.703713739617869,0.0008621589765162621,0.005157504167982926,0.034110653158144676,-0.020441334639034636,0.4674457023985406,80.0,-1.593013881728455,-5.170097247723496,-1.593013881728455,-5.170097247723496,-0.08481726584281324,-0.19044507069648509,-0.9266959426510251,-5.170097247723496,-0.08481726584281324,-0.19044507069648509,-0.9266959426510251,-5.170097247723496,-0.020441334639034636,1,1,6,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
7,1.845198420021019,1.3542415206692116,1.845198420021019,0.1848135065773259,0.0,0.04013962056882041,7.333663631332344,0.0011292268591508023,0.005861201323760243,1.3542415206692116,0.14043736308813096,0.0,5.338707707420323,0.0012914251778585737,0.005750014380319283,0.07121693569834574,,,,,,,,,,,,,,,,,1,1,7,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
8,1.7689451816785495,1.2946755947186284,1.7689451816785495,0.17823772747879443,0.0,0.051798089889830166,7.017525394268706,0.0013586460072519315,0.005098596548410298,1.2946755947186284,0.1338501031200091,0.0,5.1173120087207495,0.001215524145006061,0.004132778958882299,0.05604206704987519,0.04514174988334618,0.4434259293154229,80.0,-1.1180417802700044,-2.3191271122744044,-1.1180417802700044,-2.3191271122744044,-1.6199832916288552,0.21010153756496197,-0.7431582547417201,-2.3191271122744044,-1.6199832916288552,0.21010153756496197,-0.7431582547417201,-2.3191271122744044,0.04514174988334618,1,1,8,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
9,1.7114843181665647,1.251480542054008,1.7114843181665647,0.17404554168815198,0.0,0.030176386171340455,6.811507161126692,0.001233381184474259,0.003020344183751588,1.251480542054008,0.1290569022297859,0.0,4.9602931504050805,0.0011485691078901613,0.0031321525349075705,0.04134829616815439,,,,,,,,,,,,,,,,,1,1,9,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
10,1.6664715728348056,1.2135919012713852,1.6664715728348056,0.16453241848427316,0.0,0.026019380469361,6.636694570987443,0.0010152376546435143,0.0021571022277754835,1.2135919012713852,0.12486272305250168,0.0,4.818271335827885,0.0009154055845931453,0.0022930486538591537,0.03288781501920312,-0.0014145071311684188,0.41933472689591267,80.0,-1.4784360248341806,-3.688321976322957,-1.4784360248341806,-3.688321976322957,-1.5662573003074614,0.08616194311034442,-0.7453267658166487,-3.688321976322957,-1.5662573003074614,0.08616194311034442,-0.7453267658166487,-3.688321976322957,-0.0014145071311684188,1,1,10,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
11,1.6227818996954777,1.1790956316995649,1.6227818996954777,0.1592194191787554,0.0,0.020364924018185616,6.468144407926527,0.0008023167421964573,0.0018159500950024633,1.1790956316995649,0.12111348658800125,0.0,4.685860175244467,0.0005938598500523839,0.002077213396962155,0.027851278306777538,,,,,,,,,,,,,,,,,1,1,11,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
12,1.5882356067214811,1.149871807508221,1.5882356067214811,0.1583993159558462,0.0,0.015944881522037466,6.33500505237786,0.0005786538527172923,0.001413839133309105,1.149871807508221,0.11792556792497635,0.0,4.5755968027791365,0.00047649883384939297,0.0015192576488272523,0.021894670771070147,0.20086659220631264,0.5184160953590752,80.0,-0.988023931340384,-3.3269917691843505,-0.988023931340384,-3.3269917691843505,-0.31393285324851794,-0.12731969216738048,-0.18385141076128741,-3.3269917691843505,-0.31393285324851794,-0.12731969216738048,-0.18385141076128741,-3.3269917691843505,0.20086659220631264,1,1,12,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
13,1.5597681493245976,1.12823391600324,1.5597681493245976,0.1565026977787847,0.0,0.01321126599342071,6.224304576897683,0.0004882923263217938,0.0010684620809646125,1.12823391600324,0.11558032135168711,0.0,4.4955629872925895,0.00041301129600613325,0.0010945009213653041,0.01586516450299984,,,,,,,,,,,,,,,,,1,1,13,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
14,1.5350266977124025,1.1091633251526647,1.5350266977124025,0.15146882313749063,0.0,0.011898020489050459,6.1262211120089365,0.0005304324723986235,0.001457225879224201,1.1091633251526647,0.11343846221764882,0.0,4.419309622716307,0.00037222422513387323,0.0014663370656202053,0.015505116603597248,-0.16931134244762935,0.5509714805516642,80.0,-5.144135671914375,-18.679308541713695,-5.144135671914375,-18.679308541713695,-1.1157728729338996,-0.07970293009987772,-0.7017583429100296,-18.679308541713695,-1.1157728729338996,-0.07970293009987772,-0.7017583429100296,-18.679308541713695,-0.16931134244762935,1,1,14,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
