epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,train_source_depablo_low_temp_loss_norm,train_source_depablo_mixed_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_source_lj_noisy_loss_norm,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_source_depablo_mixed_temp_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,2.373471311795209,1.8465829959793572,2.373471311795209,0.24336325150469076,0.0,1.2946560608926566e-06,9.49387946322643,3.4504591664685584e-06,1.0388391801167304e-06,1.8465829959793572,0.19435015519460042,0.0,3.546415446457355e-06,1.2917277798937664e-06,2.1340791708873416e-06,7.386325011695031,,,,,,,,,,,,,,,,,1,1,1,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
2,2.3686119381635375,1.8384978404685155,2.3686119381635375,0.2455606959436251,0.0,6.198869650224998e-06,9.474430409804794,8.529314844541827e-06,2.614664861448745e-06,1.8384978404685155,0.19347130954265596,0.0,1.702899437340851e-05,7.3275357298547605e-06,2.8750800801574135e-05,7.3539382545431575,-1.0730639374048616,-0.23649228935097485,80.0,-7.663751069387631,-25.760651023829805,-7.663751069387631,-25.760651023829805,-1.1446267564705672,-1.5247782045480154,-2.224948292702138,-25.760651023829805,-1.1446267564705672,-1.5247782045480154,-2.224948292702138,-25.760651023829805,-1.0730639374048616,1,1,2,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
3,2.3524277517039893,1.81248621015828,2.3524277517039893,0.23880385996206946,0.0,0.00010567569807417805,9.409532823602122,4.580740701265696e-05,2.6700108747307463e-05,1.81248621015828,0.19064432283242544,0.0,8.610715869125622e-05,8.326781837844147e-05,0.00046232284701972794,7.24931314280903,,,,,,,,,,,,,,,,,1,1,3,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
4,2.30452698617681,1.7416556539910883,2.30452698617681,0.23363031220176947,0.0,0.0012537450254491913,9.21645043525802,0.0001549354383567198,0.0002488289854150893,1.7416556539910883,0.18294573227564495,0.0,0.00015953017158871693,0.0006488452062562918,0.00482814321802999,6.960986097368479,-1.0805378156062089,-0.19958308926616755,80.0,-1.9811624709568703,-3.460329649658145,-1.9811624709568703,-3.460329649658145,-0.5065837019263069,-1.4945653825528056,-3.460329649658145,-2.463171149690224,-0.5065837019263069,-1.4945653825528056,-3.460329649658145,-2.463171149690224,-1.0805378156062089,1,1,4,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
5,2.1917705510949053,1.6026099278872539,2.1917705510949053,0.22567484560220138,0.0,0.009229521258685902,8.756048961778456,0.0002248221223070838,0.0015788992201716686,1.6026099278872539,0.16777591158946356,0.0,0.0002129149231984983,0.003306342980280605,0.02862581936887831,6.378294634276658,,,,,,,,,,,,,,,,,1,1,5,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
6,2.011327019709697,1.4468125851151212,2.011327019709697,0.20957877130612082,0.0,0.030034806994956417,8.006523483947284,0.0003551524468940371,0.008394635449655559,1.4468125851151212,0.1504806528488795,0.0,0.00020274189391317887,0.01193962045103376,0.07026423135277247,5.704843746762766,-0.762330084067748,0.13035640391496311,80.0,-1.2916767554619488,-2.307569794008662,-1.2916767554619488,-2.307569794008662,-0.36485774475893984,-1.5822627386859605,-2.307569794008662,-0.9120167443942329,-0.36485774475893984,-1.5822627386859605,-2.307569794008662,-0.9120167443942329,-0.762330084067748,1,1,6,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
7,1.8624908882852373,1.3579667045944999,1.8624908882852373,0.18651676923036575,0.0,0.055821320753760104,7.380827886688425,0.000339068593796128,0.012975277104968395,1.3579667045944999,0.1403535172343254,0.0,0.0005574923355875758,0.008114049519653787,0.0828571590333817,5.3403381174893765,,,,,,,,,,,,,,,,,1,1,7,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
8,1.7753647038324734,1.3023445306301753,1.7753647038324734,0.1796672308574552,0.0,0.05240372592540536,7.043541241282548,0.0005462542911418335,0.004967593830798498,1.3023445306301753,0.13413829058408738,0.0,0.0006418943561334046,0.006308049808320854,0.05948695147195299,5.142941226884294,-0.6775369230130801,0.39784866275168285,80.0,-2.516021646826984,-5.074336019921868,-2.516021646826984,-5.074336019921868,-2.133812633003667,-1.517880262375769,-1.3380576720066308,-5.074336019921868,-2.133812633003667,-1.517880262375769,-1.3380576720066308,-5.074336019921868,-0.6775369230130801,1,1,8,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
9,1.7140530628764181,1.2564927679260982,1.7140530628764181,0.17802354337080664,0.0,0.03756954421179839,6.814273998125358,0.0005655538199635015,0.0038031553485525726,1.2564927679260982,0.12901295423507692,0.0,0.0006221307662150365,0.0034966453135394796,0.0478327747167125,4.974019520907926,,,,,,,,,,,,,,,,,1,1,9,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
10,1.6663295420136717,1.2147084558208374,1.6663295420136717,0.17354493750178296,0.0,0.027756931807948523,6.63443660940303,0.0005319828142728412,0.0025926440294346135,1.2147084558208374,0.12441359609365463,0.0,0.0005651636170702695,0.002767620244094741,0.03464729511786788,4.8208537443043165,-0.1698181916257493,0.5923600737912416,80.0,-7.77912092392896,-30.702212251786477,-7.77912092392896,-30.702212251786477,0.30385730624549356,-0.11039547513086512,-0.6077332750439912,-30.702212251786477,0.30385730624549356,-0.11039547513086512,-0.6077332750439912,-30.702212251786477,-0.1698181916257493,1,1,10,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
11,1.6225768508907792,1.18032711470685,1.6225768508907792,0.16463287045126376,0.0,0.020164370131692363,6.467646044114617,0.0004550830690695556,0.002041906247737591,1.18032711470685,0.12062192857265472,0.0,0.00043292369206058445,0.002054697770853648,0.028043132578401894,4.6907777047860835,,,,,,,,,,,,,,,,,1,1,11,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
12,1.5851831503059306,1.1518731696307596,1.5851831503059306,0.15783944240082864,0.0,0.015208362658482305,6.323673749763249,0.00042134118929882053,0.0014291476126917987,1.1518731696307596,0.11747740656137466,0.0,0.0003839191297621363,0.0019492425723550049,0.02507089204297412,4.580088624777947,-0.2770272612663016,0.559442899478705,80.0,-9.722684378641404,-38.07375430216325,-9.722684378641404,-38.07375430216325,-0.14833629408251658,0.057305137600844325,-0.7259520559206931,-38.07375430216325,-0.14833629408251658,0.057305137600844325,-0.7259520559206931,-38.07375430216325,-0.2770272612663016,1,1,12,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
