epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,train_source_depablo_low_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_source_lj_noisy_loss_norm,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.0004401395540908091,0.0003723179195879854,0.0004401395540908091,1.459618191541481e-07,0.0,0.00019789740782710539,0.0009395315362972294,0.00018298971814809255,0.0003723179195879854,1.1747787513153678e-07,0.0,0.0007609322476573174,0.00016290655903216438,0.0001931149520744743,,,,,,,,,,,,,,,1,1,1,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
2,0.00040251925880002145,0.0003554509980860905,0.00040251925880002145,1.353954004076406e-07,0.0,0.0001591347019320254,0.0009069162363019595,0.0001415068381660795,0.0003554509980860905,1.1316862943052304e-07,0.0,0.0007522525956161836,0.00014352267114696516,0.0001705777274951228,0.9785859454898043,0.9900844664260594,60.0,0.7391000649216997,0.27952213358320255,0.7391000649216997,0.27952213358320255,0.9439207625546865,0.99385729862721,0.27952213358320255,0.9439207625546865,0.99385729862721,0.27952213358320255,0.9785859454898043,1,1,2,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
3,0.00039340122646315355,0.00035337432126265927,0.00039340122646315355,1.3291177643449212e-07,0.0,0.00014502288839269152,0.0009052082733362249,0.00012997251766054424,0.00035337432126265927,1.1253453931677389e-07,0.0,0.0007532419671426432,0.00014091501545291713,0.00016596598119241734,,,,,,,,,,,,,,,1,1,3,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
4,0.0003920123134948668,0.0003516801572280539,0.0003920123134948668,1.3300843365266915e-07,0.0,0.00014307523749657617,0.0009043341632232832,0.00012862753976474107,0.0003516801572280539,1.1211142592060241e-07,0.0,0.0007499983218593124,0.00013961122980468214,0.00016543092002016717,0.9797736740814711,0.9903991218652249,60.0,0.7471192736789513,0.30133332652535816,0.7471192736789513,0.30133332652535816,0.9442592364419301,0.9957652580695656,0.30133332652535816,0.9442592364419301,0.9957652580695656,0.30133332652535816,0.9797736740814711,1,1,4,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
5,0.0003900528782409468,0.00035039887126951425,0.0003900528782409468,1.3228626434792043e-07,0.0,0.0001417948005027918,0.0009008496802327596,0.0001275141539872892,0.00035039887126951425,1.1180422928210494e-07,0.0,0.0007485603104293217,0.0001389727794082175,0.00016366352397100353,,,,,,,,,,,,,,,1,1,5,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
6,0.00038854005024816646,0.00034922688412649446,0.00038854005024816646,1.3189137186319547e-07,0.0,0.00013974186143447272,0.0008992946018556693,0.0001265836874543574,0.00034922688412649446,1.1156061674455486e-07,0.0,0.0007474384469915812,0.00013726962282685474,0.00016297258256104752,0.9795712848171834,0.9905185270657754,60.0,0.7449539444013458,0.2951838235646539,0.7449539444013458,0.2951838235646539,0.9441124983294035,0.9955655113099801,0.2951838235646539,0.9441124983294035,0.9955655113099801,0.2951838235646539,0.9795712848171834,1,1,6,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
7,0.00038746550008487415,0.0003486931244231896,0.00038746550008487415,1.3153132397626584e-07,0.0,0.00013860945073590478,0.0008981955041140541,0.0001255915454046636,0.0003486931244231896,1.1147085920981681e-07,0.0,0.0007470093747086762,0.00013726373803595642,0.00016180626052493614,,,,,,,,,,,,,,,1,1,7,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
8,0.0003867908106348274,0.00034780162298337323,0.0003867908106348274,1.314486151299581e-07,0.0,0.00013773853208909602,0.0008978527285031353,0.00012478117131225095,0.00034780162298337323,1.1119797408791025e-07,0.0,0.0007465914543523785,0.0001351152116751863,0.00016169820292255484,0.9800648383477809,0.9907671314840527,60.0,0.7559574899750153,0.3203909495453947,0.7559574899750153,0.3203909495453947,0.955000523483551,0.9924809968961003,0.3203909495453947,0.955000523483551,0.9924809968961003,0.3203909495453947,0.9800648383477809,1,1,8,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
9,0.00038623591346568256,0.00034745848391666887,0.00038623591346568256,1.31756905830116e-07,0.0,0.0001371348448123094,0.0008974248275087236,0.00012414806807601453,0.00034745848391666887,1.1109364805861333e-07,0.0,0.0007465624901871443,0.00013467872903710917,0.00016113423252575313,,,,,,,,,,,,,,,1,1,9,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
10,0.00038586960406782983,0.0003471325721983102,0.00038586960406782983,1.3134478268404885e-07,0.0,0.0001369196301663285,0.0008967527404836586,0.00012393644155350248,0.0003471325721983102,1.1097998372141167e-07,0.0,0.0007463033276829304,0.00013408000790234023,0.00016101438100965998,0.9803328942927355,0.9908331445768338,60.0,0.7636929829315671,0.34553544673573455,0.7636929829315671,0.34553544673573455,0.9527560858506913,0.9927874162082753,0.34553544673573455,0.9527560858506913,0.9927874162082753,0.34553544673573455,0.9803328942927355,1,1,10,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
