epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,train_source_depablo_low_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_source_lj_noisy_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.00044729515240390867,0.0003789403826735189,0.00044729515240390867,1.4899139114611578e-07,0.0,0.00020404572734326377,0.000946716672047012,0.00019112305782145037,0.0003789403826735189,1.208412558166098e-07,0.0,0.00017116341886513079,0.0001978098164978579,0.0007678479126575679,,,,,,,,,,,,,,,1,1,1,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
2,0.0004068244875694631,0.0003560747793770397,0.0004068244875694631,1.363183323084794e-07,0.0,0.00016286541090282792,0.0009101934236611684,0.00014741462814439282,0.0003560747793770397,1.1487217044248155e-07,0.0,0.00014513067984532762,0.00017102494784036312,0.0007520687104454282,0.979886961032378,0.9904696790233692,60.0,0.7429471577457415,0.28490561936558434,0.7429471577457415,0.28490561936558434,0.9484999387557038,0.9954359151159367,0.28490561936558434,0.9484999387557038,0.9954359151159367,0.28490561936558434,0.979886961032378,1,1,2,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
3,0.0003932759228398787,0.0003533594980105865,0.0003932759228398787,1.3259384157957838e-07,0.0,0.00014517784528617054,0.0009036818506362515,0.00013096807259721413,0.0003533594980105865,1.141399336527608e-07,0.0,0.00014231479462858642,0.00016527398031775264,0.0007524897190854206,,,,,,,,,,,,,,,1,1,3,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
4,0.0003918693986332988,0.00035154099152296834,0.0003918693986332988,1.327936152673668e-07,0.0,0.00014305201908976477,0.0009031194697975384,0.00012943670701259324,0.00035154099152296834,1.1360009229595865e-07,0.0,0.00014063860265614973,0.0001645592097311596,0.0007494251621815956,0.9797133969936004,0.9906343626455948,60.0,0.7374978546109308,0.27069120271977365,0.7374978546109308,0.27069120271977365,0.9452333987272991,0.9965689623857197,0.27069120271977365,0.9452333987272991,0.9965689623857197,0.27069120271977365,0.9797133969936004,1,1,4,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
5,0.0003902078513620901,0.00035069695836827613,0.0003902078513620901,1.3170471897397233e-07,0.0,0.00014168069228593307,0.0009003420926520297,0.00012860076914830742,0.00035069695836827613,1.1338698750288738e-07,0.0,0.0001406042081790223,0.00016304913567846837,0.0007484375312473377,,,,,,,,,,,,,,,1,1,5,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
6,0.00038912263486179794,0.00034978285490631987,0.00038912263486179794,1.324438894765562e-07,0.0,0.0001402718470523081,0.000899530545187164,0.00012756551234592177,0.00034978285490631987,1.1316571561318749e-07,0.0,0.00013921059056949496,0.00016241421722626407,0.0007477237569232006,0.9794031784134721,0.9905743393949885,60.0,0.7405692096741884,0.28077583891238456,0.7405692096741884,0.28077583891238456,0.9456537140573847,0.9952780760527956,0.28077583891238456,0.9456537140573847,0.9952780760527956,0.28077583891238456,0.9794031784134721,1,1,6,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
7,0.00038835677526595963,0.00034889424952818635,0.00038835677526595963,1.3176966132612186e-07,0.0,0.0001392459828245139,0.0008992621585963633,0.00012656218437700174,0.00034889424952818635,1.1295369084507456e-07,0.0,0.00013758196618506477,0.00016215803478612963,0.0007469427476133648,,,,,,,,,,,,,,,1,1,7,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
8,0.0003874987189036396,0.0003483394640485926,0.0003874987189036396,1.3210354828341972e-07,0.0,0.00013834765390483453,0.0008983814959098405,0.00012576700689624377,0.0003483394640485926,1.127952481046653e-07,0.0,0.00013651230326891102,0.00016202233661749988,0.0007464837522593669,0.9792924187308527,0.9906866510636106,60.0,0.7494890644082647,0.30192472088696254,0.7494890644082647,0.30192472088696254,0.9552777860077275,0.991264686330104,0.30192472088696254,0.9552777860077275,0.991264686330104,0.30192472088696254,0.9792924187308527,1,1,8,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
9,0.00038704092742273497,0.00034744530566818184,0.00038704092742273497,1.3139987231625128e-07,0.0,0.00013821044948387676,0.0008977898186812656,0.0001251225141030625,0.00034744530566818184,1.1259181202187089e-07,0.0,0.00013491667883969464,0.00016147952062530935,0.0007459397175395416,,,,,,,,,,,,,,,1,1,9,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
10,0.0003861649330194148,0.00034709682950959006,0.0003861649330194148,1.314052929213925e-07,0.0,0.00013713336399253227,0.0008969402196459684,0.00012442121541974367,0.00034709682950959006,1.1252406414049194e-07,0.0,0.0001346935524783308,0.00016094109764950597,0.0007456558384009333,0.9797069894679865,0.9906382965893026,60.0,0.7555221361874844,0.32463812094436384,0.7555221361874844,0.32463812094436384,0.948560339011264,0.9933679486068255,0.32463812094436384,0.948560339011264,0.9933679486068255,0.32463812094436384,0.9797069894679865,1,1,10,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
