epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_source_depablo_low_temp_loss_norm,train_source_depablo_mixed_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_source_lj_noisy_loss_norm,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_source_depablo_mixed_temp_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,1.0004141395506652,0.7725243926048279,1.0004141395506652,0.10481925000963004,0.004504316658510462,3.9916229610857754,0.0041877428150695305,0.0013415492240987394,0.7725243926048279,0.0830570491651694,0.0035558892879635094,0.0014067880886917312,0.006523541423181693,3.078611389795939,,,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
2,0.995040344155353,0.7719602704048156,0.995040344155353,0.10424718098795932,0.004623440286630522,3.97034768436266,0.0038181434324740067,0.0013720942610550833,0.7719602704048156,0.08299412652850151,0.002956886154909929,0.0014464653795585036,0.006802973027030627,3.0766346931457518,0.14141467750465075,0.490684259294399,80.0,-2.189012626679829,-8.355634099526464,-2.189012626679829,-8.355634099526464,0.01500628929748471,-0.28180232868563837,-0.13362036780469877,-8.355634099526464,0.01500628929748471,-0.28180232868563837,-0.13362036780469877,-8.355634099526464,0.14141467750465075,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
3,0.9903300819189652,0.771112072467804,0.9903300819189652,0.10376582683428474,0.0047508681233486404,3.95230421812638,0.00286418078062327,0.0014011016237023084,0.771112072467804,0.08289820527036985,0.0016317752577985325,0.0014681056064243117,0.0069131624574462576,3.074435234069824,,,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
4,1.018078345319499,0.7700572888056437,1.018078345319499,0.10615408550138059,0.004919629422542842,4.0646304047626,0.0013322016963249316,0.0014311319328439624,0.7700572888056437,0.08277827923496564,0.0006690729719897111,0.001529797244196137,0.007336111490925153,3.070694160461426,0.30158306292798154,0.6177407784103969,80.0,-0.084716360226158,-0.20249845549768586,-0.084716360226158,-0.20249845549768586,0.04658029934453778,-0.14786959772371855,-0.03507768702776537,-0.20249845549768586,0.04658029934453778,-0.14786959772371855,-0.03507768702776537,-0.20249845549768586,0.30158306292798154,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
5,0.9953603148460388,0.76872478723526,0.9953603148460388,0.10425577928190646,0.005298161676720432,3.9736149311065674,0.000991305242717752,0.0015368652378168442,0.76872478723526,0.08262622704108556,0.0008054974721744656,0.001626820000819862,0.00798490500698487,3.0644819100697833,,,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
6,1.0082281827926636,0.7676020741462708,1.0082281827926636,0.10593989977370137,0.005632511724758408,4.024660120839658,0.001021942176916839,0.0015981274241905498,0.7676020741462708,0.08249902526537577,0.0008228838366145889,0.0016972631681710481,0.008495336025953292,3.059392817815145,0.3967408354099067,0.6478808659859856,80.0,-0.004506635152419919,-0.29166616051839234,-0.004506635152419919,-0.29166616051839234,0.13803772798159208,0.048875078241847,0.08672681368527357,-0.29166616051839234,0.13803772798159208,0.048875078241847,0.08672681368527357,-0.29166616051839234,0.3967408354099067,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
7,0.9898063281308049,0.7665334145228068,0.9898063281308049,0.10377115335153497,0.006149617428688899,3.9503297805786133,0.001101121263396319,0.0016447868117171786,0.7665334145228068,0.08237963244318962,0.0008588235165613393,0.00175639307902505,0.008946587145328522,3.05457181930542,,,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
8,1.0074767288954363,0.7650952816009522,1.0074767288954363,0.10583631435166234,0.006857353708018427,4.0201781832653545,0.0011580523164213998,0.001713308951129084,0.7650952816009522,0.08221572165687879,0.0009426451404578983,0.002011839672923088,0.01016553845256567,3.0472611745198566,0.4429610202192713,0.6700442853520125,80.0,0.02453401571277511,-0.3129075677134423,0.02453401571277511,-0.3129075677134423,0.09547418624522752,0.16813683463191287,0.14743260968740235,-0.3129075677134423,0.09547418624522752,0.16813683463191287,0.14743260968740235,-0.3129075677134423,0.4429610202192713,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
9,0.9784765036209769,0.763596506913503,0.9784765036209769,0.10250068277768466,0.007887995376697054,3.9028220591337783,0.001261276314439981,0.0019346125899692593,0.763596506913503,0.08204662278294564,0.0010029623672987023,0.002399910179277261,0.011305111087858677,3.0396780014038085,,,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
10,1.001855668814286,0.7618556539217631,1.001855668814286,0.10474021668019502,0.008948827992476847,3.9948007645814316,0.001322894817744584,0.002350133378058672,0.7618556539217631,0.0818483146528403,0.0010677819489501416,0.0029979098743448656,0.012846388667821885,3.0305105527242024,0.4867809668978422,0.7038866362849245,80.0,0.03192077487740219,-0.3174876196969625,0.03192077487740219,-0.3174876196969625,-0.08308773147878856,0.2867445763256904,0.24151387435966942,-0.3174876196969625,-0.08308773147878856,0.2867445763256904,0.24151387435966942,-0.3174876196969625,0.4867809668978422,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
