epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_source_depablo_low_temp_loss_norm,train_source_depablo_mixed_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_source_depablo_mixed_temp_loss_norm,val_source_depablo_low_temp_loss_norm,val_source_reid_loss_norm,val_source_lj_noisy_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.9854126728099325,0.7736804942289989,0.9854126728099325,0.10343625785216042,0.004508667524256136,3.9316816537276558,0.004120261347650186,0.0013401224935913215,0.7736804942289989,0.08289071271816889,3.083218224843343,0.0066194361386199795,0.0014227852147693436,0.0034615681196252506,,,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
2,0.9972866566284843,0.7730390071868897,0.9972866566284843,0.10468422086990398,0.004701228164460348,3.9793309647104014,0.003727070177378862,0.0013873507015650039,0.7730390071868897,0.08281868944565456,3.0811662356058758,0.006866293866187334,0.001446814718656242,0.002676663004482786,0.16947373680698197,0.4865653341917271,80.0,-1.7587732582189586,-6.7069616112991515,-1.7587732582189586,-6.7069616112991515,0.07138380797750432,-0.2646779111808337,-0.13483731837335378,-6.7069616112991515,0.07138380797750432,-0.2646779111808337,-0.13483731837335378,-6.7069616112991515,0.16947373680698197,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
3,0.9867300391197205,0.7718921701113383,0.9867300391197205,0.10336584079524745,0.00493621660153503,3.9382279852162236,0.0023144626858360743,0.0014415058894487827,0.7718921701113383,0.08268918519218763,3.0776906569798785,0.007464755947391192,0.0015107938398917517,0.0009025128131421904,,,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
4,0.9902635631353959,0.770735905567805,0.9902635631353959,0.10364064250303351,0.005601883319247028,3.952853772951209,0.0010522407778214824,0.0015463379930461879,0.770735905567805,0.08255829041202863,3.0720435698827107,0.008496930698553722,0.0016268166325365504,0.0007762619022590419,0.3025521368012818,0.5770952461507506,80.0,-0.12877324348803815,-0.47417929327155117,-0.12877324348803815,-0.47417929327155117,0.1641003409709587,-0.13242117122255626,-0.07259285042900387,-0.47417929327155117,0.1641003409709587,-0.13242117122255626,-0.07259285042900387,-0.47417929327155117,0.3025521368012818,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
5,0.9930771926174993,0.7692878683408101,0.9930771926174993,0.1039329223010851,0.0064383175669480925,3.963091383809629,0.0010637497433218296,0.0017153422763247204,0.7692878683408101,0.08239306335647902,3.0648635625839233,0.009790616917113464,0.0017551453784108162,0.0007421142809713881,,,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
6,0.9806014739948771,0.7681566377480825,0.9806014739948771,0.10262626474318297,0.007459770280705846,3.911994281022445,0.0011133782606086006,0.001838398677215952,0.7681566377480825,0.08226433222492537,3.0592069149017336,0.010870805258552234,0.0018061665430044135,0.0007426567608490586,0.37908617777373665,0.6160595168425819,80.0,0.021878025406648682,-0.21030360704326445,0.021878025406648682,-0.21030360704326445,0.2707977759862299,0.019848328365359214,0.007169604318270073,-0.21030360704326445,0.2707977759862299,0.019848328365359214,0.007169604318270073,-0.21030360704326445,0.37908617777373665,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
7,0.9873340363087861,0.7669865489006042,0.9873340363087861,0.10368207388597986,0.008198499902273003,3.9383482933044434,0.001049459504429251,0.0017399326138927238,0.7669865489006042,0.08213199327389399,3.0537256320317585,0.011711813633640607,0.0017945140600204468,0.0007142222564046582,,,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
8,0.9822138340576835,0.7655654489994049,0.9822138340576835,0.10288831818362941,0.009585241665658743,3.9163952703061313,0.0010691570173746543,0.0018056590191048124,0.7655654489994049,0.08197224910060565,3.0463049252827963,0.013306067138910294,0.0019364879311372836,0.0007143316130774716,0.42348965761544444,0.6521933541630287,80.0,0.06612022248454891,-0.22727528337044944,0.06612022248454891,-0.22727528337044944,0.3187529242013526,0.1112488032113853,0.06175444589590717,-0.22727528337044944,0.3187529242013526,0.1112488032113853,0.06175444589590717,-0.22727528337044944,0.42348965761544444,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
9,0.9832888452903085,0.7640917241573334,0.9832888452903085,0.10308121403922206,0.0100502437385528,3.920226408087689,0.0010192310741252225,0.001859408939945633,0.7640917241573334,0.08180494531989098,3.0398491621017456,0.01371564424286286,0.0021145520343755684,0.0006875383706452946,,,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
10,0.9762945512066716,0.7624520500500996,0.9762945512066716,0.10233849708152853,0.011047478319834108,3.8911654430886973,0.0010126162694929087,0.001952683821361026,0.7624520500500996,0.08162093286712964,3.032467476526896,0.014407195088764032,0.0022439660814901194,0.0006895585955741505,0.48269259993071334,0.6957805593702362,80.0,0.07258913497028893,-0.39215391667023325,0.07258913497028893,-0.39215391667023325,0.27586352414926507,0.237193424281691,0.16945350812043292,-0.39215391667023325,0.27586352414926507,0.237193424281691,0.16945350812043292,-0.39215391667023325,0.48269259993071334,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
