epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_source_depablo_low_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_source_lj_noisy_loss_norm,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.9950942221809836,1.1776744027932484,0.9950942221809836,0.00034741558620760986,1.5807762286242317,0.9697604775428772,0.43474598667200876,1.1776744027932484,0.0004133315063275707,0.8164134174585342,0.5023786996801695,2.2142310738563538,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
2,0.9789070451960844,1.1527383625507355,0.9789070451960844,0.0003416223472039051,1.5561416149139404,0.9512569448527168,0.42932262140161853,1.1527383625507355,0.0004044337183586322,0.7929812322060267,0.49450037628412247,2.1707335114479065,0.08723277970666787,0.4870332063881576,60.0,-2.643760415646431,-7.140836425349422,-2.643760415646431,-7.140836425349422,-0.28053679368647355,-0.5099080279033981,-7.140836425349422,-0.28053679368647355,-0.5099080279033981,-7.140836425349422,0.08723277970666787,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
3,0.9491477152880501,1.1061480144659679,0.9491477152880501,0.00033104527392424643,1.5160233132979448,0.9114606310339535,0.419959182248396,1.1061480144659679,0.0003877759130167154,0.7395160645246506,0.48152096072832745,2.0974070032437644,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
4,0.8922407346613267,1.0229188005129497,0.8922407346613267,0.00031069882029174445,1.4446456782958086,0.8266099270652322,0.40546656180830565,1.0229188005129497,0.00035796419009178254,0.6305496941010157,0.46089331557353336,1.9773133893807728,0.13138218080518993,0.5666376338644376,60.0,-2.061509214558693,-5.455985384517856,-2.061509214558693,-5.455985384517856,-0.24817560182136766,-0.4803666573368557,-5.455985384517856,-0.24817560182136766,-0.4803666573368557,-5.455985384517856,0.13138218080518993,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
5,0.7971095898572136,0.8906291822592417,0.7971095898572136,0.0002766765161033939,1.3423530284096212,0.6669034256654627,0.3820722909534679,0.8906291822592417,0.00031045493960846215,0.44825106610854465,0.43045420944690704,1.7931823035081227,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
6,0.6610185013097876,0.7248483200867971,0.6610185013097876,0.0002276702400516061,1.1863453668706558,0.44454405412954445,0.3521660881883958,0.7248483200867971,0.0002506052854490311,0.2502983684341113,0.3896524906158447,1.5345940589904785,0.2747131475153324,0.6701954099646078,60.0,-0.4985496967126179,-1.0212966785902746,-0.4985496967126179,-1.0212966785902746,-0.12705843538628447,-0.34729397616129454,-1.0212966785902746,-0.12705843538628447,-0.34729397616129454,-1.0212966785902746,0.2747131475153324,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
7,0.5215575484668508,0.5802691380182902,0.5215575484668508,0.00017704084594323134,0.9792543544488794,0.2707744293353137,0.31464385109789234,0.5802691380182902,0.00019794424952124245,0.18649576231837273,0.34146582583586377,1.2128458321094513,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
8,0.4221800092388602,0.461481178800265,0.4221800092388602,0.0001406211856245885,0.7529924126232371,0.23829383359235876,0.2752537736121346,0.461481178800265,0.00015489529202265354,0.19501405457655588,0.2956593483686447,0.8937701483567556,0.4836686507228377,0.72953388039323,60.0,-0.06705123691299227,-0.43142462382604907,-0.06705123691299227,-0.43142462382604907,0.1863168077404398,0.043954105346632466,-0.43142462382604907,0.1863168077404398,0.043954105346632466,-0.43142462382604907,0.4836686507228377,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
9,0.35278180066277,0.37224004169305164,0.35278180066277,0.00011530360386720585,0.5792733956785763,0.23438925690510692,0.2446827660588657,0.37224004169305164,0.00012248905113665387,0.18412366012732187,0.26399846747517586,0.6685979962348938,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
10,0.310078221208909,0.32536380738019943,0.310078221208909,9.971656596890705e-05,0.47507405456374674,0.2287333458662033,0.22642727020908804,0.32536380738019943,0.00010536362788116094,0.1800340103606383,0.2506513607998689,0.5454060435295105,0.5960905915423163,0.7732531748478486,60.0,0.1201966933174274,-0.2506510911518445,0.1201966933174274,-0.2506510911518445,0.3496774723211543,0.26156369878297236,-0.2506510911518445,0.3496774723211543,0.26156369878297236,-0.2506510911518445,0.5960905915423163,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
