epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_source_depablo_low_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_source_lj_noisy_loss_norm,val_source_depablo_low_temp_loss_norm,val_source_reid_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.9961185244952931,1.1736080050468445,0.9961185244952931,0.0003477798857013969,1.5842115177827722,0.9688658609109766,0.4352782088167527,1.1736080050468445,0.0004091071726482672,0.804562970995903,2.216244717439016,0.5000164061784744,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
2,0.9816628063426298,1.1520454287528992,0.9816628063426298,0.0003426139712032369,1.5643478912465714,0.949547175098868,0.4310933579416836,1.1520454287528992,0.00040141977903355536,0.7800165663162867,2.182502528031667,0.4936172266801198,0.08732427706970025,0.49081264516033835,60.0,-2.6211523129703376,-7.064635814474954,-2.6211523129703376,-7.064635814474954,-0.28840509618120613,-0.5104160282548524,-7.064635814474954,-0.28840509618120613,-0.5104160282548524,-7.064635814474954,0.08732427706970025,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
3,0.9564871682840235,1.1094257930914562,0.9564871682840235,0.00033355334102559616,1.5379520093693453,0.9087172886904549,0.4227922260761261,1.1094257930914562,0.00038621173007413745,0.7276858737071356,2.118066201607386,0.4825253412127495,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
4,0.9029049662982717,1.0299495657285054,0.9029049662982717,0.0003143486049820614,1.4716476762996,0.8276913025799919,0.4093759322867674,1.0299495657285054,0.00035785523262651015,0.6274763693412145,1.9988207717736561,0.46355145672957104,0.13640558642379164,0.578535274791859,60.0,-2.075400600371463,-5.502412446292448,-2.075400600371463,-5.502412446292448,-0.261558368341807,-0.46223098648013417,-5.502412446292448,-0.261558368341807,-0.46223098648013417,-5.502412446292448,0.13640558642379164,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
5,0.8112570397994098,0.8978753139575323,0.8112570397994098,0.0002814532062449657,1.362378008225385,0.6826838780851925,0.38870925237150755,0.8978753139575323,0.0003107038137386553,0.4615851690371831,1.798462688922882,0.4335780640443166,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
6,0.6725630339454202,0.7220570544401804,0.6725630339454202,0.00023153391563990975,1.1866589819683748,0.4736715625314152,0.3573585520772373,0.7220570544401804,0.00024776226685692865,0.2660333539048831,1.5090175966421764,0.39112023264169693,0.3125621563196811,0.688941289173002,60.0,-0.5728896843104978,-1.3544291965699053,-0.5728896843104978,-1.3544291965699053,-0.12080226240359226,-0.2434375939579958,-1.3544291965699053,-0.12080226240359226,-0.2434375939579958,-1.3544291965699053,0.3125621563196811,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
7,0.5227461597498726,0.5616373295585314,0.5227461597498726,0.00017716862117488156,0.9663814236136044,0.28547579225371866,0.31638123883920555,0.5616373295585314,0.0001899470626085531,0.17293345679839453,1.1729362706343334,0.3390422463417053,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
8,0.424958677852855,0.4583185091614723,0.424958677852855,0.0001412251406102715,0.7668249852517072,0.23304745379616232,0.2750035787329954,0.4583185091614723,0.00015270015016236962,0.18481983616948128,0.8970438341299692,0.29309185097614926,0.5172939405816488,0.7313427841971398,60.0,-0.0751417486979921,-0.5589768924398408,-0.0751417486979921,-0.5589768924398408,0.20942215746593984,0.1241294888799247,-0.5589768924398408,0.20942215746593984,0.1241294888799247,-0.5589768924398408,0.5172939405816488,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
9,0.37025126990150004,0.3879330853621165,0.37025126990150004,0.00012127761874580756,0.6352492185199962,0.23038717666093042,0.2451173996224123,0.3879330853621165,0.00012748927474603988,0.17498654996355376,0.7192031343777975,0.26960958043734234,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
10,0.33016996699220996,0.34018856287002563,0.33016996699220996,0.00010686415643088848,0.5341313323553871,0.22502692482050726,0.23135162802303538,0.34018856287002563,0.00011036791329388507,0.1702646998067697,0.5904726361234983,0.259828378756841,0.5797967201507206,0.7626036379142715,60.0,0.055711180784926796,-0.33759907064891803,0.055711180784926796,-0.33759907064891803,0.24922204826337957,0.25551056474031886,-0.33759907064891803,0.24922204826337957,0.25551056474031886,-0.33759907064891803,0.5797967201507206,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
11,0.2969940111917608,0.3040120005607605,0.2969940111917608,9.499620329520171e-05,0.44603434205055237,0.22246639605830698,0.22248128933065078,0.3040120005607605,9.742615839058999e-05,0.16888702288269997,0.49191636592149734,0.25123262281219166,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
12,0.27025862564058867,0.27683743958671886,0.27025862564058867,8.5475694932564e-05,0.37951823543099794,0.21767395121209762,0.2135836972909815,0.27683743958671886,8.775559763307683e-05,0.16500435397028923,0.42344668755928677,0.2420612946152687,0.6460006743497639,0.8071511771059979,60.0,0.07667751522512574,-0.39553089762747495,0.07667751522512574,-0.39553089762747495,0.18804900687266868,0.4375144364301835,-0.39553089762747495,0.18804900687266868,0.4375144364301835,-0.39553089762747495,0.6460006743497639,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
13,0.251072314732215,0.25858697046836215,0.251072314732215,7.868860805448254e-05,0.33331730260568504,0.21383054992731879,0.20606908289825215,0.25858697046836215,8.130648166115861e-05,0.15900767470399538,0.38339538623889285,0.2333578517039617,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
14,0.2375362103476244,0.24655521040161452,0.2375362103476244,7.395687434301876e-05,0.3058520012042102,0.20882729835370006,0.19792933411457958,0.24655521040161452,7.713403950522964e-05,0.15355045348405838,0.36115433772404987,0.22496084744731584,0.7125355663507615,0.8516105612989291,60.0,0.1259994796731264,-0.3996735948339665,0.1259994796731264,-0.3996735948339665,0.1735131827321903,0.6041588511211554,-0.3996735948339665,0.1735131827321903,0.6041588511211554,-0.3996735948339665,0.7125355663507615,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
15,0.22756756842136383,0.23817497740189233,0.22756756842136383,7.055188924663097e-05,0.29016218027647805,0.20234297391246348,0.19019755545784445,0.23817497740189233,7.42977942233362e-05,0.14750278679033121,0.3491651614507039,0.217856977134943,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
16,0.2203085983500761,0.23094472785790762,0.2203085983500761,6.809322504148654e-05,0.27852265536785126,0.19684830833883846,0.18555483660277197,0.23094472785790762,7.191281717193003e-05,0.14100279348591963,0.3399132825434208,0.2119180994729201,0.7527438485113149,0.8791210978466374,60.0,0.15183441961897884,-0.42940714816385617,0.15183441961897884,-0.42940714816385617,0.1850275631586804,0.6998828438621123,-0.42940714816385617,0.1850275631586804,0.6998828438621123,-0.42940714816385617,0.7527438485113149,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
