variant,scope,seed,completed
acceleration_all4,shared4,123,True
acceleration_all4,shared4,456,True
acceleration_all4,shared4,786,True
acceleration_transfer3,shared4,123,True
acceleration_transfer3,shared4,456,True
acceleration_transfer3,shared4,786,True
delta_all4,shared4,123,True
delta_all4,shared4,456,True
delta_all4,shared4,786,True
delta_transfer3,shared4,123,True
delta_transfer3,shared4,456,True
delta_transfer3,shared4,786,True
velocity_multistep8,shared4,123,True
velocity_multistep8,shared4,456,True
velocity_multistep8,shared4,786,True
velocity_one,depablo_low_temp,123,True
velocity_one,depablo_low_temp,456,True
velocity_one,depablo_low_temp,786,True
velocity_one,depablo_mixed_temp,123,True
velocity_one,depablo_mixed_temp,456,True
velocity_one,depablo_mixed_temp,786,True
velocity_one,lj_noisy,123,True
velocity_one,lj_noisy,456,True
velocity_one,lj_noisy,786,True
velocity_one,reid,123,True
velocity_one,reid,456,True
velocity_one,reid,786,True
velocity_one,shared4,123,True
velocity_one,shared4,456,True
velocity_one,shared4,786,True
velocity_source_id_one,shared4,123,True
velocity_source_id_one,shared4,456,True
velocity_source_id_one,shared4,786,True
velocity_source_temperature_one,shared4,123,True
velocity_source_temperature_one,shared4,456,True
velocity_source_temperature_one,shared4,786,True
velocity_temperature_one,shared4,123,True
velocity_temperature_one,shared4,456,True
velocity_temperature_one,shared4,786,True
velocity_transfer3,shared4,123,True
velocity_transfer3,shared4,456,True
velocity_transfer3,shared4,786,True
window_multistep8,shared4,123,True
window_multistep8,shared4,456,True
window_multistep8,shared4,786,True
window_one,shared4,123,True
window_one,shared4,456,True
window_one,shared4,786,True
