epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,train_source_depablo_low_temp_loss_norm,train_source_depablo_mixed_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_source_depablo_low_temp_loss_norm,val_source_lj_noisy_loss_norm,val_source_reid_loss_norm,val_source_depablo_mixed_temp_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.6148167478088534,0.5642337926766645,0.6148167478088534,0.5252489823362102,0.0,0.36054491978465464,1.3676784445476113,0.3793660230379094,0.3516776038652384,0.5642337926766645,1.1694744867937905,0.0,0.3099378309826451,0.26889106413159014,0.37122285608413885,1.3068834195082837,,,,,,,,,,,,,,,,,1,8,1,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
2,0.5615329412200178,0.5302157783909933,0.5615329412200178,0.5326322835424672,0.0,0.30192852087057476,1.3606973592544858,0.29797886541636104,0.2855270193386496,0.5302157783909933,1.1694352967398507,0.0,0.259447842523117,0.22815548760964618,0.32444923257624564,1.3088105508549648,0.5237996626459406,0.8034725324045584,80.0,0.355266480318825,-0.6915722064772132,0.355266480318825,-0.6915722064772132,0.9465008500304765,0.9905906482862034,-0.6915722064772132,0.17554662943583355,0.9465008500304765,0.9905906482862034,-0.6915722064772132,0.17554662943583355,0.5237996626459406,1,8,2,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
3,0.5370805205796076,0.5142296320405545,0.5370805205796076,0.5246534736260123,0.0,0.24684330705226512,1.3725429776154066,0.2910151970072796,0.2379206006434795,0.5142296320405545,1.1701308361121587,0.0,0.20538580801591955,0.22075764316726815,0.314699587038062,1.3160754899409683,,,,,,,,,,,,,,,,,1,8,3,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
4,0.5198221634118818,0.49706339230443436,0.5198221634118818,0.5281947268092114,0.0,0.19042471481585188,1.3874012388262833,0.2759229923459587,0.2255397076594333,0.49706339230443436,1.1688312079225267,0.0,0.16724109816767105,0.21223942290790462,0.28863104123421096,1.3201420069079508,0.528664385913554,0.8073605707621858,80.0,0.36130254337436674,-0.6695640320294698,0.36130254337436674,-0.6695640320294698,0.9374214919434818,0.9888231300557024,-0.6695640320294698,0.1885295835277525,0.9374214919434818,0.9888231300557024,-0.6695640320294698,0.1885295835277525,0.528664385913554,1,8,4,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
5,0.49889474409093193,0.47962095589341924,0.49889474409093193,0.5284089161002118,0.0,0.15126820804485888,1.392856289414983,0.24885073666428134,0.20260374223960465,0.47962095589341924,1.1666890851088934,0.0,0.14442484161356167,0.18174703572281445,0.2667685830481456,1.3255433631891553,,,,,,,,,,,,,,,,,1,8,5,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
6,0.48711520667699487,0.48026388649834023,0.48711520667699487,0.5357672883116681,0.0,0.12404639626567236,1.4026473707901803,0.23129813212341743,0.19046892752870917,0.48026388649834023,1.1641004553862981,0.0,0.1465253126106373,0.17147826932804575,0.2710518101873194,1.3320001538673585,0.49226349214185816,0.799294788510452,80.0,0.3244966186310898,-0.8053689858049622,0.3244966186310898,-0.8053689858049622,0.9424763377727534,0.9897906228665946,-0.8053689858049622,0.17108849968997364,0.9424763377727534,0.9897906228665946,-0.8053689858049622,0.17108849968997364,0.49226349214185816,1,8,6,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
7,0.48266349754692467,0.4762342054554707,0.48266349754692467,0.5297503626864889,0.0,0.1142301649144001,1.4091231946307317,0.22817320366230745,0.17912742698025938,0.4762342054554707,1.160493369613375,0.0,0.1378685803212482,0.16696400756032248,0.2635534790728178,1.3365507548674942,,,,,,,,,,,,,,,,,1,8,7,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
8,0.47964536300982885,0.46702380238564895,0.47964536300982885,0.5214909859325575,0.0,0.10329857242109843,1.4181097858098515,0.2234563999704755,0.17371669383789004,0.46702380238564895,1.1548157930374146,0.0,0.13000691741200915,0.16915646642896304,0.23599662335975816,1.3329352023418655,0.5156509851275995,0.8047116538073249,80.0,0.34709172051016673,-0.7188442244338786,0.34709172051016673,-0.7188442244338786,0.9419494892155288,0.9893151148329821,-0.7188442244338786,0.1759465024260347,0.9419494892155288,0.9893151148329821,-0.7188442244338786,0.1759465024260347,0.5156509851275995,1,8,8,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
9,0.47322799575451774,0.4650765363664091,0.47322799575451774,0.5269798105177672,0.0,0.09974005915820926,1.4195949242407815,0.22036624651287862,0.1532107531062017,0.4650765363664091,1.1486263573169708,0.0,0.1307184000023302,0.1686862339945616,0.2274773455899611,1.3334241658787835,,,,,,,,,,,,,,,,,1,8,9,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
10,0.467183237883488,0.461203605393563,0.467183237883488,0.5190508132395537,0.0,0.09861713649897036,1.4151215962307495,0.21745019523373788,0.13754402357049433,0.461203605393563,1.1409611872264318,0.0,0.12397167046252765,0.162843353823039,0.227702556634507,1.3302968406541782,0.5466378894744308,0.8133161846526086,80.0,0.3728967703406728,-0.6059633392832136,0.3728967703406728,-0.6059633392832136,0.9435197055286748,0.9904664688195495,-0.6059633392832136,0.16356424629768052,0.9435197055286748,0.9904664688195495,-0.6059633392832136,0.16356424629768052,0.5466378894744308,1,8,10,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
