epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.3167135864496231,0.3005903884768486,0.3167135864496231,0.00011080121839768253,0.0,0.3005903884768486,0.00010555717744864523,0.0,,,,,,,,,,,1,1,1,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
2,0.3120729426542918,0.298592284321785,0.3120729426542918,0.00010939049995310295,0.0,0.298592284321785,0.00010481627577973995,0.0,0.971687552844127,0.9950331979252052,20.0,0.971687552844127,0.971687552844127,0.971687552844127,0.971687552844127,0.971687552844127,0.971687552844127,0.971687552844127,1,1,2,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
3,0.31233251591523487,0.2961864694952965,0.31233251591523487,0.00010934233796433546,0.0,0.2961864694952965,0.00010392296826466918,0.0,,,,,,,,,,,1,1,3,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
4,0.3096247563759486,0.2931760922074318,0.3096247563759486,0.00010842501918280807,0.0,0.2931760922074318,0.00010280542301188689,0.0,0.9723605028860871,0.9951160515424113,20.0,0.9723605028860871,0.9723605028860871,0.9723605028860871,0.9723605028860871,0.9723605028860871,0.9723605028860871,0.9723605028860871,1,1,4,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
5,0.3054593702157338,0.2893487438559532,0.3054593702157338,0.00010672151499117415,0.0,0.2893487438559532,0.0001013874207274057,0.0,,,,,,,,,,,1,1,5,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
6,0.30109526216983795,0.2844664081931114,0.30109526216983795,0.00010507902698009275,0.0,0.2844664081931114,9.9584005511133e-05,0.0,0.9735635586027092,0.9952515497332661,20.0,0.9735635586027092,0.9735635586027092,0.9735635586027092,0.9735635586027092,0.9735635586027092,0.9735635586027092,0.9735635586027092,1,1,6,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
7,0.2958114643891652,0.2782367542386055,0.2958114643891652,0.0001029899030982051,0.0,0.2782367542386055,9.729163502925076e-05,0.0,,,,,,,,,,,1,1,7,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
8,0.2912375032901764,0.2703457623720169,0.2912375032901764,0.00010148891184750634,0.0,0.2703457623720169,9.44014227570733e-05,0.0,0.9756790229713497,0.9954692528667508,20.0,0.9756790229713497,0.9756790229713497,0.9756790229713497,0.9756790229713497,0.9756790229713497,0.9756790229713497,0.9756790229713497,1,1,8,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
9,0.2814989387989044,0.260408241301775,0.2814989387989044,9.778378322759333e-05,0.0,0.260408241301775,9.078266157303005e-05,0.0,,,,,,,,,,,1,1,9,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
10,0.2691870480775833,0.24810823798179626,0.2691870480775833,9.322458572569303e-05,0.0,0.24810823798179626,8.633200923213735e-05,0.0,0.9791275846242158,0.9958006891897444,20.0,0.9791275846242158,0.9791275846242158,0.9791275846242158,0.9791275846242158,0.9791275846242158,0.9791275846242158,0.9791275846242158,1,1,10,depablo_low_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
