epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,1.1229049762090046,1.005849248263985,1.1229049762090046,0.46566743155320484,0.0,1.005849248263985,0.42855579825118184,0.0,,,,,,,,,,,1,1,1,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
2,1.1229640046755474,1.0053375393617898,1.1229640046755474,0.46581921478112537,0.0,1.0053375393617898,0.4283390693599358,0.0,-0.9193958461423501,0.5334172920628857,20.0,-0.9193958461423501,-0.9193958461423501,-0.9193958461423501,-0.9193958461423501,-0.9193958461423501,-0.9193958461423501,-0.9193958461423501,1,1,2,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
3,1.1033061941464741,1.0046881551388651,1.1033061941464741,0.4566151450077693,0.0,1.0046881551388651,0.42806038551498204,0.0,,,,,,,,,,,1,1,3,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
4,1.1124854882558186,1.0039597048889846,1.1124854882558186,0.4595467646916707,0.0,1.0039597048889846,0.4277465046616271,0.0,-0.8979378433987157,0.521329169029542,20.0,-0.8979378433987157,-0.8979378433987157,-0.8979378433987157,-0.8979378433987157,-0.8979378433987157,-0.8979378433987157,-0.8979378433987157,1,1,4,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
5,1.130783200263977,1.003092325059697,1.130783200263977,0.4686128745476405,0.0,1.003092325059697,0.4273710991255939,0.0,,,,,,,,,,,1,1,5,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
6,1.1375506122907002,1.0019381032325327,1.1375506122907002,0.4717046072085698,0.0,1.0019381032325327,0.42686902172863483,0.0,-0.7824013903171672,0.5110022587716757,20.0,-0.7824013903171672,-0.7824013903171672,-0.7824013903171672,-0.7824013903171672,-0.7824013903171672,-0.7824013903171672,-0.7824013903171672,1,1,6,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
7,1.1163578728834789,1.000430531334132,1.1163578728834789,0.4632589966058731,0.0,1.000430531334132,0.4262095821322873,0.0,,,,,,,,,,,1,1,7,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
8,1.0963566799958546,0.9984630742110312,1.0963566799958546,0.4540379246075948,0.0,0.9984630742110312,0.42534565762616694,0.0,-0.6121588542733347,0.5000299052422025,20.0,-0.6121588542733347,-0.6121588542733347,-0.6121588542733347,-0.6121588542733347,-0.6121588542733347,-0.6121588542733347,-0.6121588542733347,1,1,8,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
9,1.094889799753825,0.9958289437927306,1.094889799753825,0.45363301038742065,0.0,0.9958289437927306,0.4241875596344471,0.0,,,,,,,,,,,1,1,9,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
10,1.1216351588567097,0.99234689748846,1.1216351588567097,0.46399400134881336,0.0,0.99234689748846,0.42265504284296185,0.0,-0.5965625285077203,0.475487373274904,20.0,-0.5965625285077203,-0.5965625285077203,-0.5965625285077203,-0.5965625285077203,-0.5965625285077203,-0.5965625285077203,-0.5965625285077203,1,1,10,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
11,1.1092013319333394,0.9879272230900824,1.1092013319333394,0.4602821618318558,0.0,0.9879272230900824,0.4207059999462217,0.0,,,,,,,,,,,1,1,11,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
12,1.1062610745429993,0.9822461954317987,1.1062610745429993,0.45727307597796124,0.0,0.9822461954317987,0.4181987656047568,0.0,-0.39227649666209663,0.44140885527142104,20.0,-0.39227649666209663,-0.39227649666209663,-0.39227649666209663,-0.39227649666209663,-0.39227649666209663,-0.39227649666209663,-0.39227649666209663,1,1,12,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
13,1.0982152223587036,0.9747651526704431,1.0982152223587036,0.45414652427037555,0.0,0.9747651526704431,0.41489611519500613,0.0,,,,,,,,,,,1,1,13,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
14,1.1008107860883076,0.9657995477318764,1.1008107860883076,0.45616212983926135,0.0,0.9657995477318764,0.4109364354517311,0.0,-0.1842188261644302,0.5023906939785765,20.0,-0.1842188261644302,-0.1842188261644302,-0.1842188261644302,-0.1842188261644302,-0.1842188261644302,-0.1842188261644302,-0.1842188261644302,1,1,14,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
15,1.098750114440918,0.9546700273640454,1.098750114440918,0.4551672339439392,0.0,0.9546700273640454,0.40602797002065927,0.0,,,,,,,,,,,1,1,15,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
16,1.0984228452046711,0.9408584423363209,1.0984228452046711,0.45356666545073193,0.0,0.9408584423363209,0.3999381115427241,0.0,0.047113486074119915,0.5524738375240267,20.0,0.047113486074119915,0.047113486074119915,0.047113486074119915,0.047113486074119915,0.047113486074119915,0.047113486074119915,0.047113486074119915,1,1,16,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
17,1.0497751037279766,0.924397078808397,1.0497751037279766,0.43378324806690216,0.0,0.924397078808397,0.39267427928280085,0.0,,,,,,,,,,,1,1,17,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
18,1.0374391376972198,0.9060387294739485,1.0374391376972198,0.42876096069812775,0.0,0.9060387294739485,0.3845712479669601,0.0,-0.05125197632475209,0.5505733849937199,20.0,-0.05125197632475209,-0.05125197632475209,-0.05125197632475209,-0.05125197632475209,-0.05125197632475209,-0.05125197632475209,-0.05125197632475209,1,1,18,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
19,1.0354848007361095,0.8858730741776526,1.0354848007361095,0.42623789608478546,0.0,0.8858730741776526,0.3756654649041593,0.0,,,,,,,,,,,1,1,19,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
20,1.0467054843902588,0.864163177087903,1.0467054843902588,0.431525190671285,0.0,0.864163177087903,0.3660540641285479,0.0,-0.2561021503292147,0.5752507511057483,20.0,-0.2561021503292147,-0.2561021503292147,-0.2561021503292147,-0.2561021503292147,-0.2561021503292147,-0.2561021503292147,-0.2561021503292147,1,1,20,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
21,1.0058896839618683,0.843143749050796,1.0058896839618683,0.4138392060995102,0.0,0.843143749050796,0.3567282927688211,0.0,,,,,,,,,,,1,1,21,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
22,1.0081238945325215,0.8243492022156715,1.0081238945325215,0.4145084470510483,0.0,0.8243492022156715,0.34836490056477487,0.0,-0.3482608821289457,0.5844800267927461,20.0,-0.3482608821289457,-0.3482608821289457,-0.3482608821289457,-0.3482608821289457,-0.3482608821289457,-0.3482608821289457,-0.3482608821289457,1,1,22,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
