epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,1.107117513815562,0.8893842995166779,1.107117513815562,0.00011246162224172925,0.0,0.8893842995166779,9.38631364988396e-05,0.0,,,,,,,,,,,1,1,1,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
2,1.1015322804450989,0.8795972019433975,1.1015322804450989,0.00011181130442613114,0.0,0.8795972019433975,9.280136055167532e-05,0.0,-0.7886975660281021,0.447682408723617,20.0,-0.7886975660281021,-0.7886975660281021,-0.7886975660281021,-0.7886975660281021,-0.7886975660281021,-0.7886975660281021,-0.7886975660281021,1,1,2,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
3,1.0948026180267334,0.8668856173753738,1.0948026180267334,0.00011105096443012978,0.0,0.8668856173753738,9.142575527221197e-05,0.0,,,,,,,,,,,1,1,3,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
4,1.074981411298116,0.8501880764961243,1.074981411298116,0.00010912773723248392,0.0,0.8501880764961243,8.961553703557001e-05,0.0,-0.782878982368501,0.44676876841645086,20.0,-0.782878982368501,-0.782878982368501,-0.782878982368501,-0.782878982368501,-0.782878982368501,-0.782878982368501,-0.782878982368501,1,1,4,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
5,1.0659863253434498,0.8287540376186371,1.0659863253434498,0.00010787252904265188,0.0,0.8287540376186371,8.728165903448826e-05,0.0,,,,,,,,,,,1,1,5,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
6,1.0344064037005107,0.802026093006134,1.0344064037005107,0.00010447498182960165,0.0,0.802026093006134,8.435466588707641e-05,0.0,-0.768129715983743,0.4452655448210862,20.0,-0.768129715983743,-0.768129715983743,-0.768129715983743,-0.768129715983743,-0.768129715983743,-0.768129715983743,-0.768129715983743,1,1,6,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
7,1.0047860344250996,0.769802525639534,1.0047860344250996,0.00010126362030860037,0.0,0.769802525639534,8.079282815742772e-05,0.0,,,,,,,,,,,1,1,7,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
8,0.9742760161558787,0.7319957762956619,0.9742760161558787,9.785853762878105e-05,0.0,0.7319957762956619,7.657160313101485e-05,0.0,-0.7118346656717645,0.4433468749278889,20.0,-0.7118346656717645,-0.7118346656717645,-0.7118346656717645,-0.7118346656717645,-0.7118346656717645,-0.7118346656717645,-0.7118346656717645,1,1,8,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
9,0.9418560067812601,0.6890197619795799,0.9418560067812601,9.406678994613078e-05,0.0,0.6890197619795799,7.171595370891737e-05,0.0,,,,,,,,,,,1,1,9,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
10,0.8969505031903585,0.642158754169941,0.8969505031903585,8.921665115243134e-05,0.0,0.642158754169941,6.633893372054445e-05,0.0,-0.590277868866868,0.4411019910132041,20.0,-0.590277868866868,-0.590277868866868,-0.590277868866868,-0.590277868866868,-0.590277868866868,-0.590277868866868,-0.590277868866868,1,1,10,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
11,0.8458432058493296,0.5932695046067238,0.8458432058493296,8.31519622200479e-05,0.0,0.5932695046067238,6.0622355704254005e-05,0.0,,,,,,,,,,,1,1,11,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
12,0.7941070795059204,0.5456133112311363,0.7941070795059204,7.723170104630601e-05,0.0,0.5456133112311363,5.489924933499424e-05,0.0,-0.34382462107776757,0.43983718190207416,20.0,-0.34382462107776757,-0.34382462107776757,-0.34382462107776757,-0.34382462107776757,-0.34382462107776757,-0.34382462107776757,-0.34382462107776757,1,1,12,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
13,0.7488503257433573,0.5033104345202446,0.7488503257433573,7.176024519139901e-05,0.0,0.5033104345202446,4.961797003488755e-05,0.0,,,,,,,,,,,1,1,13,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
14,0.7151277661323547,0.4705772437155247,0.7151277661323547,6.732466135872528e-05,0.0,0.4705772437155247,4.53016455139732e-05,0.0,-0.05702964491742857,0.43909291940953665,20.0,-0.05702964491742857,-0.05702964491742857,-0.05702964491742857,-0.05702964491742857,-0.05702964491742857,-0.05702964491742857,-0.05702964491742857,1,1,14,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
15,0.6839767495791117,0.4481780491769314,0.6839767495791117,6.34876547943956e-05,0.0,0.4481780491769314,4.222217285132501e-05,0.0,,,,,,,,,,,1,1,15,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
16,0.6670870979626974,0.43127354606986046,0.6670870979626974,6.10911805172994e-05,0.0,0.43127354606986046,4.004407628599438e-05,0.0,0.0910116978022597,0.4364563479295299,20.0,0.0910116978022597,0.0910116978022597,0.0910116978022597,0.0910116978022597,0.0910116978022597,0.0910116978022597,0.0910116978022597,1,1,16,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
17,0.6643451352914175,0.4154736250638962,0.6643451352914175,6.024498785942948e-05,0.0,0.4154736250638962,3.818639652308775e-05,0.0,,,,,,,,,,,1,1,17,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
18,0.6551313598950704,0.4010099321603775,0.6551313598950704,5.906296003862129e-05,0.0,0.4010099321603775,3.6494541745923925e-05,0.0,0.1097999040963673,0.43321356312548126,20.0,0.1097999040963673,0.1097999040963673,0.1097999040963673,0.1097999040963673,0.1097999040963673,0.1097999040963673,0.1097999040963673,1,1,18,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
19,0.6310437917709351,0.38885360583662987,0.6310437917709351,5.6457398386555724e-05,0.0,0.38885360583662987,3.503534435367328e-05,0.0,,,,,,,,,,,1,1,19,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
20,0.612675686677297,0.37724096700549126,0.612675686677297,5.4659535938602254e-05,0.0,0.37724096700549126,3.366484543221304e-05,0.0,0.10498161583905363,0.42993111541724305,20.0,0.10498161583905363,0.10498161583905363,0.10498161583905363,0.10498161583905363,0.10498161583905363,0.10498161583905363,0.10498161583905363,1,1,20,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
21,0.5949601531028748,0.3656849153339863,0.5949601531028748,5.2786877859034576e-05,0.0,0.3656849153339863,3.232515882700682e-05,0.0,,,,,,,,,,,1,1,21,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
22,0.5837833682696024,0.3536429665982723,0.5837833682696024,5.148058517079335e-05,0.0,0.3536429665982723,3.093349641858367e-05,0.0,0.12065375299489978,0.42610483865026166,20.0,0.12065375299489978,0.12065375299489978,0.12065375299489978,0.12065375299489978,0.12065375299489978,0.12065375299489978,0.12065375299489978,1,1,22,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
23,0.5734880963961283,0.3407594598829746,0.5734880963961283,5.0317157122966215e-05,0.0,0.3407594598829746,2.9476982717824285e-05,0.0,,,,,,,,,,,1,1,23,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
24,0.5521051933368047,0.32774872705340385,0.5521051933368047,4.807288193357332e-05,0.0,0.32774872705340385,2.8002737508359132e-05,0.0,0.09974107614989303,0.42089840373557086,20.0,0.09974107614989303,0.09974107614989303,0.09974107614989303,0.09974107614989303,0.09974107614989303,0.09974107614989303,0.09974107614989303,1,1,24,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
25,0.5367975731690725,0.3154412657022476,0.5367975731690725,4.6418478935568906e-05,0.0,0.3154412657022476,2.660793734321487e-05,0.0,,,,,,,,,,,1,1,25,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
26,0.520163839062055,0.3037266619503498,0.520163839062055,4.468559260809949e-05,0.0,0.3037266619503498,2.5264813302783296e-05,0.0,0.08491315962969137,0.41521076071744717,20.0,0.08491315962969137,0.08491315962969137,0.08491315962969137,0.08491315962969137,0.08491315962969137,0.08491315962969137,0.08491315962969137,1,1,26,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
27,0.5063251654307047,0.29387711361050606,0.5063251654307047,4.320671238626043e-05,0.0,0.29387711361050606,2.4123735556713655e-05,0.0,,,,,,,,,,,1,1,27,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
28,0.4896831164757411,0.28630857169628143,0.4896831164757411,4.1514856396437004e-05,0.0,0.28630857169628143,2.3228437385114376e-05,0.0,0.07590042962461552,0.409609036567336,20.0,0.07590042962461552,0.07590042962461552,0.07590042962461552,0.07590042962461552,0.07590042962461552,0.07590042962461552,0.07590042962461552,1,1,28,lj_noisy,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
