epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.774881382783254,0.9145392328500748,0.774881382783254,0.00010714141171774827,0.0,0.9145392328500748,0.00012256937770871446,0.0,,,,,,,,,,,1,1,1,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
2,0.7693286836147308,0.9087567627429962,0.7693286836147308,0.00010627131147581774,0.0,0.9087567627429962,0.00012171667549409904,0.0,0.9397916301634223,0.9712878387842724,20.0,0.9397916301634223,0.9397916301634223,0.9397916301634223,0.9397916301634223,0.9397916301634223,0.9397916301634223,0.9397916301634223,1,1,2,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
3,0.7732621729373932,0.9013427048921585,0.7732621729373932,0.0001067583289113827,0.0,0.9013427048921585,0.00012061881352565251,0.0,,,,,,,,,,,1,1,3,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
4,0.7600589195887247,0.891596257686615,0.7600589195887247,0.00010488911599774535,0.0,0.891596257686615,0.00011917228403035551,0.0,0.9404679096719201,0.9714659157879957,20.0,0.9404679096719201,0.9404679096719201,0.9404679096719201,0.9404679096719201,0.9404679096719201,0.9404679096719201,0.9404679096719201,1,1,4,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
5,0.7496065000693003,0.8788019567728043,0.7496065000693003,0.0001033949047268834,0.0,0.8788019567728043,0.00011727037235687021,0.0,,,,,,,,,,,1,1,5,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
6,0.7362323701381683,0.8621760606765747,0.7362323701381683,0.00010122577077709138,0.0,0.8621760606765747,0.00011479564454930369,0.0,0.9415787246518151,0.9717775806250626,20.0,0.9415787246518151,0.9415787246518151,0.9415787246518151,0.9415787246518151,0.9415787246518151,0.9415787246518151,0.9415787246518151,1,1,6,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
7,0.7144092321395874,0.840891882777214,0.7144092321395874,9.799037555543084e-05,0.0,0.840891882777214,0.0001116271141654579,0.0,,,,,,,,,,,1,1,7,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
8,0.69643634557724,0.8146079480648041,0.69643634557724,9.525727970564428e-05,0.0,0.8146079480648041,0.000107714491605293,0.0,0.9431681851689543,0.9722789025409513,20.0,0.9431681851689543,0.9431681851689543,0.9431681851689543,0.9431681851689543,0.9431681851689543,0.9431681851689543,0.9431681851689543,1,1,8,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
9,0.6620013018449148,0.7830258458852768,0.6620013018449148,9.011735164676793e-05,0.0,0.7830258458852768,0.00010301918518962339,0.0,,,,,,,,,,,1,1,9,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
10,0.6383525232474009,0.7460026443004608,0.6383525232474009,8.62922230832434e-05,0.0,0.7460026443004608,9.75349703367101e-05,0.0,0.9449489244112163,0.9729840202228457,20.0,0.9449489244112163,0.9449489244112163,0.9449489244112163,0.9449489244112163,0.9449489244112163,0.9449489244112163,0.9449489244112163,1,1,10,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
11,0.5974951883157095,0.7036845833063126,0.5974951883157095,8.022764450288378e-05,0.0,0.7036845833063126,9.130658145295456e-05,0.0,,,,,,,,,,,1,1,11,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
12,0.5629692872365316,0.656992107629776,0.5629692872365316,7.485512711961444e-05,0.0,0.656992107629776,8.450193126918748e-05,0.0,0.9460162860702317,0.9738477777310968,20.0,0.9460162860702317,0.9460162860702317,0.9460162860702317,0.9460162860702317,0.9460162860702317,0.9460162860702317,0.9460162860702317,1,1,12,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
13,0.5151257266600927,0.6077981144189835,0.5151257266600927,6.792655646374139e-05,0.0,0.6077981144189835,7.744126014586072e-05,0.0,,,,,,,,,,,1,1,13,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
14,0.4754789670308431,0.5599560439586639,0.4754789670308431,6.209223586968922e-05,0.0,0.5599560439586639,7.071760774124414e-05,0.0,0.9443746362565543,0.9747283527452959,20.0,0.9443746362565543,0.9443746362565543,0.9443746362565543,0.9443746362565543,0.9443746362565543,0.9443746362565543,0.9443746362565543,1,1,14,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
15,0.43661780655384064,0.5171140879392624,0.43661780655384064,5.6915159802883863e-05,0.0,0.5171140879392624,6.488583312602714e-05,0.0,,,,,,,,,,,1,1,15,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
16,0.40684230128924054,0.4812273681163788,0.40684230128924054,5.318733504585301e-05,0.0,0.4812273681163788,6.014411974319955e-05,0.0,0.9367949889994563,0.9752754259883613,20.0,0.9367949889994563,0.9367949889994563,0.9367949889994563,0.9367949889994563,0.9367949889994563,0.9367949889994563,0.9367949889994563,1,1,16,reid,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
