epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,1.109368718188742,1.0782753944396972,1.109368718188742,0.11531925136628358,0.0,1.0782753944396972,0.11518648465474447,0.0,,,,,,,,,,,,,,,,,1,1,1,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
2,1.130800908026488,1.0740242799123128,1.130800908026488,0.11764204890831657,0.0,1.0740242799123128,0.11471793750921885,0.0,0.5243689746088886,0.8159787382204348,80.0,0.25008348220587473,-0.6395181666573289,0.25008348220587473,-0.6395181666573289,0.9292478723513002,0.9649569685352213,-0.6395181666573289,-0.25435274540569375,0.9292478723513002,0.9649569685352213,-0.6395181666573289,-0.25435274540569375,0.5243689746088886,1,1,2,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
3,1.0976175017978833,1.0613850434621175,1.0976175017978833,0.11394766556180042,0.0,1.0613850434621175,0.11332947015762329,0.0,,,,,,,,,,,,,,,,,1,1,3,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
4,1.09542664496795,1.0291112701098124,1.09542664496795,0.11363061128751091,0.0,1.0291112701098124,0.10978948324918747,0.0,0.5941366909857095,0.8206280270758046,80.0,0.29410681150514734,-0.2875662279937268,0.29410681150514734,-0.2875662279937268,0.8522982974904428,0.8469457826586678,-0.23525060613479454,-0.2875662279937268,0.8522982974904428,0.8469457826586678,-0.23525060613479454,-0.2875662279937268,0.5941366909857095,1,1,4,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
5,1.077565830686818,0.9575770775477092,1.077565830686818,0.11182164692360422,0.0,0.9575770775477092,0.10192263275384902,0.0,,,,,,,,,,,,,,,,,1,1,5,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
6,1.0468673835630002,0.8702737768491109,1.0468673835630002,0.10850017938924872,0.0,0.8702737768491109,0.09225206623474756,0.0,0.2503132121139865,0.670461138946165,80.0,-0.3524143993364298,-1.7135660531356316,-0.3524143993364298,-1.7135660531356316,0.886651178053736,0.2370746767191667,-0.8198173989829904,-1.7135660531356316,0.886651178053736,0.2370746767191667,-0.8198173989829904,-1.7135660531356316,0.2503132121139865,1,1,6,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
7,1.0248662103777346,0.8184777498245239,1.0248662103777346,0.10590614200286243,0.0,0.8184777498245239,0.08643547693888347,0.0,,,,,,,,,,,,,,,,,1,1,7,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
8,1.0326735221821328,0.7865137855211893,1.0326735221821328,0.1066909626774166,0.0,0.7865137855211893,0.08279514163732529,0.0,0.3122426323503271,0.6424128564493631,80.0,-0.4890630041633509,-2.0712011159449437,-0.4890630041633509,-2.0712011159449437,0.2694767993894388,0.4161324533997012,-0.5706601534975999,-2.0712011159449437,0.2694767993894388,0.4161324533997012,-0.5706601534975999,-2.0712011159449437,0.3122426323503271,1,1,8,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
9,1.0177674915479578,0.7837443312009176,1.0177674915479578,0.10469182370149571,0.0,0.7837443312009176,0.08246949563423793,0.0,,,,,,,,,,,,,,,,,1,1,9,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
10,0.9970860844073088,0.7805966178576151,0.9970860844073088,0.10294499086297076,0.0,0.7805966178576151,0.08210899233818054,0.0,0.4478593711776123,0.7610678170135221,80.0,-0.42507473686104064,-2.0324187131154656,-0.42507473686104064,-2.0324187131154656,-0.12922931328199083,0.5682006732180431,-0.10685159426474922,-2.0324187131154656,-0.12922931328199083,0.5682006732180431,-0.10685159426474922,-2.0324187131154656,0.4478593711776123,1,1,10,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
